Id	Desc	Class	Type	TitleName	TitleDesc	Prioirity	Color	OwnerTime	BroadCastDic	AttrId
29	排行榜-攻击	0	16	<dời_núi_lấp_biển>	C.Kích bảng xếp hạng người thứ hai	3	[cc66ff]	1440	-1	-1
30	排行榜-攻击	0	16	<tước_kim_đoạn_thủy>	C.Kích bảng xếp hạng người thứ ba	2	[33ccff]	1440	-1	-1
31	排行榜-攻击	0	16	<đánh_từ_xa_ngưu>	C.Kích bảng xếp hạng đệ tứ đến một trăm tên	1	[33cc66]	1440	-1	-1
32	排行榜-生命	0	17	<mạnh_nhất_huyết_ngưu>	Sinh mệnh bảng xếp hạng người thứ nhất	4	[ff9933]	1440	-1	-1
33	排行榜-生命	0	17	<đại_huyết_ngưu>	Sinh mệnh bảng xếp hạng người thứ hai	3	[cc66ff]	1440	-1	-1
34	排行榜-生命	0	17	<tiểu_huyết_ngưu>	Sinh mệnh bảng xếp hạng người thứ ba	2	[33ccff]	1440	-1	-1
35	排行榜-生命	0	17	<HP_dồi_dào>	Sinh mệnh bảng xếp hạng đệ tứ đến một trăm tên	1	[33cc66]	1440	-1	-1
36	排行榜-防御	0	18	<bất_động_như_núi>	Phòng ngự bảng xếp hạng người thứ nhất	4	[ff9933]	1440	-1	-1
37	排行榜-防御	0	18	<đồng_đầu_thiết_cánh_tay>	Phòng ngự bảng xếp hạng người thứ hai	3	[cc66ff]	1440	-1	-1
38	排行榜-防御	0	18	<kiên_cố>	Phòng ngự bảng xếp hạng người thứ ba	2	[33ccff]	1440	-1	-1
39	排行榜-防御	0	18	<da_dày_thịt_béo>	Phòng ngự bảng xếp hạng đệ tứ đến một trăm tên	1	[33cc66]	1440	-1	-1
40	排行榜-金币	0	19	<phú_giáp_thiên_hạ>	Kim Tệ  bảng xếp hạng người thứ nhất	4	[ff9933]	1440	-1	-1
41	排行榜-金币	0	19	<eo_triền_bạc_triệu>	Kim Tệ  bảng xếp hạng người thứ hai	3	[cc66ff]	1440	-1	-1
42	排行榜-金币	0	19	<tiêu_tiền_như_nước>	Kim Tệ  bảng xếp hạng người thứ ba	2	[33ccff]	1440	-1	-1
43	排行榜-金币	0	19	<Tài_Đại_Khí_Thô>	Kim Tệ  bảng xếp hạng đệ tứ đến một trăm tên	1	[33cc66]	1440	-1	-1
59	族长称号	1	5	<{0}_tộc_trưởng>	Nắm giữ gia tộc sau thu được tên gọi	1	[33ccff]	-1	-1	-1
60	青龙称号	1	5	<{0}_Thanh_Long_khiến>	Nắm giữ gia tộc sau thu được tên gọi	1	[33ccff]	-1	-1	-1
61	白虎称号	1	5	<{0}_Bạch_Hổ_khiến>	Nắm giữ gia tộc sau thu được tên gọi	1	[33ccff]	-1	-1	-1
62	朱雀称号	1	5	<{0} Chu Tước  khiến>	Nắm giữ gia tộc sau thu được tên gọi	1	[33ccff]	-1	-1	-1
63	玄武称号	1	5	<{0} Huyền Vũ  khiến>	Nắm giữ gia tộc sau thu được tên gọi	1	[33ccff]	-1	-1	-1
64	战力达100W	0	4	<hơi có tiểu thành>	Trước mặt nhân vật sức chiến đấu đạt 1 triệu, liền có thể thu được nên tên gọi	5	[33ccff]	-1	-1	23
65	战力达200W	0	4	<khai ngộ nhập định>	Trước mặt nhân vật sức chiến đấu đạt 200W, liền có thể thu được nên tên gọi	6	[33ccff]	-1	-1	24
66	战力达250W	0	4	<hỗn độn Vô Thường>	Trước mặt nhân vật sức chiến đấu đạt 250W, liền có thể thu được nên tên gọi	7	[33ccff]	-1	-1	25
67	战力达300W	0	4	<đã trăn đại thành>	Trước mặt nhân vật sức chiến đấu đạt 300W, liền có thể thu được nên tên gọi	8	[cc66ff]	-1	-1	26
68	战力达400W	0	4	<công tham cửu thiên>	Trước mặt nhân vật sức chiến đấu đạt 400W, liền có thể thu được nên tên gọi	9	[cc66ff]	-1	-1	27
69	战力达500W	0	4	<tịch diệt phân thần>	Trước mặt nhân vật sức chiến đấu đạt 500W, liền có thể thu được nên tên gọi	10	[ff9933]	-1	-1	28
70	战力达600W	0	4	<động hư vạn tượng>	Trước mặt nhân vật sức chiến đấu đạt 600W, liền có thể thu được nên tên gọi	11	[ff9933]	-1	-1	29
71	战力达800W	0	4	<thiên nhân hợp nhất>	Trước mặt nhân vật sức chiến đấu đạt 800W, liền có thể thu được nên tên gọi	13	[ff9933]	-1	-1	30
72	战力达1000W	0	4	<đại thừa chí thần>	Trước mặt nhân vật sức chiến đấu đạt 1000W, liền có thể thu được nên tên gọi	14	[FF0000]	-1	-1	31
73	青云奇遇称号	0	26	<ngươi là người tốt sao sao đát>	Thanh vân kỳ ngộ nhiệm vụ ( tham ăn hầu tử ) khen thưởng tên gọi, được Tống Đại Nhân  cảm kích!	1	[33cc66]	-1	-1	51
74	青云奇遇称号	0	27	<không bằng cầm thú>	Thanh vân kỳ ngộ nhiệm vụ ( lựa chọn khó khăn ) khen thưởng tên gọi, ở linh tôn trước mặt vẫn là nhận túng!	1	[33cc66]	-1	-1	52
75	青云奇遇称号	0	27	<giống như cầm thú>	Thanh vân kỳ ngộ nhiệm vụ ( lựa chọn khó khăn ) khen thưởng tên gọi, liền linh tôn khẩu phần lương thực cũng phải cướp!	2	[33cc66]	-1	-1	53
76	代炼器初级称号	0	9	<sơ cấp đại luyện sư>	Thông qua đại luyện khí thu được 3000 luyện khí điểm thì thu được	1	[33ccff]	-1	-1	-1
77	代炼器中级称号	0	9	<trung cấp đại luyện sư>	Thông qua đại luyện khí thu được 15000 luyện khí điểm thì thu được	2	[cc66ff]	-1	-1	-1
78	代炼器高级称号	0	9	<cao cấp đại luyện sư>	Thông qua đại luyện khí thu được 85000 luyện khí điểm thì thu được	3	[ff9933]	-1	-1	-1
79	文曲试炼状元	0	23	<Trạng Nguyên >	Văn khúc thí luyện chung thí các môn học 5 vị trí đầu	1	[cc66ff]	10080	-1	-1
80	文曲试炼榜眼	0	23	<Bảng Nhãn >	Văn khúc thí luyện chung thí các môn học trước 6~15 tên	1	[33ccff]	10080	-1	-1
81	文曲试炼探花	0	23	<Tham Hoa >	Văn khúc thí luyện chung thí các môn học trước 16~35 tên	1	[33ccff]	10080	-1	-1
82	文曲试炼进士	0	23	<Tiến Sĩ >	Văn khúc thí luyện chung thí các môn học trước 36~100 tên	1	[33cc66]	10080	-1	-1
83	老玩家礼包称号	0	38	<Tru Tiên  lão hữu>	Tình hám cửu thiên, một chiêu kiếm Tru Tiên ! Lão player Chuyên Chúc Xưng Hào .	1	[cc66ff]	-1	-1	-1
84	鬼王奇遇称号	0	28	<ngàn chén không say>	Quỷ Vương  kỳ ngộ nhiệm vụ ( hùng hồn chi tặng ) khen thưởng tên gọi. Thiếu niên, tửu lượng có thể oa!	1	[33cc66]	-1	-1	55
85	合欢奇遇称号	0	29	<độc bộ Phong Lưu  đệ nhất khoa>	Hợp Hoan kỳ ngộ nhiệm vụ ( than thở ) khen thưởng tên gọi, không đi thi Trạng Nguyên  thực sự là đáng tiếc!	1	[33cc66]	-1	-1	56
86	合欢奇遇称号	0	29	<trong lịch sử nhân loại mạnh nhất phế vật>	Hợp Hoan kỳ ngộ nhiệm vụ ( than thở ) khen thưởng tên gọi, vẫn là đừng đi thi Trạng Nguyên !	1	[33cc66]	-1	-1	57
87	特殊字符奇遇称号	0	30	<không quên sơ tâm>	Đặc thù kỳ ngộ nhiệm vụ ( không quên sơ tâm ) khen thưởng tên gọi, năm đó ta cùng ngươi đã tới nơi này!	1	[33cc66]	-1	-1	63
88	河阳奇遇称号（河阳志）	0	31	<rộng rãi kết thiện duyên>	Hà Dương kỳ ngộ nhiệm vụ ( Hà Dương Chí  ) khen thưởng tên gọi. Ta thưởng thức ngươi thành thực!	1	[33cc66]	-1	-1	64
89	河阳奇遇称号（河阳志）	0	31	<Nam Kha Nhất Mộng >	Hà Dương kỳ ngộ nhiệm vụ ( Hà Dương Chí  ) khen thưởng tên gọi. Người không vì bản thân làm sao đến?	1	[33cc66]	-1	-1	65
90	天音奇遇称号	0	32	<Đương Nhất Thiên Hòa Thượng Chàng Nhất Thiên Chung >	Thiên âm kỳ ngộ nhiệm vụ ( va Chung hòa thượng ) khen thưởng tên gọi.	1	[33cc66]	-1	-1	54
91	打怪奇遇任务（河阳）	0	33	<nửa đêm quỷ gõ cửa>	Hà Dương kỳ ngộ nhiệm vụ ( chuyện cũ theo gió ) khen thưởng tên gọi. Lòng can đảm của ngươi đáng giá kính phục!	1	[33cc66]	-1	-1	58
92	打怪奇遇任务（青云）	0	34	<quân làm như hắc tiết trúc>	Thanh vân kỳ ngộ nhiệm vụ ( trúc hải mênh mang ) khen thưởng tên gọi. Ngươi nghị lực đáng giá kính phục!	1	[33cc66]	-1	-1	59
93	打怪奇遇任务（天音）	0	35	<trong mắt vò không được một đống hạt cát>	Thiên âm kỳ ngộ nhiệm vụ ( thiết oản vô tình ) khen thưởng tên gọi. Nhân phẩm của ngươi đáng giá kính phục!	1	[33cc66]	-1	-1	60
94	打怪奇遇任务（合欢）	0	36	<mị lực không giảm năm đó>	Hợp Hoan kỳ ngộ nhiệm vụ ( Ngọc diện lang quân ) khen thưởng tên gọi. Mị lực của ngươi đáng giá kính phục!	1	[33cc66]	-1	-1	62
95	打怪奇遇任务（鬼王）	0	37	<đệ nhất thiên hạ sát thủ>	Quỷ Vương  kỳ ngộ nhiệm vụ ( Lãnh Huyết  thích giết chóc ) khen thưởng tên gọi. Ngươi lạnh lùng đáng giá kính phục!	1	[33cc66]	-1	-1	61
96	战力达10W	0	4	<tu tiên khởi nguồn>	Trước mặt nhân vật sức chiến đấu đạt 100,000, liền có thể thu được nên tên gọi	1	[33cc66]	-1	-1	19
97	战力达30W	0	4	<vừa thấy đường áo>	Trước mặt nhân vật sức chiến đấu đạt 30W, liền có thể thu được nên tên gọi	2	[33cc66]	-1	-1	20
98	战力达50W	0	4	<đại đạo trúc cơ>	Trước mặt nhân vật sức chiến đấu đạt 50W, liền có thể thu được nên tên gọi	3	[33cc66]	-1	-1	21
99	战力达80W	0	4	<toàn chiếu tu hành>	Trước mặt nhân vật sức chiến đấu đạt 80W, liền có thể thu được nên tên gọi	4	[33cc66]	-1	-1	22
100	VIP1称号	0	11	<tu đạo khởi nguồn dòm ngó con đường>	vip1 player tôn hưởng tên gọi	1	[33cc66]	-1	-1	1
101	VIP2称号	0	11	<chuyên tâm tu luyện đạo sơ thành>	vip2 player tôn hưởng tên gọi	2	[33cc66]	-1	-1	2
102	VIP3称号	0	11	<thể ngộ bản tâm tự sáng rực>	vip3 player tôn hưởng tên gọi	3	[33cc66]	-1	-1	3
103	VIP4称号	0	11	<trong lồng ngực đạo pháp hơi có thành>	vip4 player tôn hưởng tên gọi	4	[33cc66]	-1	-1	4
104	VIP5称号	0	11	<mười năm một chiêu kiếm hiện ra phong mang>	vip5 player tôn hưởng tên gọi	5	[33cc66]	-1	-1	5
105	VIP6称号	0	11	<người phong lưu thanh danh dương>	vip6 player tôn hưởng tên gọi	6	[33cc66]	-1	-1	6
106	VIP7称号	0	11	<hiểu tạo hóa đạt thiên địa>	vip7 player tôn hưởng tên gọi	7	[33ccff]	-1	-1	7
107	VIP8称号	0	11	<niêm vòi hoa sen tửu tuyệt diệu đế>	vip8 player tôn hưởng tên gọi	8	[33ccff]	-1	-1	8
108	VIP9称号	0	11	<đến chứng đạo thể phàm trần>	vip9 player tôn hưởng tên gọi	9	[33ccff]	-1	-1	9
109	VIP10称号	0	11	<trăm ngày độ kiếp vào Tiên môn>	vip10 player tôn hưởng tên gọi	10	[33ccff]	-1	-1	10
110	VIP11称号	0	11	<đấu chuyển tinh di chấn động hoàn vũ>	vip11 player tôn hưởng tên gọi	11	[cc66ff]	-1	-1	11
111	VIP12称号	0	11	<kiếm phá bầu trời diệt bát hoang>	vip12 player tôn hưởng tên gọi	12	[cc66ff]	-1	-1	12
112	VIP13称号	0	11	<tàn sát hết tà vọng vạn cốt khô>	vip13 player tôn hưởng tên gọi	13	[cc66ff]	-1	-1	13
113	VIP14称号	0	11	<đầy ngập nhiệt huyết, chấp nhất niệm tru yêu ma>	vip14 player tôn hưởng tên gọi	14	[ff9933]	-1	-1	14
114	VIP15称号	0	11	<nhật nguyệt vô tình, chuyển ngàn thế đồ kiêu hùng>	vip15 player tôn hưởng tên gọi	15	[ff9933]	-1	-1	15
115	VIP16称号	0	11	<vì là yêu thành ma, phó hoàng tuyền chém Tu La >	vip16 player tôn hưởng tên gọi	16	[ff9933]	-1	-1	16
116	VIP17称号	0	11	<ta bản mê, hám cửu thiên lục thần phật>	vip17 player tôn hưởng tên gọi	17	[FF0000]	-1	-1	17
117	镇魔古洞难度2	0	24	<Vệ Đạo Chi Sĩ >	Qua cửa Trấn Ma Cổ Động  thu được tên gọi	1	[33ccff]	-1	-1	32
118	镇魔古洞难度3	0	24	<Phù Đồ Thiên Tương >	Qua cửa Trấn Ma Cổ Động  thu được tên gọi	2	[33ccff]	-1	-1	33
119	镇魔古洞难度4	0	24	<Ti Mệnh Chân Quân >	Qua cửa Trấn Ma Cổ Động  thu được tên gọi	3	[cc66ff]	-1	-1	34
120	镇魔古洞难度5	0	24	<Tru Tiên Trảm Thần >	Qua cửa Trấn Ma Cổ Động  thu được tên gọi	4	[cc66ff]	-1	-1	35
121	镇魔古洞难度6	0	24	<Trấn Ma Thiên Tôn >	Qua cửa Trấn Ma Cổ Động  thu được tên gọi	5	[ff9933]	-1	-1	36
122	天帝宝库封印1	0	25	<phá ma tinh quân · nhất>	Qua cửa Thiên Đế Bảo Khố  chỉ định tầng thu được tên gọi	1	[33ccff]	-1	-1	37
123	天帝宝库封印2	0	25	<phá ma tinh quân · nhị>	Qua cửa Thiên Đế Bảo Khố  chỉ định tầng thu được tên gọi	2	[33ccff]	-1	-1	38
124	天帝宝库封印3	0	25	<phá ma tinh quân · tam>	Qua cửa Thiên Đế Bảo Khố  chỉ định tầng thu được tên gọi	3	[33ccff]	-1	-1	39
125	天帝宝库封印4	0	25	<phá ma tổng ty · nhất>	Qua cửa Thiên Đế Bảo Khố  chỉ định tầng thu được tên gọi	4	[33ccff]	-1	-1	40
126	天帝宝库封印5	0	25	<phá ma tổng ty · nhị>	Qua cửa Thiên Đế Bảo Khố  chỉ định tầng thu được tên gọi	5	[33ccff]	-1	-1	41
127	天帝宝库封印6	0	25	<phá ma tổng ty · tam>	Qua cửa Thiên Đế Bảo Khố  chỉ định tầng thu được tên gọi	6	[cc66ff]	-1	-1	42
128	天帝宝库封印7	0	25	<phá ma tổng ty · tứ>	Qua cửa Thiên Đế Bảo Khố  chỉ định tầng thu được tên gọi	7	[cc66ff]	-1	-1	43
129	天帝宝库封印8	0	25	<phá ma chân tiên · nhất>	Qua cửa Thiên Đế Bảo Khố  chỉ định tầng thu được tên gọi	8	[cc66ff]	-1	-1	44
130	天帝宝库封印9	0	25	<phá ma chân tiên · nhị>	Qua cửa Thiên Đế Bảo Khố  chỉ định tầng thu được tên gọi	9	[cc66ff]	-1	-1	45
131	天帝宝库封印10	0	25	<phá ma chân tiên · tam>	Qua cửa Thiên Đế Bảo Khố  chỉ định tầng thu được tên gọi	10	[cc66ff]	-1	-1	46
132	天帝宝库封印11	0	25	<phá ma chân tiên · tứ>	Qua cửa Thiên Đế Bảo Khố  chỉ định tầng thu được tên gọi	11	[ff9933]	-1	-1	47
133	天帝宝库封印12	0	25	<phá ma chân tiên · ngũ>	Qua cửa Thiên Đế Bảo Khố  chỉ định tầng thu được tên gọi	12	[ff9933]	-1	-1	48
134	天帝宝库125层	0	25	<hiên viên đại đế>	Qua cửa Thiên Đế Bảo Khố  chỉ định tầng thu được tên gọi	13	[FF0000]	-1	-1	49
135	帮战称号	0	22	<chữ thiên đệ nhất bang>	Giúp chiến người thứ nhất tôn hưởng tên gọi	1	[cc66ff]	10080	-1	-1
136	主线任务称号	0	1	<sơ nhập giang hồ thiếu hiệp>	Hoàn thành đầu mối chính nhiệm vụ ( xa xôi chuyển tỉnh ) thu được tên gọi	1	[33cc66]	-1	-1	-1
137	主线任务称号	0	2	<Bào A Bào A Bào Đoạn Thối >	Hoàn thành đầu mối chính nhiệm vụ ( áp chế phương pháp ) thu được tên gọi	1	[33cc66]	-1	-1	-1
138	主线任务称号	0	3	<nhưng là thương tâm người>	Hoàn thành đầu mối chính nhiệm vụ ( tình vị trí khiên ) thu được tên gọi	1	[33cc66]	-1	-1	-1
139	主线任务称号	0	3	<tình thấu Thiên Gia  vụ>	Hoàn thành đầu mối chính nhiệm vụ ( tình vị trí khiên ) thu được tên gọi	1	[33cc66]	-1	-1	-1
140	用研玩家回馈	0	39	<Sùng Đức Báo Công >	Dùng nghiên player tặng lại tên gọi	1	[33ccff]	-1	-1	-1
141	河阳奇遇称号（翻跟头）	0	40	<thập đại kiệt xuất thanh niên chi phiên đến lưu>	Hà Dương kỳ ngộ nhiệm vụ ( đăng cao nhìn xa ) khen thưởng tên gọi. Khinh công tuyệt đỉnh phản ứng hơn người!	1	[33cc66]	-1	-1	50
142	夫妻进阶3天称号	1	41	Thời khắc nhớ nhung <{0}>	Kết hôn 3 ngày mà hoàn thành QUEST up level sau thu được	1	[ed51aa]	-1	-1	-1
143	夫妻进阶7天称号	1	41	Cuồng dại với <{0}>	Kết hôn 7 ngày mà hoàn thành QUEST up level sau thu được	1	[ed51aa]	-1	-1	-1
144	VIP18称号	0	11	<thiên địa bất nhân, lấy vạn vật vì là chó rơm>	vip18 player tôn hưởng tên gọi	18	[000000]	-1	-1	18
145	主线任务称号	0	43	<đánh vần cao thủ>	Hoàn thành đầu mối chính nhiệm vụ ( đá vụn đánh vần ) thu được tên gọi	1	[33cc66]	-1	-1	-1
146	王者组第1名	0	44	<chu · vương giả · đỉnh cao>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu vương giả tổ người thứ nhất đoạt được tôn hào.	18	[ff9933]	10080	-1	-1
147	王者组第2名	0	44	<chu · vương giả · tông sư>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu vương giả tổ người thứ hai đoạt được tôn hào.	17	[ff9933]	10080	-1	-1
148	王者组第3名	0	44	<chu · vương giả · danh sĩ>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu vương giả tổ người thứ ba đoạt được tôn hào.	16	[ff9933]	10080	-1	-1
149	钻石组第1名	0	44	<chu · kim cương · đỉnh cao>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu kim cương tổ người thứ nhất đoạt được tôn hào.	15	[cc66ff]	10080	-1	-1
150	钻石组第2名	0	44	<chu · kim cương · tông sư>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu kim cương tổ người thứ hai đoạt được tôn hào.	14	[cc66ff]	10080	-1	-1
151	钻石组第3名	0	44	<chu · kim cương · danh sĩ>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu kim cương tổ người thứ ba đoạt được tôn hào.	13	[cc66ff]	10080	-1	-1
152	白金组第1名	0	44	<chu · bạc kim · đỉnh cao>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu bạc kim tổ người thứ nhất đoạt được tôn hào.	12	[cc66ff]	10080	-1	-1
153	白金组第2名	0	44	<chu · bạc kim · tông sư>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu bạc kim tổ người thứ hai đoạt được tôn hào.	11	[cc66ff]	10080	-1	-1
154	白金组第3名	0	44	<chu · bạc kim · danh sĩ>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu bạc kim tổ người thứ ba đoạt được tôn hào.	10	[cc66ff]	10080	-1	-1
155	黄金组第1名	0	44	<chu · hoàng kim · đỉnh cao>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu hoàng kim tổ người thứ nhất đoạt được tôn hào.	9	[33ccff]	10080	-1	-1
156	黄金组第2名	0	44	<chu · hoàng kim · tông sư>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu hoàng kim tổ người thứ hai đoạt được tôn hào.	8	[33ccff]	10080	-1	-1
157	黄金组第3名	0	44	<chu · hoàng kim · danh sĩ>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu hoàng kim tổ người thứ ba đoạt được tôn hào.	7	[33ccff]	10080	-1	-1
158	白银组第1名	0	44	<chu · bạch ngân · đỉnh cao>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu bạch ngân tổ người thứ nhất đoạt được tôn hào.	6	[33ccff]	10080	-1	-1
159	白银组第2名	0	44	<chu · bạch ngân · tông sư>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu bạch ngân tổ người thứ hai đoạt được tôn hào.	5	[33ccff]	10080	-1	-1
160	白银组第3名	0	44	<chu · bạch ngân · danh sĩ>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu bạch ngân tổ người thứ ba đoạt được tôn hào.	4	[33ccff]	10080	-1	-1
161	青铜组第1名	0	44	<chu · đồng thau · đỉnh cao>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu đồng thau tổ người thứ nhất đoạt được tôn hào.	3	[33cc66]	10080	-1	-1
162	青铜组第2名	0	44	<chu · đồng thau · tông sư>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu đồng thau tổ người thứ hai đoạt được tôn hào.	2	[33cc66]	10080	-1	-1
163	青铜组第3名	0	44	<chu · đồng thau · danh sĩ>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được làm chu thi đấu đồng thau tổ người thứ ba đoạt được tôn hào.	1	[33cc66]	10080	-1	-1
164	分享活动称号	0	45	<Hiệp Cốt Đan Tâm Lâm Phàm Trần >	Chỉ cần tham dự ( thời gian bất lão · chúng ta không tiêu tan ) hoạt động liền có thể thu được chuyên môn tôn hưởng tên gọi	1	[cc66ff]	-1	-1	-1
165	好感度5000称号	0	46	<Ngã Thị Hảo Nhân >	Độ thiện cảm đạt đến 5000 có thể lĩnh khen thưởng tên gọi	1	[ed51aa]	-1	-1	-1
166	好感度10000称号	0	47	<Chích Hữu Nhĩ Đổng Ngã Đích Hảo >	Độ thiện cảm đạt đến 10000 có thể lĩnh khen thưởng tên gọi	1	[ed51aa]	-1	-1	-1
167	好感度15000称号	0	48	<Nhân Kiến Nhân Ái Hoa Kiến Hoa Khai >	Độ thiện cảm đạt đến 15000 có thể lĩnh khen thưởng tên gọi	1	[ed51aa]	-1	-1	-1
168	狐岐山奇遇称号（翻跟头）	0	49	<sơn hải phương đình không tú linh>	Hồ Kỳ Sơn  kỳ ngộ nhiệm vụ ( bán hứa tương tư ) khen thưởng tên gọi. Ta suy nghĩ nhiều cùng ngươi bạc đầu giai lão cùng qua một đời!	1	[33cc66]	-1	-1	-1
169	赛季-王者组第1名	0	50	<nguyệt · vương giả · đỉnh cao>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được mùa giải cuối cùng vương giả tổ người thứ nhất đoạt được tôn hào.	18	[ff9933]	43200	-1	-1
170	赛季-王者组第2名	0	50	<nguyệt · vương giả · tông sư>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được mùa giải cuối cùng vương giả tổ người thứ hai đoạt được tôn hào.	17	[ff9933]	43200	-1	-1
171	赛季-王者组第3名	0	50	<nguyệt · vương giả · danh sĩ>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được mùa giải cuối cùng vương giả tổ người thứ ba đoạt được tôn hào.	16	[ff9933]	43200	-1	-1
172	赛季-钻石组第1名	0	50	<nguyệt · kim cương · đỉnh cao>	Ở Thất Mạch Hội Vũ  thi đấu bên trong, thu được mùa giải cuối cùng kim cương tổ người thứ nhất đoạt được tôn hào.	15	[cc66ff]	43200	-1	-1
