Id	Desc	Name	SceneResource	SceneRuleID	Type	IsOriginalWorldLoad	IsBigWorldLoad	Length	Width	Obstacle	SceneMapTexture	SceneMapWidth	SceneMapHeight	SceneMapLogicWidth	BGMusic	CopySceneID	CopySceneReEnterable	MaxInstCount	PlayersMaxA	PlayersMaxB	PlayersMaxC	GroupNormalSize	GroupSlowSize	GroupPauseSize	ReliveType_1	ReliveType_2	ReliveType_3	Entry_x	Entry_z	Safe_x	Safe_z	ReliveOriginalNum	ReliveEntryNum	EnterSceneEffect	LeaveSceneEffect	WMEnterLevelLimit	EnterNoticeDicID	CanUsePlanScene	PlayerViewRadius	PlayerViewEdgeInc	ChangeTab	SafeAreaIndex	SeamlessOffSetX	SeamlessOffsetZ
7	副本	Tử Linh Chi Uyên 	9	6	2	1	1	44	74	./Scene/Fb_silingyuan.path	silingyuan	240	240	80	41	2	0	-1	5	10	-1	10	80	100	1	1	1	16.5	12	16.5	2.49	-1	-1	0	0	1	-1	1	16	4	1	-1	0	0
8	副本	Huyễn Nguyệt Bí Cảnh 	5	6	2	1	1	48	48	./Scene/Fb_huanyuedongfu.path	huanyuedongfu	144	144	48	31	3	0	-1	40	56	-1	10	80	100	1	1	1	19.17	33.58	17.72	37	-1	-1	0	0	1	-1	1	16	4	1	-1	0	0
9	河阳相位	Hà Dương Thành 	7	4	2	1	0	128	128	./Scene/Zc_Heyangcheng.path	heyangcheng	384	384	128	41	4	0	-1	40	56	-1	16	80	100	1	1	1	-1	-1	79.92	63.41	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
10	职业场景	Tu Di Sơn 	14	0	1	1	0	128	128	./Scene/Yw_Tianyinsi.path	tianyinsi	384	384	128	65	0	0	-1	40	56	-1	8	80	100	1	1	1	113.37	12.42	113.37	12.42	-1	-1	1	1	10	-1	1	16	4	0	-1	0	0
11	职业场景	Hồ Kỳ Sơn 	12	0	1	1	0	128	128	./Scene/Yw_huqishan.path	huqishan	384	384	128	118	0	0	-1	40	56	-1	8	80	100	1	1	1	9	67	10.18	55.18	-1	-1	1	1	10	-1	1	16	4	0	-1	0	0
12	职业场景	Tiêu Diêu Giản 	15	0	1	1	0	128	128	./Scene/Yw_xiaoyaojian.path	xiaoyaojian	384	384	128	56	0	0	-1	40	56	-1	8	80	100	1	1	1	57.85	11.83	57.85	11.83	-1	-1	1	1	10	-1	1	16	4	0	-1	0	0
13	副本	Tu Chân Tiên Ma Lục 	6	13	2	1	0	40	40	./Scene/Fb_xiuzhenxianmolu.path	huanyuedongfu	144	144	40	57	10	0	-1	40	56	-1	10	80	100	1	1	1	16	23	16	23	-1	-1	0	0	1	-1	1	16	4	0	-1	0	0
14	青云相位	Thanh Vân Sơn 	3	4	2	1	0	128	128	./Scene/zc_qingyunshan.path	qingyunshan	384	384	128	335	5	0	-1	40	56	-1	16	80	100	1	1	1	-1	-1	86.82	63.18	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
15	副本	Thảo Miếu Thôn 	8	6	2	1	1	34	34	./Scene/Fb_caomiaocun.path	caomiaocun	120	120	40	30	7	0	-1	40	56	-1	10	80	100	1	1	1	22	14	22	14	-1	-1	0	0	1	-1	1	16	4	1	-1	0	0
16	天音相位	Thiên Âm Tự 	14	4	2	1	0	128	128	./Scene/Yw_Tianyinsi.path	tianyinsi	384	384	128	335	6	0	-1	40	56	-1	16	80	100	1	1	1	-1	-1	86.82	63.18	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
17	天音任务-相位	Đạt ma viện	14	4	2	1	0	128	128	./Scene/Yw_Tianyinsi.path	tianyinsi	384	384	128	41	8	0	-1	40	56	-1	16	80	100	1	1	1	-1	-1	86.82	63.18	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
18	鬼王相位	Hồ Kỳ Sơn 	12	4	2	1	0	128	128	./Scene/Yw_huqishan.path	huqishan	384	384	128	41	9	0	-1	40	56	-1	16	80	100	1	1	1	3.43	9.51	3.43	9.51	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
19	鬼王任务-相位	Sơn dã đường mòn	12	4	2	1	0	128	128	./Scene/Yw_huqishan.path	huqishan	384	384	128	118	11	0	-1	40	56	-1	16	80	100	1	1	1	3.43	9.51	3.43	9.51	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
20	鬼王任务-相位	Quỷ Vương  tông phân đường	12	4	2	1	0	128	128	./Scene/Yw_huqishan.path	huqishan	384	384	128	335	12	0	-1	40	56	-1	16	80	100	1	1	1	3.43	9.51	3.43	9.51	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
21	合欢任务-相位	Huyết trì	12	4	2	1	0	128	128	./Scene/Yw_huqishan.path	huqishan	384	384	128	41	13	0	-1	40	56	-1	16	80	100	1	1	1	3.43	9.51	3.43	9.51	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
22	合欢任务-相位	Tiêu Diêu Giản 	15	4	2	1	0	128	128	./Scene/Yw_xiaoyaojian.path	xiaoyaojian	384	384	128	41	14	0	-1	40	56	-1	16	80	100	1	1	1	-1	-1	86.82	63.18	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
23	切磋决斗副本	Lôi Thai 	6	8	2	1	1	40	40	./Scene/Fb_xiuzhenxianmolu.path	huanyuedongfu	144	144	40	57	15	1	-1	40	56	-1	10	80	100	0	0	1	16	23	16	23	-1	-1	0	0	1	-1	1	1000	4	0	-1	0	0
24	副本	Luận bàn (Phế Khí )	3	0	2	1	0	128	128	./Scene/zc_qingyunshan.path	qingyunshan	384	384	128	57	0	0	-1	40	56	-1	10	80	100	0	1	1	3.43	9.51	3.43	9.51	-1	-1	0	0	1	-1	1	16	4	0	-1	0	0
25	野外	Giam Ngục 	16	7	1	1	0	33	33	./Scene/Fb_dixuedong.path	dixuedong	96	96	33	120	0	0	-1	40	56	-1	8	80	100	1	1	0	16.38	24.88	16.38	24.88	-1	-1	0	0	1	-1	1	16	4	0	-1	0	0
26	帮战副本	Thiên trì đỉnh	11	10	2	1	0	96	96	./Scene/Fb_GuildWar.path	bangzhan	288	288	96	1	28	1	-1	50	56	-1	10	80	100	1	1	0	32	32	32	32	-1	-1	0	0	1	-1	1	16	4	0	1	0	0
27	副本	Thất Mạch Hội Vũ  cảnh tượng	6	8	2	1	0	40	40	./Scene/Fb_xiuzhenxianmolu.path	huanyuedongfu	144	144	40	316	20	0	-1	40	56	-1	10	80	100	0	0	1	16	23	16	23	-1	-1	0	0	1	-1	1	16	4	0	-1	0	0
28	副本	Thú Thần Chi Thán 	13	6	2	1	0	128	128	./Scene/fb_shoushenzhitan.path	shoushenzhitan	384	384	128	206	39	0	-1	40	56	-1	10	80	100	1	1	1	55.65	61.67	55.65	61.67	-1	-1	0	0	1	-1	1	1000	4	1	-1	0	0
29	河阳相位	Hà Dương Thành  - sơn hải uyển	7	4	2	1	0	128	128	./Scene/Zc_Heyangcheng.path	heyangcheng	384	384	128	99	16	0	-1	40	56	-1	16	80	100	1	1	1	-1	-1	79.92	63.41	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
30	河阳相位	Hà Dương Thành  - thử nghiệm ngưu đao	7	6	2	1	0	128	128	./Scene/Zc_Heyangcheng.path	heyangcheng	384	384	128	41	17	0	-1	40	56	-1	16	80	100	1	1	1	-1	-1	79.92	63.41	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
31	野外	Không Tang Sơn 	17	0	1	1	0	128	128	./Scene/Yw_Kongsangshan.path	kongsangshan	384	384	128	120	0	0	-1	40	56	-1	8	80	100	1	1	1	16.71	116.9	16.71	116.9	-1	-1	1	1	25	-1	1	16	4	0	-1	0	0
32	空桑山相位	Không Tang Sơn 	17	4	2	1	0	128	128	./Scene/Yw_Kongsangshan.path	kongsangshan	384	384	128	335	18	0	-1	40	56	-1	16	80	100	1	1	1	3.43	9.51	3.43	9.51	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
33	滴血洞-任务用	Tích Huyết Động 	16	11	1	1	0	33	33	./Scene/Fb_dixuedong.path	dixuedong	96	96	33	120	0	0	-1	40	56	-1	8	80	100	1	1	1	16.38	24.88	16.38	24.88	-1	-1	1	1	25	-1	1	16	4	0	-1	0	0
34	滴血洞-任务用-相位	Tích Huyết Động 	16	4	2	1	0	33	33	./Scene/Fb_dixuedong.path	dixuedong	96	96	33	335	19	0	-1	40	56	-1	16	80	100	1	1	1	16.38	24.88	16.38	24.88	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
35	副本	Thiên Đế Bảo Khố 	32	6	2	1	0	32	32	./Scene/Fb_Tiandibaoku.path	None	320	320	64	41	23	0	-1	40	56	-1	10	80	100	1	1	0	11	7.46	11	7.46	-1	-1	0	0	1	-1	1	16	4	0	-1	0	0
36	【废弃】天音任务-相位	Đạt ma viện	14	4	2	1	0	128	128	./Scene/Yw_Tianyinsi.path	tianyinsi	384	384	128	41	0	0	-1	0	0	-1	16	80	100	1	1	1	-1	-1	86.82	63.18	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
37	空桑山-坦白从宽相位	Không Tang Sơn 	17	0	2	1	0	128	128	./Scene/Yw_Kongsangshan.path	kongsangshan	384	384	128	41	22	0	-1	40	56	-1	16	80	100	1	1	1	3.43	9.51	3.43	9.51	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
38	小池镇-相位	Tiểu Trì Trấn 	4	4	2	1	0	128	128	./Scene/Yw_Xiaochizhen.path	xiaochizhen	384	384	128	3	24	0	-1	40	56	-1	16	80	100	1	1	1	49	86	49	86	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
39	副本	Mộng Cảnh Hà Dương 	21	6	2	1	0	37	74	./Scene/Fb_Menghuiheyang.path	menghuiheyang	222	222	74	30	26	0	-1	5	10	-1	10	80	100	1	1	1	13	16	13	16	-1	-1	0	0	1	-1	0	16	4	0	-1	0	0
40	野外	Phần Hương Cốc 	29	0	1	1	0	128	128	./Scene/Yw_Fenxianggu.path	fenxianggu	384	384	128	238	0	0	-1	40	56	-1	8	80	100	1	1	1	11.2	13.19	11.2	13.19	-1	-1	1	1	65	-1	1	16	4	0	-1	0	0
41	野外	Huyền Hỏa Đàn Nhất Tằng 	24	11	1	1	0	48	48	./Scene/Fb_xuanhuotandiyiceng.path	xuanhuotan1	144	144	48	206	0	0	-1	40	56	-1	8	80	100	1	1	1	23.87	3.31	23.87	3.31	-1	-1	1	1	65	-1	1	16	4	0	-1	0	0
42	野外	Đại Vương Thôn 	30	0	1	1	0	128	128	./Scene/Yw_Dawangcun.path	dawangcun	384	384	128	254	0	0	-1	40	56	-1	8	80	100	1	1	1	75.7	60	75.7	60	-1	-1	1	1	45	-1	1	16	4	0	-1	0	0
43	野外	Tử Vong Chiểu Trạch 	22	2	1	1	0	128	128	./Scene/Yw_Xifangzhaoze.path	xifangzhaoze	384	384	128	143	0	0	-1	40	56	-1	8	80	100	1	1	1	12.29	12.43	12.29	12.43	-1	-1	1	1	55	-1	1	16	4	0	-1	0	0
44	野外	Thất Lý Động 	19	0	1	1	0	128	128	./Scene/Yw_Qilitong.path	qilidong	384	384	128	119	0	0	-1	40	56	-1	8	80	100	1	1	1	13.62	115.81	13.62	115.81	-1	-1	1	1	75	-1	1	16	4	0	-1	0	0
45	野外	Thập Vạn Đại Sơn 	35	0	1	1	0	128	128	./Scene/Yw_Shiwandashan.path	shiwandashan	384	384	128	360	0	0	-1	40	56	-1	8	80	100	1	1	1	101.67	24.62	101.67	24.62	-1	-1	1	1	85	-1	1	16	4	0	-1	0	0
46	焚香谷相位	Phần Hương Cốc 	29	4	2	1	0	128	128	./Scene/Yw_Fenxianggu.path	fenxianggu	384	384	128	41	27	0	-1	40	56	-1	16	80	100	1	1	1	11.2	13.19	11.2	13.19	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
47	大王村相位	Đại Vương Thôn 	30	4	2	1	0	128	128	./Scene/Yw_Dawangcun.path	dawangcun	384	384	128	41	30	0	-1	40	56	-1	16	80	100	1	1	1	16.38	24.88	16.38	24.88	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
48	死泽相位	Tử Vong Chiểu Trạch 	22	4	2	1	0	128	128	./Scene/Yw_Xifangzhaoze.path	xifangzhaoze	384	384	128	143	31	0	-1	40	56	-1	16	80	100	1	1	1	12.29	12.43	12.29	12.43	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
49	大王村-凶残黑蟾	Hắc thủy câu	30	4	2	1	0	128	128	./Scene/Yw_Dawangcun.path	dawangcun	384	384	128	254	32	0	-1	40	56	-1	16	80	100	1	1	1	63.49	7.63	63.49	7.63	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
50	死泽相位-搜索水洼	Ở ngoài trạch	22	4	2	1	0	128	128	./Scene/Yw_Xifangzhaoze.path	xifangzhaoze	384	384	128	143	33	0	-1	40	56	-1	16	80	100	1	1	1	12.29	12.43	12.29	12.43	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
51	死泽相位-一场混战	Chết trạch Trùng Huyệt 	22	4	2	1	0	128	128	./Scene/Yw_Xifangzhaoze.path	xifangzhaoze	384	384	128	143	34	0	-1	40	56	-1	16	80	100	1	1	1	12.29	12.43	12.29	12.43	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
52	副本	Trấn Ma Cổ Động 	31	6	2	1	1	96	96	./Scene/Fb_Zhenmogudong.path	zhenmogudong	480	480	96	31	43	0	-1	40	56	-1	10	80	100	1	1	1	5.34	54.95	3.68	47.47	-1	-1	0	0	1	-1	1	100	4	1	-1	0	0
53	野外	Lưu Ba Sơn 	23	0	1	1	0	128	128	./Scene/Yw_Liuboshan.path	liuboshan	384	384	128	194	0	0	-1	40	56	-1	8	80	100	1	1	1	16.09	67.57	16.09	67.57	-1	-1	1	1	35	-1	1	16	4	0	-1	0	0
54	流波山相位	Lưu Ba Sơn 	23	0	2	1	0	128	128	./Scene/Yw_Liuboshan.path	liuboshan	384	384	128	41	37	0	-1	40	56	-1	16	80	100	1	1	1	16.09	67.57	16.09	67.57	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
55	七里峒相位	Thất Lý Động 	19	4	2	1	0	128	128	./Scene/Yw_Qilitong.path	qilidong	384	384	128	41	38	0	-1	40	56	-1	16	80	100	1	1	1	13.62	115.81	13.62	115.81	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
56	空中婚礼副本	Phượng Hoàng Lâu 	33	9	4	1	0	70	70	./Scene/Fb_Jiehun_tian.path	jiehun_sky	210	210	70	289	0	0	-1	46	56	-1	10	80	100	1	1	1	34	26	34	26	-1	-1	1	0	1	5216	1	16	4	0	-1	0	0
57	地面婚礼副本	Uyên Ương Đường 	34	9	4	1	0	70	70	./Scene/Fb_Jiehun_di.path	jiehun	210	210	70	288	0	0	-1	46	56	-1	10	80	100	1	1	1	32	30	32	30	-1	-1	1	0	1	5216	1	16	4	0	-1	0	0
58	七里峒相位	Ném tới trong nước	19	6	2	1	0	128	128	./Scene/Zc_Heyangcheng.path	qilidong	384	384	128	41	42	0	-1	40	56	-1	16	80	100	1	1	1	-1	-1	13.62	115.81	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
59	帮会普通宵小-炼血堂入侵	Luyện Huyết Đường Nhập Xâm 	10	6	2	1	0	50	50	./Scene/Fb_Banghuishudi.path	banghuishudi	150	150	50	30	35	0	-1	40	56	-1	10	80	100	1	1	1	29	33	29	33	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
60	帮会大宵小炼血堂逆袭	Luyện Huyết Đường Nghịch Tập 	10	6	2	1	0	50	50	./Scene/Fb_Banghuishudi.path	banghuishudi	150	150	50	335	36	0	-1	40	56	-1	10	80	100	1	1	1	29	33	29	33	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
61	家族聚餐副本	Gia Tộc Tụ Xan 	21	6	2	1	0	37	74	./Scene/Fb_Menghuiheyang.path	menghuiheyang	222	222	74	290	44	0	-1	40	56	-1	10	80	100	1	1	1	15.28	59	15.28	59	-1	-1	0	0	1	-1	0	16	4	0	-1	0	0
62	野外	Côn Lôn Sơn 	20	16	1	1	0	128	128	./Scene/Yw_Kunlunshan.path	kunlunshan	384	384	128	133	0	0	-1	40	56	-1	8	80	100	1	1	1	99	9.3	99	9.3	-1	-1	1	1	115	-1	1	16	4	0	-1	0	0
63	十万大山-相位	Thập Vạn Đại Sơn 	35	0	2	1	0	128	128	./Scene/Yw_Shiwandashan.path	shiwandashan	384	384	128	360	46	0	-1	40	56	-1	16	80	100	1	1	1	101.67	24.62	101.67	24.62	-1	-1	1	1	90	4122	1	16	4	0	-1	0	0
64	帮会任务副本	Thanh Tiễu Dư Nghiệt 	16	3	2	1	0	33	33	./Scene/Fb_dixuedong.path	dixuedong	96	96	33	94	47	0	-1	40	56	-1	10	80	100	1	1	1	16.67	1.67	16.67	1.67	-1	-1	1	1	1	-1	1	16	4	0	-1	0	0
65	毒蛇谷	Độc Xà Cốc 	27	2	1	1	0	128	128	./Scene/Yw_Dushegu.path	dushegu	384	384	128	210	47	0	-1	40	56	-1	8	80	100	1	1	1	13.8	112.4	13.8	112.4	-1	-1	1	1	95	-1	1	16	4	0	-1	0	0
66	流波山相位	Lưu Ba Sơn 	23	12	2	1	0	128	128	./Scene/Yw_Liuboshan.path	liuboshan	384	384	128	41	48	0	-1	40	56	-1	16	80	100	1	1	1	16.09	67.57	16.09	67.57	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
67	毒蛇谷-相位	Độc Xà Cốc 	27	0	2	1	0	128	128	./Scene/Yw_Dushegu.path	dushegu	384	384	128	210	51	0	-1	40	56	-1	16	80	100	1	1	1	13.8	112.4	13.8	112.4	-1	-1	1	1	30	-1	1	16	4	0	-1	0	0
68	蛮荒	Man Hoang 	36	15	1	1	0	128	128	./Scene/Yw_Manhuang.path	manhuang	384	384	128	210	0	0	-1	40	56	-1	8	80	100	1	1	1	120.4	9.9	120.4	9.9	-1	-1	1	1	105	-1	1	16	4	0	-1	0	0
69	蛮荒-相位	Man Hoang 	36	12	2	1	0	128	128	./Scene/Yw_Manhuang.path	manhuang	384	384	128	210	52	0	-1	40	56	-1	16	80	100	1	1	1	120.4	9.9	120.4	9.9	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
70	河阳相位（无小怪）	Hà Dương Thành 	7	12	2	1	0	128	128	./Scene/Zc_Heyangcheng.path	heyangcheng	384	384	128	41	4	0	-1	40	56	-1	16	80	100	1	1	1	-1	-1	79.92	63.41	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
71	鬼王相位（无小怪）	Hồ Kỳ Sơn 	12	12	2	1	0	128	128	./Scene/Yw_huqishan.path	huqishan	384	384	128	41	9	0	-1	40	56	-1	16	80	100	1	1	1	3.43	9.51	3.43	9.51	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
72	合欢相位（无小怪）	Tiêu Diêu Giản 	15	12	2	1	0	128	128	./Scene/Yw_xiaoyaojian.path	xiaoyaojian	384	384	128	41	14	0	-1	40	56	-1	16	80	100	1	1	1	-1	-1	86.82	63.18	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
73	天音相位（无小怪）	Thiên Âm Tự 	14	12	2	1	0	128	128	./Scene/Yw_Tianyinsi.path	tianyinsi	384	384	128	335	6	0	-1	40	56	-1	16	80	100	1	1	1	-1	-1	86.82	63.18	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
74	空桑山相位（无小怪）	Không Tang Sơn 	17	12	2	1	0	128	128	./Scene/Yw_Kongsangshan.path	kongsangshan	384	384	128	335	25	0	-1	40	56	-1	16	80	100	1	1	1	3.43	9.51	3.43	9.51	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
75	小池镇相位（无小怪）	Tiểu Trì Trấn 	4	12	2	1	0	128	128	./Scene/Yw_Xiaochizhen.path	xiaochizhen	384	384	128	3	24	0	-1	40	56	-1	16	80	100	1	1	1	49	86	49	86	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
76	玄火坛相位（无小怪）	Huyền Hỏa Đàn Nhất Tằng 	24	12	2	1	0	128	128	./Scene/Yw_Fenxianggu.path	xuanhuotan1	144	144	48	238	30	0	-1	40	56	-1	16	80	100	1	1	1	11.2	13.19	11.2	13.19	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
77	青云相位（无小怪）	Thanh Vân Sơn 	3	12	2	1	0	128	128	./Scene/zc_qingyunshan.path	qingyunshan	384	384	128	335	5	0	-1	40	56	-1	16	80	100	1	1	1	-1	-1	86.82	63.18	-1	-1	0	0	1	4122	1	16	4	0	-1	0	0
78	大王村相位（无小怪）	Đại Vương Thôn 	30	12	2	1	0	128	128	./Scene/Yw_Dawangcun.path	dawangcun	384	384	128	254	30	0	-1	40	56	-1	16	80	100	1	1	1	16.38	24.88	16.38	24.88	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
79	死泽相位（无小怪）	Tử Vong Chiểu Trạch 	22	12	2	1	0	128	128	./Scene/Yw_Xifangzhaoze.path	xifangzhaoze	384	384	128	143	49	0	-1	40	56	-1	16	80	100	1	1	1	12.29	12.43	12.29	12.43	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
80	七里峒相位（无小怪）	Thất Lý Động 	19	12	2	1	0	128	128	./Scene/Yw_Qilitong.path	qilidong	384	384	128	119	38	0	-1	40	56	-1	16	80	100	1	1	1	13.62	115.81	13.62	115.81	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
81	流波山相位（无小怪）	Lưu Ba Sơn 	23	12	2	1	0	128	128	./Scene/Yw_Liuboshan.path	liuboshan	384	384	128	41	0	0	-1	40	56	-1	16	80	100	1	1	1	16.09	67.57	16.09	67.57	-1	-1	1	1	1	4122	1	16	4	0	-1	0	0
82	十万大山相位（无小怪）	Thập Vạn Đại Sơn 	35	12	2	1	0	128	128	./Scene/Yw_Shiwandashan.path	shiwandashan	384	384	128	360	46	0	-1	40	56	-1	16	80	100	1	1	1	101.67	24.62	101.67	24.62	-1	-1	1	1	90	4122	1	16	4	0	-1	0	0
83	妖兽突袭-流波山-相位	Lưu Ba Sơn 	23	14	2	1	0	128	128	./Scene/Yw_Liuboshan.path	liuboshan	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	2.41	67.76	2.41	67.76	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
84	妖兽突袭-焚香谷-相位	Phần Hương Cốc 	29	14	2	1	0	128	128	./Scene/Yw_Fenxianggu.path	fenxianggu	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	11.2	13.19	11.2	13.19	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
85	妖兽突袭-大王村-相位	Đại Vương Thôn 	30	14	2	1	0	128	128	./Scene/Yw_Dawangcun.path	dawangcun	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	75.7	60	75.7	60	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
86	妖兽突袭-死亡沼泽-相位	Tử Vong Chiểu Trạch 	22	14	2	1	0	128	128	./Scene/Yw_Xifangzhaoze.path	xifangzhaoze	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	12.29	12.43	12.29	12.43	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
87	妖兽突袭-七里峒-相位	Thất Lý Động 	19	14	2	1	0	128	128	./Scene/Yw_Qilitong.path	qilidong	384	384	128	206	29	0	-1	40	56	-1	18	80	100	1	1	1	13.62	115.81	13.62	115.81	-1	-1	1	1	1	-1	1	16	4	1	-1	0	0
88	毒蛇谷-相位(无小怪)	Độc Xà Cốc 	27	12	2	1	0	128	128	./Scene/Yw_Dushegu.path	dushegu	384	384	128	210	51	0	-1	40	56	-1	16	80	100	1	1	1	13.8	112.4	13.8	112.4	-1	-1	1	1	30	-1	1	16	4	0	-1	0	0
