Id	Desc	Name	Atlas	Icon	FakeObjId	NewModleId	NewFakeObjId	ClassId	Quality	CallLevel	CatchDesc	CatchRate	Astrology1	AstrologyWeight1	Astrology2	AstrologyWeight2	Astrology3	AstrologyWeight3	SpecialSkill1	SpecialSkill2	SpecialSkill3	SpecialSkill4	BornSkillId1	BornSkillRate1	BornSkillId2	BornSkillRate2	PaoPaoType	SoundId	StallFellowID	MainZzHighValue	GrowthRateHighValue	IsShow
713	宠物-(Hiếm)-花魅公主-50级	(Hiếm)花魅	Icon	pet_huajing	165	390	167	2	1	50	大王村捕捉（1~10线）	0.2	73	1	74	1	75	1	-1	-1	-1	-1	91501	1	93601	1	4	-1	713	2531	8.44	1
1449	宠物-(Hiếm)-VIPThaoThiết-50级-斗志忠心	ThaoThiết	Icon	pet_taotie	307	892	307	2	1	50	VIP17级福利	1	213	1	213	1	213	1	-1	-1	-1	-1	91101	1	91201	1	8	-1	-1	2531	8.44	1
2425	宠物-(Hiếm)-VIPThaoThiết-50级-斗志灵动	ThaoThiết	Icon	pet_taotie	307	892	307	2	1	50	VIP17级福利	1	212	1	-1	0	-1	0	-1	-1	-1	-1	91101	1	91201	1	8	-1	-1	2531	8.44	0
2426	宠物-(Hiếm)-VIPThaoThiết-50级-忠心健体	ThaoThiết	Icon	pet_taotie	307	892	307	2	1	50	VIP17级福利	1	217	1	-1	0	-1	0	-1	-1	-1	-1	91101	1	91201	1	8	-1	-1	2531	8.44	0
2372	情人节宠物-普通-小猫	MèoCon	Icon	pet_maomi	407	1221	409	1	1	50	情人节活动获得	0.5	184	0	185	0	186	1	-1	-1	-1	-1	94101	1	-1	0	4	-1	-1	2531	8.44	1
2374	情人节宠物-(Hiếm)-小猫	MèoCon(Hiếm)	Icon	pet_maomi	408	1222	410	2	1	50	情人节活动获得	0.1	266	1	266	1	266	1	-1	-1	-1	-1	94101	1	94201	1	4	-1	-1	2531	8.44	1
2304	双旦节宠物-普通-雪人	NgườiTuyết	IconPlusAtlas	shengdanxueren	384	1165	386	1	1	50	官方活动获得	0.5	183	1	-1	0	-1	0	-1	-1	-1	-1	91101	1	-1	0	4	-1	-1	2531	8.44	1
2306	双旦节宠物-(Hiếm)-雪人	(Hiếm)NgườiTuyết	IconPlusAtlas	shengdanxueren	385	1166	387	2	1	50	官方活动获得	0.1	265	1	-1	0	-1	0	-1	-1	-1	-1	91101	1	91201	1	4	-1	-1	2531	8.44	0
2427	双旦节宠物-(Hiếm)-雪人（仅展示）	(Hiếm)NgườiTuyết	IconPlusAtlas	shengdanxueren	385	1166	387	2	1	50	官方活动获得	0.1	193	0	194	0	195	1	-1	-1	-1	-1	91101	1	91201	1	4	-1	-1	2531	8.44	1
2387	宠物-(Hiếm)-TiểuMặc-1级（异业合作专用）	TiểuMặc	IconPlusAtlas	xiaomomei	415	1225	415	2	1	50	官网活动获得	0.1	73	1	74	1	75	1	-1	-1	-1	-1	91501	1	93601	1	4	-1	713	2531	8.44	0
2400	春节宠物-普通-小鸡	GàVàng	IconPlusAtlas	pet_ji	416	1228	418	1	1	50	春节活动获得	0.5	185	1	-1	0	-1	0	-1	-1	-1	-1	91101	1	-1	0	4	-1	-1	2531	8.44	1
2402	春节宠物-(Hiếm)-小鸡	(Hiếm)GàVàng	IconPlusAtlas	pet_ji	417	1229	419	2	1	50	春节活动获得	0.1	197	1	-1	0	-1	0	-1	-1	-1	-1	91101	1	91201	1	4	-1	-1	2531	8.44	0
1122	宠物-普通-ConCẩu-60级	ConCẩu	Icon	xiaojiu	194	512	196	1	1	60	死亡沼泽捕捉	0.5	94	1	95	1	96	1	-1	-1	-1	-1	94601	1	-1	0	1	-1	1122	1664	5.55	1
1124	宠物-(Hiếm)-ConCẩu-60级	(Hiếm)ConCẩu	Icon	xiaojiu	195	513	197	2	1	60	死亡沼泽捕捉（1~10线）	0.2	106	1	107	1	108	1	-1	-1	-1	-1	94601	1	91901	1	3	-1	1124	1664	5.55	1
699	宠物-普通-冰原雪熊-70级	BăngDiễmHùng	Icon	pet_xiong	152	383	154	1	1	70	焚香谷捕捉	0.5	121	1	122	1	123	1	-1	-1	-1	-1	91301	1	-1	0	8	-1	699	1913	6.38	1
701	宠物-(Hiếm)-冰原雪熊-70级	(Hiếm)BăngDiễmHùng	Icon	pet_xiong	153	384	155	2	1	70	焚香谷捕捉（1~10线）	0.3	133	1	134	1	135	1	-1	-1	-1	-1	91301	1	93801	1	8	-1	701	1913	6.38	1
707	宠物-普通-ThịHuyếtBiênBức-70级	ThịHuyếtBiênBức	Icon	pet_bianfu	160	387	162	1	1	70	焚香谷空中捕捉	0.5	127	1	128	1	129	1	-1	-1	-1	-1	93701	1	-1	0	2	-1	707	1913	6.38	1
709	宠物-(Hiếm)-ThịHuyếtBiênBức-70级	(Hiếm)ThịHuyếtBiênBức	Icon	pet_bianfu	161	388	163	2	1	70	焚香谷空中捕捉（1~10线）	0.2	139	1	140	1	141	1	-1	-1	-1	-1	93701	1	92601	1	2	-1	709	1913	6.38	1
723	宠物-普通-ThủHộThạchLinh-80级	ThủHộThạchLinh	Icon	pet_shiling	176	395	178	1	1	80	七里峒捕捉	0.5	160	1	161	1	162	1	-1	-1	-1	-1	92501	1	-1	0	2	-1	723	2201	7.34	1
725	宠物-(Hiếm)-ThủHộThạchLinh-80级	(Hiếm)ThủHộThạchLinh	Icon	pet_shiling	177	396	179	2	1	80	七里峒捕捉（1~10线）	0.1	172	1	173	1	174	1	-1	-1	-1	-1	92501	1	94901	1	2	-1	725	2201	7.34	1
719	宠物-普通-猫头鹰-80级	DạKiêu	Icon	pet_maoptouying	172	393	174	1	1	80	七里峒空中捕捉	0.5	154	1	155	1	156	1	-1	-1	-1	-1	94301	1	-1	0	1	-1	719	2201	7.34	1
721	宠物-(Hiếm)-猫头鹰-80级	(Hiếm)DạKiêu	Icon	pet_maoptouying	173	394	175	2	1	80	七里峒空中捕捉（1~10线）	0.1	166	1	167	1	168	1	-1	-1	-1	-1	94301	1	91801	1	1	-1	721	2201	7.34	1
695	宠物-普通-MịTâmĐiệpTinh-90级	MịTâmĐiệpTinh	Icon	diejing	148	381	150	1	1	90	十万大山空中捕捉	0.6	190	1	191	1	192	1	-1	-1	-1	-1	92201	1	-1	0	4	-1	695	2531	8.44	1
697	宠物-(Hiếm)-MịTâmĐiệpTinh-90级	(Hiếm)ĐiệpTinh	Icon	diejing	149	382	151	2	1	90	十万大山空中捕捉（1~10线）	0.4	202	1	203	1	204	1	-1	-1	-1	-1	92201	1	94401	1	4	-1	697	2531	8.44	1
715	宠物-普通-HồLy-90级	HồLy	Icon	huli	168	391	170	1	1	90	毒蛇谷捕捉	0.5	187	1	188	1	189	1	-1	-1	-1	-1	93501	1	-1	0	8	-1	715	2531	8.44	1
717	宠物-(Hiếm)-HồLy-90级	(Hiếm)HồLy	Icon	huli	169	392	171	2	1	90	毒蛇谷捕捉（1~10线）	0.1	199	1	200	1	201	1	-1	-1	-1	-1	93501	1	92701	1	8	-1	717	2531	8.44	1
703	宠物-普通-ThấtThảiMiLộc-90级	ThấtThảiMiLộc	Icon	pet_milu	156	385	158	1	1	90	十万大山捕捉	0.5	184	1	185	1	186	1	-1	-1	-1	-1	94701	1	-1	0	1	-1	703	2531	8.44	1
705	宠物-(Hiếm)-ThấtThảiMiLộc-90级	(Hiếm)MiLộc	Icon	pet_milu	157	386	159	2	1	90	十万大山捕捉（1~10线）	0.3	196	1	197	1	198	1	-1	-1	-1	-1	94701	1	91601	1	1	-1	705	2531	8.44	1
727	宠物-普通-ThảiDựcHoàngĐiểu-90级	ThảiDựcHoàngĐiểu	Icon	pet_huangniao	180	397	182	1	1	90	毒蛇谷空中捕捉	0.5	181	1	182	1	183	1	-1	-1	-1	-1	91201	1	-1	0	4	-1	727	2531	8.44	1
729	宠物-(Hiếm)-ThảiDựcHoàngĐiểu-90级	(Hiếm)HoàngĐiểu	Icon	pet_huangniao	181	398	183	2	1	90	毒蛇谷空中捕捉（1~10线）	0.1	193	1	194	1	195	1	-1	-1	-1	-1	91201	1	93901	1	4	-1	729	2531	8.44	1
2282	大世界宠物-普通-PhọcMiêuẢnh-90级	PhọcMiêuẢnh	IconPlusAtlas	pet_piaomiaozhiying	366	1125	368	1	1	90	长生界捕捉	0.5	250	1	251	1	252	1	-1	-1	-1	-1	92101	1	-1	0	8	-1	2282	2531	8.44	1
2284	大世界宠物-(Hiếm)-PhọcMiêuẢnh-90级	(Hiếm)PhọcMiêuẢnh	IconPlusAtlas	pet_piaomiaozhiying	367	1126	369	2	1	90	长生界捕捉（1~10线）	0.1	262	1	263	1	264	1	-1	-1	-1	-1	92101	1	92201	1	8	-1	2284	2531	8.44	1
2286	大世界宠物-普通-NgựThiênLôiThần-90级	NgựThiênLôiThần	IconPlusAtlas	pet_leizhenzi	370	1147	372	1	1	90	长生界捕捉	0.5	244	1	245	1	246	1	-1	-1	-1	-1	94101	1	-1	1	2	-1	2286	2531	8.44	1
2288	大世界宠物-(Hiếm)-NgựThiênLôiThần-90级	(Hiếm)NgựThiênLôiThần	IconPlusAtlas	pet_leizhenzi	371	1148	373	2	1	90	长生界捕捉（1~10线）	0.1	256	1	257	1	258	1	-1	-1	-1	-1	94101	1	94201	1	2	-1	2288	2531	8.44	1
2291	大世界宠物-普通-LiệpƯng-90级	LiệpƯng	IconPlusAtlas	pet_lieying	374	1151	376	1	1	90	长生界空中捕捉	0.5	247	1	248	1	249	1	-1	-1	-1	-1	93101	1	-1	1	4	-1	2291	2531	8.44	1
2293	大世界宠物-普通-LiệpƯng-90级	(Hiếm)LiệpƯng	IconPlusAtlas	pet_lieying	375	1152	377	2	1	90	长生界空中捕捉（1~10线）	0.1	259	1	260	1	261	1	-1	-1	-1	-1	93101	1	93201	1	4	-1	2293	2531	8.44	1
2294	大世界宠物-普通-ỨngLong-90级	ỨngLong	IconPlusAtlas	pet_yinglong	378	1155	380	1	1	90	敬请期待	0.5	241	1	242	1	243	1	-1	-1	-1	-1	91101	1	-1	1	1	-1	-1	2531	8.44	0
2296	大世界宠物-(Hiếm)-ỨngLong-90级	(Hiếm)ỨngLong	IconPlusAtlas	pet_yinglong	379	1156	381	2	1	90	敬请期待	0.1	253	1	254	1	255	1	-1	-1	-1	-1	91101	1	91201	1	1	-1	-1	2531	8.44	0
