Id	Desc	MaxHP	MaxMP	Attack	Defense	Hit	Dodge	Critical	Decritical	CritDamageAdd	CritDamageDec	DizzyAttack	CharmAttack	LethargyAttack	HaltAttack	DizzyDef	CharmDef	LethargyDef	HaltDef	AllDebuffAtt	AllDebuffDef
39	天帝宝库封印3	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
40	天帝宝库封印4	0	0	0	480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	天帝宝库封印5	0	0	0	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	天帝宝库封印6	0	0	0	640	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0
43	天帝宝库封印7	0	0	0	720	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0
44	天帝宝库封印8	0	0	0	800	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0
45	天帝宝库封印9	0	0	0	880	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0	0
46	天帝宝库封印10	0	0	0	960	0	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0
47	天帝宝库封印11	0	0	0	1040	0	0	0	0	0	350	0	0	0	0	0	0	0	0	0	0
48	天帝宝库封印12	0	0	0	1120	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0
49	天帝宝库125层	0	0	0	1200	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0
50	河阳奇遇称号（翻跟头）	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0
51	<你是好人么么哒>	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
52	<禽兽不如>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0
53	<有如禽兽>	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	<当一天和尚撞一天钟>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
55	<千杯不醉>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
56	<独步风流第一科>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0
57	<人类历史上最强的废材>	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
58	<夜半鬼敲门>	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
59	<君当如黑节竹>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
60	<眼里揉不得一坨沙子>	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
61	<天下第一杀手>	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
62	<魅力不减当年>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0
63	<不忘初心>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
64	<广结善缘>	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65	<南柯一梦>	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	【测试】鬼先生系列隐藏任务	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	周一仙系列隐藏任务	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	<宝宝有苦说不出>	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0
69	<不撞南墙不回头>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0
70	<不识庐山真面目>	0	0	0	0	0	0	0	800	0	0	0	0	0	0	0	0	0	0	0	0
71	<人生若只如初见>	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	伏龙鼎隐藏任务	0	0	0	0	0	0	0	800	0	0	0	0	0	0	0	0	0	0	0	0
73	战力达700W	18570	0	820	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74	<我很危险请勿靠近>	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0
75	<一二三四再来一次>	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0
76	<打打杀杀真没意思>	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	<浓情空余心伤>	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
78	<相思莫相负>	0	0	0	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79	<还可以抢救一下>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
80	<无敌是多么寂寞>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
81	<东风夜放花千树>	0	0	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82	<宝烟飞焰万花浓>	0	0	0	666	0	0	0	4785	0	0	0	0	0	0	0	0	0	0	0	0
83	<火树银花不夜天>	0	0	0	888	0	0	0	6380	0	736	0	0	0	0	0	0	0	0	0	0
84	<任性何必称号拽>	0	0	888	0	0	0	7975	0	736	0	0	0	0	0	0	0	0	0	0	0
85	<除魔先锋>	8440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	<斩妖除魔先锋>	12660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
87	<除魔大师>	16880	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0
88	<斩妖除魔大师>	21100	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0
89	<魔由心生>	25320	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0
90	<魔王>	29540	0	0	0	0	0	0	0	240	100	0	0	0	0	0	0	0	0	0	0
91	<魔神>	33760	0	0	0	0	0	0	0	300	200	0	0	0	0	0	0	0	0	0	0
92	<我是世界之王>	37980	0	0	0	0	0	0	0	360	300	0	0	0	0	0	0	0	0	0	0
93	<我面前的各位，你们都是……>	42200	0	0	0	0	0	0	0	400	400	0	0	0	0	0	0	0	0	0	0
94	<不慌，在这儿我罩你>	18570	0	820	545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95	连续炼器失败称号	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400
96	帮派发红包称号	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	750	0
97	<苍茫大地一剑尽挽破>	101384	0	1810	1206	0	0	0	0	1500	1500	0	0	0	0	0	0	0	0	0	0
98	<超然物外>	22366	0	954	636	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0
99	<天道无极>	23632	0	1008	672	0	0	0	0	280	0	0	0	0	0	0	0	0	0	0	0
100	<气冲八荒>	24898	0	1062	708	0	0	0	0	320	0	0	0	0	0	0	0	0	0	0	0
101	<大道无术>	26164	0	1116	744	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0
102	<坐忘无我>	27430	0	1170	780	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0
103	<感觉自己香香哒>	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
