Id	Desc	TabIndex	ItemId	Stack	Price	Discount	OnSale	SellStart	SellEnd	IsRecommend	IsPrecious	IsSell	IsPresent	FriendPointReq	VipLevelVisible	VipLevelBuy	SaveIndex	ShowSort	RecommendSort
81	醒神断金石(6级)	2	5105	1	1026	1026	0	-1	-1	0	0	1	0	0	-1	-1	-1	848	-1
82	培元断金石(6级)	2	5205	1	1026	1026	0	-1	-1	0	0	1	0	0	-1	-1	-1	849	-1
83	混沌断金石(6级)	2	5305	1	1026	1026	0	-1	-1	0	0	1	0	0	-1	-1	-1	850	-1
84	夺魄断金石(6级)（暂不放出）	2	5405	1	1026	1026	0	-1	-1	0	0	0	0	0	-1	-1	-1	851	-1
85	渡劫金刚石(6级)	2	5505	1	1026	1026	0	-1	-1	0	0	1	0	0	-1	-1	-1	852	-1
86	三味金刚石(6级)	2	5605	1	1026	1026	0	-1	-1	0	0	1	0	0	-1	-1	-1	853	-1
87	神行金刚石(6级)	2	5705	1	1026	1026	0	-1	-1	0	0	1	0	0	-1	-1	-1	854	-1
88	天心金刚石(6级)	2	5805	1	1026	1026	0	-1	-1	0	0	1	0	0	-1	-1	-1	855	-1
89	避尘金刚石(6级)（暂不放出）	2	5905	1	1026	1026	0	-1	-1	0	0	0	0	0	-1	-1	-1	856	-1
90	强震断金石(6级)	2	6005	1	1026	1026	0	-1	-1	0	0	1	0	0	-1	-1	-1	857	-1
91	摄心断金石(6级)	2	6105	1	1026	1026	0	-1	-1	0	0	1	0	0	-1	-1	-1	858	-1
92	御魂断金石(6级)	2	6205	1	1026	1026	0	-1	-1	0	0	1	0	0	-1	-1	-1	859	-1
93	万钧断金石(6级)	2	6305	1	1026	1026	0	-1	-1	0	0	1	0	0	-1	-1	-1	860	-1
94	强震金刚石(6级)	2	6405	1	1026	1026	0	-1	-1	0	0	1	0	0	-1	-1	-1	861	-1
95	摄心金刚石(6级)	2	6505	1	1026	1026	0	-1	-1	0	0	1	0	0	-1	-1	-1	862	-1
96	御魂金刚石(6级)	2	6605	1	1026	1026	0	-1	-1	0	0	1	0	0	-1	-1	-1	863	-1
97	万钧金刚石(6级)	2	6705	1	1026	1026	0	-1	-1	0	0	1	0	0	-1	-1	-1	864	-1
98	陆吾[7天]	3	20030	1	450	450	0	-1	-1	0	0	1	1	600	-1	-1	-1	1101	-1
99	陆吾[30天]	3	20031	1	1050	1050	0	-1	-1	0	0	1	1	600	-1	-1	-1	1102	-1
100	陆吾[永久]	3	20032	1	3600	3600	0	-1	-1	0	0	1	1	600	-1	-1	-1	1103	-1
101	技能全洗符	5	1500	1	20	20	0	-1	-1	0	0	1	0	0	-1	-1	-1	1012	-1
102	真言	5	22101	1	10	10	0	-1	-1	0	1	1	0	0	-1	-1	-1	1001	-1
103	真言	5	22101	10	100	90	1	-1	-1	0	1	1	0	0	-1	-1	-1	1002	-1
104	丹书铁券	5	22401	1	20	20	0	-1	-1	0	0	1	0	0	-1	-1	-1	1007	-1
105	三生定情戒	5	25000	1	980	980	0	-1	-1	0	0	1	0	0	-1	-1	-1	1003	-1
106	角色更名册	5	22402	1	880	880	0	-1	-1	0	0	1	0	0	-1	-1	-1	1015	-1
107	家族更名册	5	22403	1	1880	1880	0	-1	-1	0	0	1	0	0	-1	-1	-1	1016	-1
108	帮会更名册	5	22404	1	1880	1880	0	-1	-1	0	0	1	0	0	-1	-1	-1	1017	-1
109	鸿蒙古玉	1	15051	1	50	50	0	-1	-1	0	1	1	0	0	-1	-1	-1	504	-1
110	水晶矿锄	5	12000	1	50	50	0	-1	-1	0	0	1	0	0	-1	-1	-1	1009	-1
111	水晶剥皮刀	5	12001	1	50	50	0	-1	-1	0	0	1	0	0	-1	-1	-1	1010	-1
112	水晶钓竿	5	12002	1	50	50	0	-1	-1	0	0	1	0	0	-1	-1	-1	1011	-1
113	真仙碎片	1	4212	1	10	10	0	-1	-1	0	0	0	0	0	-1	-1	-1	-1	-1
114	青霜承影-永久	3	20005	1	200	200	0	-1	-1	0	0	1	1	600	-1	-1	-1	1107	-1
115	云渺装·衣[7天]	9	20598	1	120	120	0	-1	-1	0	0	1	1	600	-1	-1	-1	1413	-1
116	新手外观衣服2[7天]	9	20509	1	120	120	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
117	新手外观衣服3[7天]	9	20510	1	120	120	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
118	新手外观脸1[7天]	10	20511	1	100	100	0	-1	-1	0	0	1	1	600	-1	-1	-1	2064	-1
119	新手外观脸2[7天]	10	20512	1	100	100	0	-1	-1	0	0	1	1	600	-1	-1	-1	2067	-1
120	新手外观脸3[7天]	10	20513	1	100	100	0	-1	-1	0	0	1	1	600	-1	-1	-1	2070	-1
121	新手外观脸4[7天]	10	20514	1	100	100	0	-1	-1	0	0	1	1	600	-1	-1	-1	2073	-1
122	新手外观脸5[7天]	10	20515	1	100	100	0	-1	-1	0	0	1	1	600	-1	-1	-1	2076	-1
123	新手外观脸6[7天]	10	20516	1	100	100	0	-1	-1	0	0	1	1	600	-1	-1	-1	2079	-1
124	新手外观·发1[7天]	10	20517	1	60	60	0	-1	-1	0	0	1	1	600	-1	-1	-1	2046	-1
125	新手外观·发2[7天]	10	20518	1	60	60	0	-1	-1	0	0	1	1	600	-1	-1	-1	2049	-1
126	新手外观·发3[7天]	10	20519	1	60	60	0	-1	-1	0	0	1	1	600	-1	-1	-1	2052	-1
127	新手外观·发4[7天]	10	20520	1	60	60	0	-1	-1	0	0	1	1	600	-1	-1	-1	2055	-1
128	新手外观·发5[7天]	10	20521	1	60	60	0	-1	-1	0	0	1	1	600	-1	-1	-1	2058	-1
129	新手外观·发6[7天]	10	20522	1	60	60	0	-1	-1	0	0	1	1	600	-1	-1	-1	2061	-1
130	职业武器1[7天]	9	20523	1	260	260	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
131	职业武器2[7天]	9	20524	1	260	260	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
132	职业武器3[7天]	9	20525	1	260	260	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
133	职业武器4[7天]	9	20526	1	300	300	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
134	职业武器5[7天]	9	20527	1	300	300	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
135	职业武器6[7天]	9	20528	1	300	300	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
136	职业武器7[7天]	9	20529	1	300	300	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
137	职业武器8[7天]	9	20530	1	380	380	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
138	职业武器9[7天]	9	20531	1	380	380	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
139	职业武器10[7天]	9	20532	1	380	380	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
140	云渺装·衣[30天]	9	20600	1	400	400	0	-1	-1	0	0	1	1	600	-1	-1	-1	1414	-1
141	新手外观衣服2[30天]	9	20534	1	400	400	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
142	新手外观衣服3[30天]	9	20535	1	400	400	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
143	新手外观脸1[30天]	10	20536	1	320	320	0	-1	-1	0	0	1	1	600	-1	-1	-1	2065	-1
144	新手外观脸2[30天]	10	20537	1	320	320	0	-1	-1	0	0	1	1	600	-1	-1	-1	2068	-1
145	新手外观脸3[30天]	10	20538	1	320	320	0	-1	-1	0	0	1	1	600	-1	-1	-1	2071	-1
146	新手外观脸4[30天]	10	20539	1	320	320	0	-1	-1	0	0	1	1	600	-1	-1	-1	2074	-1
147	新手外观脸5[30天]	10	20540	1	320	320	0	-1	-1	0	0	1	1	600	-1	-1	-1	2077	-1
148	新手外观脸6[30天]	10	20541	1	320	320	0	-1	-1	0	0	1	1	600	-1	-1	-1	2080	-1
149	新手外观·发1[30天]	10	20542	1	200	200	0	-1	-1	0	0	1	1	600	-1	-1	-1	2047	-1
150	新手外观·发2[30天]	10	20543	1	200	200	0	-1	-1	0	0	1	1	600	-1	-1	-1	2050	-1
151	新手外观·发3[30天]	10	20544	1	200	200	0	-1	-1	0	0	1	1	600	-1	-1	-1	2053	-1
152	新手外观·发4[30天]	10	20545	1	200	200	0	-1	-1	0	0	1	1	600	-1	-1	-1	2056	-1
153	新手外观·发5[30天]	10	20546	1	200	200	0	-1	-1	0	0	1	1	600	-1	-1	-1	2059	-1
154	新手外观·发6[30天]	10	20547	1	200	200	0	-1	-1	0	0	1	1	600	-1	-1	-1	2062	-1
155	职业武器1[30天]	9	20548	1	900	900	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
156	职业武器2[30天]	9	20549	1	900	900	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
157	职业武器3[30天]	9	20550	1	900	900	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
158	职业武器4[30天]	9	20551	1	1040	1040	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
159	职业武器5[30天]	9	20552	1	1040	1040	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
160	职业武器6[30天]	9	20553	1	1040	1040	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
161	职业武器7[30天]	9	20554	1	1040	1040	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
162	职业武器8[30天]	9	20555	1	1240	1240	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
163	职业武器9[30天]	9	20556	1	1240	1240	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
164	职业武器10[30天]	9	20557	1	1240	1240	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
165	云渺装·衣[永久]	9	20602	1	720	720	0	-1	-1	0	0	1	1	600	-1	-1	-1	1415	-1
166	新手外观衣服2[永久]	9	20559	1	720	720	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
167	新手外观衣服3[永久]	9	20560	1	720	720	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
168	新手外观脸1[永久]	10	20561	1	640	640	0	-1	-1	0	0	1	1	600	-1	-1	-1	2066	-1
169	新手外观脸2[永久]	10	20562	1	640	640	0	-1	-1	0	0	1	1	600	-1	-1	-1	2069	-1
170	新手外观脸3[永久]	10	20563	1	640	640	0	-1	-1	0	0	1	1	600	-1	-1	-1	2072	-1
171	新手外观脸4[永久]	10	20564	1	640	640	0	-1	-1	0	0	1	1	600	-1	-1	-1	2075	-1
172	新手外观脸5[永久]	10	20565	1	640	640	0	-1	-1	0	0	1	1	600	-1	-1	-1	2078	-1
173	新手外观脸6[永久]	10	20566	1	640	640	0	-1	-1	0	0	1	1	600	-1	-1	-1	2081	-1
174	新手外观·发1[永久]	10	20567	1	400	400	0	-1	-1	0	0	1	1	600	-1	-1	-1	2048	-1
175	新手外观·发2[永久]	10	20568	1	400	400	0	-1	-1	0	0	1	1	600	-1	-1	-1	2051	-1
176	新手外观·发3[永久]	10	20569	1	400	400	0	-1	-1	0	0	1	1	600	-1	-1	-1	2054	-1
177	新手外观·发4[永久]	10	20570	1	400	400	0	-1	-1	0	0	1	1	600	-1	-1	-1	2057	-1
178	新手外观·发5[永久]	10	20571	1	400	400	0	-1	-1	0	0	1	1	600	-1	-1	-1	2060	-1
179	新手外观·发6[永久]	10	20572	1	400	400	0	-1	-1	0	0	1	1	600	-1	-1	-1	2063	-1
180	职业武器1[永久]	9	20573	1	2120	2120	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
181	职业武器2[永久]	9	20574	1	2120	2120	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
182	职业武器3[永久]	9	20575	1	2120	2120	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
183	职业武器4[永久]	9	20576	1	2560	2560	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
184	职业武器5[永久]	9	20577	1	2560	2560	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
185	职业武器6[永久]	9	20578	1	2560	2560	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
186	职业武器7[永久]	9	20579	1	2560	2560	0	-1	-1	0	0	0	1	600	-1	-1	-1	-1	-1
187	大束黄玫瑰	5	22200	1	1000	1000	0	-1	-1	0	1	1	0	0	-1	-1	-1	1004	-1
188	小束黄玫瑰	5	22201	1	100	100	0	-1	-1	0	1	1	0	0	-1	-1	-1	1005	-1
189	一只黄玫瑰	5	22202	1	10	10	0	-1	-1	0	1	1	0	0	-1	-1	-1	1006	-1
190	羽翅礼包	5	23034	1	350	350	0	-1	-1	1	0	1	0	0	-1	-1	-1	704	36
191	羽皇礼包	5	23035	1	750	750	0	-1	-1	1	0	1	0	0	-1	-1	-1	705	37
192	鬼厉装·衣[永久]	9	20595	1	1288	1288	0	-1	-1	0	0	1	1	600	-1	-1	-1	1394	-1
193	雪琪装·衣[永久]	9	20596	1	1288	1288	0	-1	-1	0	0	1	1	600	-1	-1	-1	1397	-1
194	碧瑶装·衣[永久]	9	20597	1	1288	1288	0	-1	-1	0	0	1	1	600	-1	-1	-1	1400	-1
195	PK追踪道具 - 血滴子	5	22412	1	20	20	0	-1	-1	0	0	1	0	0	-1	-1	-1	1008	-1
196	VIP商店-8级宝石-元运断金石（8级）	4	5007	1	9234	9234	0	-1	-1	0	0	1	0	0	7	8	-1	3001	-1
197	VIP商店-8级宝石-元运断金石（10级）	4	5009	1	83106	83106	0	-1	-1	0	0	1	0	0	7	10	-1	3002	-1
198	VIP商店-8级宝石-醒神断金石（8级）	4	5107	1	9234	9234	0	-1	-1	0	0	1	0	0	7	8	-1	3011	-1
199	VIP商店-8级宝石-醒神断金石（10级）	4	5109	1	83106	83106	0	-1	-1	0	0	1	0	0	7	10	-1	3012	-1
200	VIP商店-8级宝石-培元断金石（8级）	4	5207	1	9234	9234	0	-1	-1	0	0	1	0	0	7	8	-1	3021	-1
201	VIP商店-8级宝石-培元断金石（10级）	4	5209	1	83106	83106	0	-1	-1	0	0	1	0	0	7	10	-1	3022	-1
202	VIP商店-8级宝石-混沌断金石（8级）	4	5307	1	9234	9234	0	-1	-1	0	0	1	0	0	7	8	-1	3031	-1
203	VIP商店-8级宝石-混沌断金石（10级）	4	5309	1	83106	83106	0	-1	-1	0	0	1	0	0	7	10	-1	3032	-1
204	VIP商店-8级宝石-渡劫金刚石（8级）	4	5507	1	9234	9234	0	-1	-1	0	0	1	0	0	7	8	-1	3051	-1
205	VIP商店-8级宝石-渡劫金刚石（10级）	4	5509	1	83106	83106	0	-1	-1	0	0	1	0	0	7	10	-1	3052	-1
206	VIP商店-8级宝石-三味金刚石（8级）	4	5607	1	9234	9234	0	-1	-1	0	0	1	0	0	7	8	-1	3061	-1
207	VIP商店-8级宝石-三味金刚石（10级）	4	5609	1	83106	83106	0	-1	-1	0	0	1	0	0	7	10	-1	3062	-1
208	VIP商店-8级宝石-神行金刚石（8级）	4	5707	1	9234	9234	0	-1	-1	0	0	1	0	0	7	8	-1	3071	-1
209	VIP商店-8级宝石-神行金刚石（10级）	4	5709	1	83106	83106	0	-1	-1	0	0	1	0	0	7	10	-1	3072	-1
210	VIP商店-8级宝石-天心金刚石（8级）	4	5807	1	9234	9234	0	-1	-1	0	0	1	0	0	7	8	-1	3081	-1
211	VIP商店-8级宝石-天心金刚石（10级）	4	5809	1	83106	83106	0	-1	-1	0	0	1	0	0	7	10	-1	3082	-1
212	VIP商店-8级宝石-强震断金石（8级）	4	6007	1	9234	9234	0	-1	-1	0	0	1	0	0	7	8	-1	3111	-1
213	VIP商店-8级宝石-强震断金石（10级）	4	6009	1	83106	83106	0	-1	-1	0	0	1	0	0	7	10	-1	3112	-1
214	VIP商店-8级宝石-摄心断金石（8级）	4	6107	1	9234	9234	0	-1	-1	0	0	1	0	0	7	8	-1	3121	-1
215	VIP商店-8级宝石-摄心断金石（10级）	4	6109	1	83106	83106	0	-1	-1	0	0	1	0	0	7	10	-1	3122	-1
216	VIP商店-8级宝石-御魂断金石（8级）	4	6207	1	9234	9234	0	-1	-1	0	0	1	0	0	7	8	-1	3131	-1
217	VIP商店-8级宝石-御魂断金石（10级）	4	6209	1	83106	83106	0	-1	-1	0	0	1	0	0	7	10	-1	3132	-1
218	VIP商店-8级宝石-万钧断金石（8级）	4	6307	1	9234	9234	0	-1	-1	0	0	1	0	0	7	8	-1	3141	-1
219	VIP商店-8级宝石-万钧断金石（10级）	4	6309	1	83106	83106	0	-1	-1	0	0	1	0	0	7	10	-1	3142	-1
220	VIP商店-8级宝石-强震金刚石（8级）	4	6407	1	9234	9234	0	-1	-1	0	0	1	0	0	7	8	-1	3151	-1
221	VIP商店-8级宝石-强震金刚石（10级）	4	6409	1	83106	83106	0	-1	-1	0	0	1	0	0	7	10	-1	3152	-1
222	VIP商店-8级宝石-摄心金刚石（8级）	4	6507	1	9234	9234	0	-1	-1	0	0	1	0	0	7	8	-1	3161	-1
223	VIP商店-8级宝石-摄心金刚石（10级）	4	6509	1	83106	83106	0	-1	-1	0	0	1	0	0	7	10	-1	3162	-1
224	VIP商店-8级宝石-御魂金刚石（8级）	4	6607	1	9234	9234	0	-1	-1	0	0	1	0	0	7	8	-1	3171	-1
225	VIP商店-8级宝石-御魂金刚石（10级）	4	6609	1	83106	83106	0	-1	-1	0	0	1	0	0	7	10	-1	3172	-1
226	VIP商店-8级宝石-万钧金刚石（8级）	4	6707	1	9234	9234	0	-1	-1	0	0	1	0	0	7	8	-1	3181	-1
227	VIP商店-8级宝石-万钧金刚石（10级）	4	6709	1	83106	83106	0	-1	-1	0	0	1	0	0	7	10	-1	3182	-1
228	灵狐时装宝箱	5	23083	1	198	198	0	-1	-1	0	0	1	0	0	-1	-1	-1	706	-1
230	鬼厉装·衣[30天]	9	20503	1	648	648	0	-1	-1	0	0	1	1	600	-1	-1	-1	1393	-1
231	雪琪装·衣[30天]	9	20505	1	648	648	0	-1	-1	0	0	1	1	600	-1	-1	-1	1396	-1
232	碧瑶装·衣[30天]	9	20507	1	648	648	0	-1	-1	0	0	1	1	600	-1	-1	-1	1399	-1
