Id	Desc	Name	CardDesc	ShowIndex	Introduction	Quality	InitLevel	HeadIconAtlas	HeadIconName	BigTexName	IconTexName	MaskTexName	CardToFragmentCount	StuffToFragmentCount	FragmentToStuffCount	CardDivToStuffCount	FragmentDivToStuffCount	AttrType_1	AttrValueID_1	AttrType_2	AttrValueID_2	AttrType_3	AttrValueID_3	AttrType_4	AttrValueID_4	AffectionName_1	AffectionDesc_1	AffectionConditonValue_1	AffectionGainsType_1	AffectionGainsValue_1	AffectionName_2	AffectionDesc_2	AffectionConditonValue_2	AffectionGainsType_2	AffectionGainsValue_2	AffectionName_3	AffectionDesc_3	AffectionConditonValue_3	AffectionGainsType_3	AffectionGainsValue_3	AffectionName_4	AffectionDesc_4	AffectionConditonValue_4	AffectionGainsType_4	AffectionGainsValue_4	TrainAttr_1	TrainAttr_2	TrainAttr_3	TrainAttr_4	TrainAttr_5	TrainAttr_6	TrainAttr_7	TrainAttr_8	TrainAttrWeight_1	TrainAttrWeight_2	TrainAttrWeight_3	TrainAttrWeight_4	TrainAttrWeight_5	TrainAttrWeight_6	TrainAttrWeight_7	TrainAttrWeight_8	TrainLove_1	TrainLove_2	TrainLove_3	TrainLove_4	TrainLove_5	TrainLove_6	TrainLove_7	TrainLove_8	TrainLoveWeight_1	TrainLoveWeight_2	TrainLoveWeight_3	TrainLoveWeight_4	TrainLoveWeight_5	TrainLoveWeight_6	TrainLoveWeight_7	TrainLoveWeight_8	CombatStar_1	CombatStar_2	CombatStar_3	CombatStar_4	GetWay
8	碧瑶	碧瑶	碧瑶合成/升阶需要收集[cc00ff][碧瑶碎片][-]和[灵尘]#r◇[cc00ff][碧瑶碎片][-]：vip赠送/开启[碧瑶福袋]奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	23		2	1	Icon	zhenling_biyao	Texture/Spirits/Card/zhenling_biyao_card	Texture/Spirits/Head/zhenling_biyao_tx	Texture/Spirits/ZheZhao/biyao	50	40	12	600	12	5	33	6	34	12	40	10	38	情撼九天	情撼九天：与鬼厉同时上阵，攻击+2900	1	5	2900	烈焰焚情	烈焰焚情：与鬼王同时上阵，命中+9760	3	7	9760	道心魔种	道心魔种：与金瓶儿同时上阵，全精通+7200	13	27	7200	矢志不渝	矢志不渝：与陆雪琪同时上阵，暴抗+15600	7	10	15600	26	28	29	30	32	-1	-1	-1	11	11	26	26	26	0	0	0	8	108	208	308	408	508	-1	-1	17	17	17	17	17	17	0	0	948	1897	11761	27444	1
9	周一仙	周一仙	周一仙合成/升阶需要收集[cc00ff][周一仙碎片][-]和[灵尘]#r◇[cc00ff][周一仙碎片][-]：兽神之叹掉落/仙灵值兑换#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	26		2	1	Icon	zhenling_zhouyixian	Texture/Spirits/Card/zhenling_zhouyixian_card	Texture/Spirits/Head/zhenling_zhouyixian_tx	Texture/Spirits/ZheZhao/zhouyixian	50	40	12	600	12	5	33	0	31	11	39	27	41	忘年之契	忘年之契：与鬼厉同时上阵，攻击+2900	1	5	2900	旧时故交	旧时故交：与鬼王同时上阵，气血+101400	3	0	101400	相依为命	相依为命：与小环同时上阵，气血+101400	12	0	101400	萍水相逢	萍水相逢：与金瓶儿同时上阵，暴伤加成+900	13	11	900	25	33	30	31	35	-1	-1	-1	11	11	26	26	26	0	0	0	9	109	209	309	409	509	-1	-1	17	17	17	17	17	17	0	0	512	1025	11434	26681	2
10	田不易	田不易	田不易合成/升阶需要收集[cc00ff][田不易碎片][-]和[灵尘]#r◇[cc00ff][田不易碎片][-]：每日抽奖奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	27		2	1	Icon	zhenling_tianbuyi	Texture/Spirits/Card/zhenling_tianbuyi_card	Texture/Spirits/Head/zhenling_tianbuyi_tx	Texture/Spirits/ZheZhao/tianbuyi	50	40	12	600	12	5	33	6	34	12	40	9	37	道法自然	道法自然：与道玄真人同时上阵，暴伤加成+900	2	11	900	笙磬同音	笙磬同音：与苏茹同时上阵，攻击+2900	16	5	2900	望女成凤	望女成凤：与田灵儿同时上阵，全精通+7200	22	27	7200	时雨春风	时雨春风：与宋大仁同时上阵，防御+2900	21	6	2900	28	34	30	32	35	-1	-1	-1	11	11	26	26	26	0	0	0	10	110	210	310	410	510	-1	-1	17	17	17	17	17	17	0	0	669	1339	11552	26956	9
11	普智	普智	普智合成/升阶需要收集[0060ff][普智碎片][-]和[灵尘]#r◇[0060ff][普智碎片][-]：副本翻牌奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	53		1	1	Icon	zhenling_puzhi	Texture/Spirits/Card/zhenling_puzhi_card	Texture/Spirits/Head/zhenling_puzhi_tx	Texture/Spirits/ZheZhao/puzhi	50	15	3	150	3	5	18	6	19	11	24	7	20	僧道合一	僧道合一：与道玄真人同时上阵，暴伤加成+750	2	11	750	恩仇相济	恩仇相济：与张小凡同时上阵，防御+2420	5	6	2420	一念成魔	一念成魔：与林惊羽同时上阵，气血+84500	6	0	84500	佛光普照	佛光普照：与法相同时上阵，命中+8130	17	7	8130	16	22	18	20	23	-1	-1	-1	11	11	26	26	26	0	0	0	11	111	211	311	411	511	-1	-1	17	17	17	17	17	17	0	0	558	1116	7066	16488	-1
12	小环	小环	小环合成/升阶需要收集[0060ff][小环碎片][-]和[灵尘]#r◇[0060ff][小环碎片][-]：仙灵值兑换/开启[鬼王福袋]奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	51		1	1	Icon	zhenling_xiaohuan	Texture/Spirits/Card/zhenling_xiaohuan_card	Texture/Spirits/Head/zhenling_xiaohuan_tx	Texture/Spirits/ZheZhao/xiaohuan	50	15	3	150	3	6	19	0	16	8	21	22	27	感同身受	感同身受：与鬼厉同时上阵，真气+15060	1	1	15060	相依为命	相依为命：与周一仙同时上阵，暴伤减免+1500	9	12	1500	契若金兰	契若金兰：与金瓶儿同时上阵，全精通+6000	13	27	6000	前尘后事	前尘后事：与野狗道人同时上阵，防御+2420	24	6	2420	13	21	18	19	23	-1	-1	-1	11	11	26	26	26	0	0	0	12	112	212	312	412	512	-1	-1	17	17	17	17	17	17	0	0	427	854	6968	16259	2
13	金瓶儿	金瓶儿	金瓶儿合成/升阶需要收集[cc00ff][金瓶儿碎片][-]和[灵尘]#r◇[cc00ff][金瓶儿碎片][-]：破凶咒活动野外精英掉落#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	24		2	1	Icon	zhenling_jinpinger	Texture/Spirits/Card/zhenling_jinpinger_card	Texture/Spirits/Head/zhenling_jinpinger_tx	Texture/Spirits/ZheZhao/jinpinger	50	40	12	600	12	5	33	0	31	11	39	7	35	血妙公子	血妙公子：与鬼厉同时上阵，攻击+2900	1	5	2900	道心魔种	道心魔种：与碧瑶同时上阵，暴伤加成+900	8	11	900	公子有方	公子有方：与秦无炎同时上阵，全抗性+7200	18	28	7200	契若金兰	契若金兰：与小环同时上阵，暴抗+15600	12	10	15600	25	33	30	31	35	-1	-1	-1	11	11	26	26	26	0	0	0	13	113	213	313	413	513	-1	-1	17	17	17	17	17	17	0	0	512	1025	11434	26681	10
14	齐昊	齐昊	齐昊合成/升阶需要收集[0060ff][齐昊碎片][-]和[灵尘]#r◇[0060ff][齐昊碎片][-]：开启[碧瑶福袋]奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	54		1	1	Icon	zhenling_qihao	Texture/Spirits/Card/zhenling_qihao_card	Texture/Spirits/Head/zhenling_qihao_tx	Texture/Spirits/ZheZhao/qihao	50	15	3	150	3	5	18	1	17	12	25	8	21	辅车相依	辅车相依：与林惊羽同时上阵，暴伤加成+750	6	11	750	出生入死	出生入死：与陆雪琪同时上阵，攻击+2420	7	5	2420	和衷共济	和衷共济：与曾书书同时上阵，暴伤减免+1500	15	12	1500	伉俪情深	伉俪情深：与田灵儿同时上阵，气血+84500	22	0	84500	13	15	17	19	24	-1	-1	-1	11	11	26	26	26	0	0	0	14	114	214	314	414	514	-1	-1	17	17	17	17	17	17	0	0	727	1455	9754	22760	1
15	曾书书	曾书书	曾书书合成/升阶需要收集[0060ff][曾书书碎片][-]和[灵尘]#r◇[0060ff][曾书书碎片][-]：七天领奖奖励/副本翻牌奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	55		1	1	Icon	zhenling_zengshushu	Texture/Spirits/Card/zhenling_zengshushu_card	Texture/Spirits/Head/zhenling_zengshushu_tx	Texture/Spirits/ZheZhao/zengshushu	50	15	3	150	3	5	18	1	17	11	24	9	22	生死与共	生死与共：与张小凡同时上阵，暴伤加成+750	5	11	750	相呴以湿	相呴以湿：与陆雪琪同时上阵，真气+15060	7	1	15060	和衷共济	和衷共济：与齐昊同时上阵，暴击+8130	14	9	8130	鸡黍深盟	鸡黍深盟：与法相同时上阵，命中+8130	17	7	8130	14	21	17	19	24	-1	-1	-1	11	11	26	26	26	0	0	0	15	115	215	315	415	515	-1	-1	17	17	17	17	17	17	0	0	686	1372	7162	16713	-1
16	苏茹	苏茹	苏茹合成/升阶需要收集[0060ff][苏茹碎片][-]和[灵尘]#r◇[0060ff][苏茹碎片][-]：荣誉值兑换/开启[道玄真人福袋]奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	52		1	1	Icon	zhenling_suru	Texture/Spirits/Card/zhenling_suru_card	Texture/Spirits/Head/zhenling_suru_tx	Texture/Spirits/ZheZhao/suru	50	15	3	150	3	6	19	0	16	1	17	23	28	入室弟子	入室弟子：与张小凡同时上阵，防御+2420	5	6	2420	笙磬同音	笙磬同音：与田不易同时上阵，命中+8130	10	7	8130	舔犊情深	舔犊情深：与田灵儿同时上阵，全精通+6000	22	27	6000	儒雅贤婿	儒雅贤婿：与齐昊同时上阵，防御+2420	14	6	2420	15	22	20	23	24	-1	-1	-1	11	11	26	26	26	0	0	0	16	116	216	316	416	516	-1	-1	17	17	17	17	17	17	0	0	668	1337	7149	16682	3
17	法相	法相	法相合成/升阶需要收集[0060ff][法相碎片][-]和[灵尘]#r◇[0060ff][法相碎片][-]：兽神之叹掉落#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	56		1	1	Icon	zhenling_faxiang	Texture/Spirits/Card/zhenling_faxiang_card	Texture/Spirits/Head/zhenling_faxiang_tx	Texture/Spirits/ZheZhao/faxiang	50	15	3	150	3	5	18	1	17	10	23	25	30	结缘空桑	结缘空桑：与陆雪琪同时上阵，攻击+2420	7	5	2420	佛光普照	佛光普照：与普智同时上阵，躲闪+3250	11	8	3250	同往万蝠	同往万蝠：与齐昊同时上阵，全精通+6000	14	27	6000	鸡黍深盟	鸡黍深盟：与曾书书同时上阵，躲闪+3250	15	8	3250	16	22	18	20	23	-1	-1	-1	11	11	26	26	26	0	0	0	17	117	217	317	417	517	-1	-1	17	17	17	17	17	17	0	0	558	1116	9627	22463	6
18	秦无炎	秦无炎	秦无炎合成/升阶需要收集[0060ff][秦无炎碎片][-]和[灵尘]#r◇[0060ff][秦无炎碎片][-]：镇魔古洞掉落#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	57		1	1	Icon	zhenling_qinwuyan	Texture/Spirits/Card/zhenling_qinwuyan_card	Texture/Spirits/Head/zhenling_qinwuyan_tx	Texture/Spirits/ZheZhao/qinwuyan	50	15	3	150	3	5	18	12	25	27	26	24	29	血毒公子	血毒公子：与鬼厉同时上阵，攻击+2420	1	5	2420	有教无类	有教无类：与毒神同时上阵，真气+15060	4	1	15060	公子有方	公子有方：与金瓶儿同时上阵，全抗性+6000	13	28	6000	邪宗正心	邪宗正心：与野狗道人同时上阵，躲闪+3250	24	8	3250	14	16	17	18	20	-1	-1	-1	11	11	26	26	26	0	0	0	18	118	218	318	418	518	-1	-1	17	17	17	17	17	17	0	0	790	1580	9801	22870	5
19	六尾	六尾	六尾合成/升阶需要收集[20bb00][六尾碎片][-]和[灵尘]#r◇[20bb00][六尾碎片][-]：神武通宝兑换/每日抽奖奖励/开启阵灵福袋奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	85		0	1	Icon	zhenling_liuwei	Texture/Spirits/Card/zhenling_liuwei_card	Texture/Spirits/Head/zhenling_liuwei_tx	Texture/Spirits/ZheZhao/liuwei	50	5	1	50	1	11	9	10	8	27	11	24	14	杵臼之交	杵臼之交：与张小凡同时上阵，气血+67600	5	0	67600	狐岐携行	狐岐携行：与碧瑶同时上阵，暴伤减免+1200	8	12	1200	狐之媚术	狐之媚术：与金瓶儿同时上阵，全抗性+4800	13	28	4800	青梅竹马	青梅竹马：与三尾同时上阵，攻击+1930	20	5	1930	2	9	5	7	12	-1	-1	-1	11	11	26	26	26	0	0	0	19	119	219	319	419	519	-1	-1	17	17	17	17	17	17	0	0	549	1098	7778	18150	8
20	三尾	三尾	三尾合成/升阶需要收集[20bb00][三尾碎片][-]和[灵尘]#r◇[20bb00][三尾碎片][-]：神武通宝兑换/每日抽奖奖励/开启阵灵福袋奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	86		0	1	Icon	zhenling_sanwei	Texture/Spirits/Card/zhenling_sanwei_card	Texture/Spirits/Head/zhenling_sanwei_tx	Texture/Spirits/ZheZhao/sanwei	50	5	1	50	1	6	4	7	5	10	8	22	12	杵臼之交	杵臼之交：与张小凡同时上阵，真气+12050	5	1	12050	狐岐携行	狐岐携行：与碧瑶同时上阵，暴伤加成+600	8	11	600	狐之媚术	狐之媚术：与金瓶儿同时上阵，全精通+4800	13	27	4800	青梅竹马	青梅竹马：与六尾同时上阵，防御+1930	19	6	1930	3	10	8	11	12	-1	-1	-1	11	11	26	26	26	0	0	0	20	120	220	320	420	520	-1	-1	17	17	17	17	17	17	0	0	534	1069	7768	18125	8
21	宋大仁	宋大仁	宋大仁合成/升阶需要收集[20bb00][宋大仁碎片][-]和[灵尘]#r◇[20bb00][宋大仁碎片][-]：副本翻牌奖励/每日抽奖奖励/开启阵灵福袋奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	83		0	1	Icon	zhenling_songdaren	Texture/Spirits/Card/zhenling_songdaren_card	Texture/Spirits/Head/zhenling_songdaren_tx	Texture/Spirits/ZheZhao/songdaren	50	5	1	50	1	0	1	1	2	7	5	9	7	时雨春风	时雨春风：与田不易同时上阵，暴抗+10400	10	10	10400	会武之谊	会武之谊：与曾书书同时上阵，攻击+1930	15	5	1930	情如兄妹	情如兄妹：与田灵儿同时上阵，气血+67600	22	0	67600	凤协鸾和	凤协鸾和：与文敏同时上阵，暴伤减免+1200	23	12	1200	4	10	6	8	11	-1	-1	-1	11	11	26	26	26	0	0	0	21	121	221	321	421	521	-1	-1	17	17	17	17	17	17	0	0	446	892	7701	17970	9
22	田灵儿	田灵儿	田灵儿合成/升阶需要收集[20bb00][田灵儿碎片][-]和[灵尘]#r◇[20bb00][田灵儿碎片][-]：隐藏任务奖励/每日抽奖奖励/开启阵灵福袋奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	81		0	1	Icon	zhenling_tianlinger	Texture/Spirits/Card/zhenling_tianlinger_card	Texture/Spirits/Head/zhenling_tianlinger_tx	Texture/Spirits/ZheZhao/tianlinger	50	5	1	50	1	6	4	1	2	27	11	25	15	幼时情愫	幼时情愫：与张小凡同时上阵，暴伤加成+600	5	11	600	望女成凤	望女成凤：与田不易同时上阵，躲闪+2600	10	8	2600	舔犊情深	舔犊情深：与苏茹同时上阵，攻击+1930	16	5	1930	伉俪情深	伉俪情深：与齐昊同时上阵，暴击+6500	14	9	6500	1	9	6	7	11	-1	-1	-1	11	11	26	26	26	0	0	0	22	122	222	322	422	522	-1	-1	17	17	17	17	17	17	0	0	341	683	7623	17787	9
23	文敏	文敏	文敏合成/升阶需要收集[20bb00][文敏碎片][-]和[灵尘]#r◇[20bb00][文敏碎片][-]：每日抽奖奖励/开启阵灵福袋奖励#r◇[灵尘]：仙灵值兑换/荣誉值兑换/阵灵和碎片“拆解”获得	82		0	1	Icon	zhenling_wenmin	Texture/Spirits/Card/zhenling_wenmin_card	Texture/Spirits/Head/zhenling_wenmin_tx	Texture/Spirits/ZheZhao/wenmin	50	5	1	50	1	0	1	1	2	8	6	9	7	小竹姐妹	小竹姐妹：与陆雪琪同时上阵，攻击+1930	7	5	1930	前辈师长	前辈师长：与苏茹同时上阵，暴击+6500	16	9	6500	凤协鸾和	凤协鸾和：与宋大仁同时上阵，真气+12050	21	1	12050	红绫师妹	红绫师妹：与田灵儿同时上阵，气血+67600	22	0	67600	1	3	5	7	12	-1	-1	-1	11	11	26	26	26	0	0	0	23	123	223	323	423	523	-1	-1	17	17	17	17	17	17	0	0	582	1164	7803	18208	9
