Id	Desc	ScriptID	StoryID
108	天音支线-时机未到	-1	108
109	河阳隐藏-捉迷藏	-1	109
110	支线-狐岐山-一见钟情	-1	110
111	支线-狐岐山-关怀备至	-1	111
112	支线-狐岐山-陈年旧事	-1	112
113	支线-狐岐山-另有隐情	-1	113
114	支线-狐岐山-芳心暗许	-1	114
115	支线-狐岐山-相忘江湖	-1	115
116	支线-狐岐山-父女情深	-1	116
117	支线-狐岐山-触景伤情	-1	117
118	合欢-剑中神器	-1	118
119	合欢-妙不可言	-1	119
120	合欢-宗主之女	-1	120
121	合欢-香从何来	-1	121
122	合欢-茶之薪火	-1	122
123	合欢-茶之品茗	-1	123
124	合欢-诗之习咏	-1	124
125	空桑山-鬼蝠偷袭	-1	125
126	小池镇-主线-怪事不断	-1	126
127	小池镇-主线-当年往事	-1	127
128	小池镇-主线-招募壮士	-1	128
129	小池镇-主线-自告奋勇	-1	129
130	小池镇-主线-难言之事	-1	130
131	小池镇-主线-石头仙人	-1	131
132	小池镇-主线-害羞狐仙	-1	132
133	小池镇-主线-大人大量	-1	133
134	小池镇-主线-另有担忧	-1	134
135	小池镇-主线-劝说小七	-1	135
136	小池镇-主线-寻求帮助	-1	136
137	小池镇-主线-小镇新家	-1	137
138	小池镇-主线-拜别焚香	-1	138
139	空桑山-支线-内忧外患	-1	139
140	空桑山-支线-反目成仇	-1	140
141	空桑山-支线-冰释前嫌	-1	141
142	空桑山-支线-自小孤苦	-1	142
143	空桑山-支线-涌泉相报	-1	143
144	空桑山-支线-暗送秋波	-1	144
145	空桑山-支线-欢喜冤家	-1	145
146	空桑山-支线-阴错阳差	-1	146
147	空桑山-支线-过河拆桥	-1	147
148	焚香谷-诡异红光	-1	148
149	焚香谷-孙图口供	-1	149
150	焚香谷-古刹夜话	-1	150
151	焚香谷-和盘托出	-1	151
152	焚香谷-山野烧烤	-1	152
153	焚香谷-享用美味	-1	153
154	焚香谷-探查动静	-1	154
155	焚香谷-入侵之物	-1	155
156	焚香谷-证明身份	-1	156
157	焚香谷-来龙去脉	-1	157
158	焚香谷-小白疑惑	-1	158
159	焚香谷-伤心为谁	-1	159
160	焚香谷-新的线索	-1	160
161	大王村-青云-死泽传闻	-1	161
162	大王村-青云-闲叙一二	-1	162
163	大王村-天音-死泽传闻	-1	163
164	大王村-天音-闲叙一二	-1	164
165	大王村-鬼王-死泽传闻	-1	165
166	大王村-鬼王-闲叙一二	-1	166
167	大王村-合欢-死泽传闻	-1	167
168	大王村-合欢-闲叙一二	-1	168
169	大王村-村中变故	-1	169
170	大王村-老者提点	-1	170
171	大王村-驿站之变	-1	171
172	大王村-心中猜想	-1	172
173	大王村-矛头所指	-1	173
174	大王村-纠葛孽缘	-1	174
175	大王村-不得为之	-1	175
176	大王村-箭在弦上	-1	176
177	大王村-危急境况	-1	177
178	大王村-将计就计	-1	178
179	大王村-一片冰心	-1	179
180	大王村-青云-当前形势	-1	180
181	大王村-天音-当前形势	-1	181
182	大王村-鬼王-当前形势	-1	182
183	大王村-合欢-当前形势	-1	183
184	死亡沼泽-意外关系	-1	184
185	死亡沼泽-心中担忧	-1	185
186	死亡沼泽-气急败坏	-1	186
187	死亡沼泽-心中疑惑	-1	187
188	死亡沼泽-暗吃一惊	-1	188
189	死亡沼泽-事出有因	-1	189
190	死亡沼泽-目前情况	-1	190
191	死亡沼泽-宝库情况	-1	191
192	死亡沼泽-敷衍之辞	-1	192
193	死亡沼泽-老友带话	-1	193
194	死亡沼泽-鱼人之谜	-1	194
195	死亡沼泽-焚香事发	-1	195
196	死亡沼泽-诚恳请求	-1	196
197	小池镇-支线-文曲会试	-1	197
198	小池镇-支线-愁眉苦脸	-1	198
199	小池镇-支线-助人为乐	-1	199
200	小池镇-支线-撒泼打滚	-1	200
201	小池镇-支线-变本加厉	-1	201
202	小池镇-支线-报答村长	-1	202
203	小池镇-支线-闷闷不乐	-1	203
204	小池镇-支线-童年旧事	-1	204
205	小池镇-支线-吉人天相	-1	205
206	流波山-主线-流波之祸	-1	206
207	流波山-主线-跋扈海贼	-1	207
208	流波山-主线-流波怪事	-1	208
209	流波山-主线-十年之前	-1	209
210	流波山-主线-请求帮助	-1	210
211	流波山-主线-美好回忆	-1	211
212	流波山-主线-烹饪之法	-1	212
213	流波山-主线-海贼内乱	-1	213
214	流波山-主线-要还法宝	-1	214
215	流波山-主线-镇海之法	-1	215
216	主线-小灰洗澡	-1	216
217	主线-狐族史话	-1	217
218	主线-南疆特产	-1	218
219	主线-魂牵碧瑶	-1	219
220	主线-燕虹所在	-1	220
221	主线-巫师祭坛	-1	221
222	主线-小白心思	-1	222
223	主线-难以开口	-1	227
224	支线-无惧劳苦	-1	228
225	主线-嗜血魔王	-1	229
226	合欢-隐藏任务-唉声叹气（1）	-1	230
227	夫妻拜堂-地面-陆雪琪主持	-1	223
228	夫妻拜堂-地面-碧瑶主持	-1	224
229	夫妻拜堂-空中-陆雪琪主持	-1	225
230	夫妻拜堂-空中-碧瑶主持	-1	226
231	青云-隐藏1-道出来历	-1	231
232	青云-隐藏1-好人发卡	-1	232
233	青云-隐藏2-谁是凶手	-1	233
234	鬼王-隐藏任务-泄露天机	-1	234
235	天音-隐藏2-伪装者壹	-1	235
236	特殊物品使用-隐藏-河阳志（2）	-1	236
237	特殊物品使用-隐藏-河阳志（4）	-1	237
238	特殊坐标-隐藏-神秘来客（1）	-1	238
239	特殊坐标-隐藏-神秘来客（3）	-1	239
240	十万大山-主线-凶灵黑虎	-1	240
241	十万大山-主线-圣器齐聚	-1	241
242	十万大山-主线-魔力消失	-1	242
243	十万大山-主线-落难原因	-1	243
244	生活技能-隐藏-神秘藏宝图（2）	-1	244
245	流波山-支线-异域风情	-1	245
246	流波山-支线-卧虎藏龙	-1	246
247	流波山-支线-合理搭配	-1	247
248	流波山-支线-搭配之法	-1	248
249	流波山-支线-煲汤之法	-1	249
250	大王村-支线-大王出处	-1	250
251	大王村-支线-真实传说	-1	251
252	大王村-支线-感恩大王	-1	252
253	杀怪-隐藏-往事随风（2）	-1	253
254	杀怪-隐藏-竹海万顷（2）	-1	254
255	杀怪-隐藏-铁腕无情（2）	-1	255
256	杀怪-隐藏-玉面郎君（2）	-1	256
257	杀怪-隐藏-冷血嗜杀（2）	-1	257
258	河阳城-隐藏-翻跟头（2）	-1	258
259	支线-好心野狗	-1	259
260	支线-新鲜事情	-1	260
261	支线-好多问题	-1	261
262	支线-可耻贼众	-1	262
263	传播类-隐藏-英雄救美（1）	-1	263
264	流波山-主线-贪玩师妹	-1	264
265	毒蛇谷-主线-蛇谷探秘	-1	265
266	毒蛇谷-主线-以身试毒	-1	266
267	毒蛇谷-主线-万毒内幕	-1	267
268	毒蛇谷-主线-野心初现	-1	268
269	毒蛇谷-主线-枭雄之才	-1	269
270	毒蛇谷-主线-醉心修炼	-1	270
271	毒蛇谷-主线-另生一计	-1	271
272	毒蛇谷-主线-激怒范雄	-1	272
273	蛮荒-主线-仙途遇阻	-1	273
274	蛮荒-主线-瓶儿之惑	-1	274
275	蛮荒-主线-无能为力	-1	275
276	蛮荒-主线-长老内乱	-1	276
277	蛮荒-主线-天书残卷	-1	277
278	主线-噬血来历	-1	278
279	隐藏任务-翻跟头2-半许相思（2）	-1	279
280	隐藏任务-翻跟头3-白衣少侠（2）	-1	280
281	隐藏任务-翻跟头4-财迷心窍（2）	-1	281
282	十万大山-主线-血炼媒介	-1	282
283	隐藏任务-小凡踪迹（1）	-1	283
284	隐藏任务-小凡踪迹（6）	-1	284
285	主线-炼血来历	-1	285
286	主线-各番心思	-1	286
287	主线-炼血来历	-1	287
288	主线-各番心思	-1	288
289	主线-炼血来历	-1	289
290	主线-各番心思	-1	290
291	主线-炼血来历	-1	291
292	主线-各番心思	-1	292
293	隐藏-寻味河阳（1）	-1	293
294	隐藏-寻味河阳（3）	-1	294
295	周一仙隐藏-古旧残片	-1	295
296	周一仙隐藏-顺水人情	-1	296
297	周一仙隐藏-重见天日	-1	297
298	周一仙隐藏-尘封往事	-1	298
299	周一仙隐藏-小心化解	-1	299
300	周一仙隐藏-真假糊涂	-1	300
301	隐藏-说来话长	-1	301
302	隐藏-分内之事	-1	302
303	隐藏-往事如梦	-1	303
304	隐藏-尘封往事	-1	304
305	隐藏-态度诡异	-1	305
306	隐藏-柳暗花明	-1	306
307	隐藏-鬼医之谜	-1	307
308	隐藏-心怀希望	-1	308
309	隐藏-三缄其口	-1	309
310	焚香谷隐藏-神秘玉佩	-1	310
311	焚香谷隐藏-故人遗物	-1	311
312	焚香谷隐藏-往事惊魂	-1	312
313	焚香谷隐藏-询问小白	-1	313
314	焚香谷隐藏-重忆前尘	-1	314
315	焚香谷隐藏-刀兵再起	-1	315
316	焚香谷隐藏-焚香秘事	-1	316
317	焚香谷隐藏-阴影重重	-1	317
318	焚香谷隐藏-三思后行	-1	318
319	隐藏-万毒之威	-1	319
320	隐藏-探听消息	-1	320
321	隐藏-试探苍松	-1	321
322	隐藏-无炎行踪	-1	322
323	隐藏-柳暗花明	-1	323
324	隐藏-炼血秘辛（1）	-1	324
325	隐藏-炼血秘辛（3）	-1	325
326	隐藏-求饶献物	-1	326
327	隐藏-黑心旧事	-1	327
328	隐藏-金铃旧事	-1	328
329	隐藏-黑心残魂	-1	329
330	隐藏-旧人欢喜	-1	330
331	隐藏-伏龙鼎-狐岐之乱	-1	331
332	隐藏-伏龙鼎-不似人间	-1	332
333	隐藏-伏龙鼎-古鼎异变	-1	333
334	隐藏-伏龙鼎-拼凑信息	-1	334
335	隐藏-伏龙鼎-法宝来历	-1	335
336	隐藏-伏龙鼎-上古妖邪	-1	336
337	隐藏任务-壁咚-巧笑倩兮（2）	-1	337
338	隐藏任务-壁咚-巧笑倩兮（4）	-1	338
339	活动任务-开学师门送信-青云-第一天-与师共谈	-1	339
340	活动任务-开学师门送信-青云-第二天-与师共谈	-1	340
341	活动任务-开学师门送信-青云-第三天-谢师之日	-1	341
342	活动任务-开学师门送信-青云-第三天-师恩如山	-1	342
343	活动任务-开学师门送信-天音-第一天-与师共谈	-1	343
344	活动任务-开学师门送信-天音-第二天-与师共谈	-1	344
345	活动任务-开学师门送信-天音-第三天-谢师之日	-1	345
346	活动任务-开学师门送信-天音-第三天-师恩如山	-1	346
347	活动任务-开学师门送信-鬼王-第一天-与师共谈	-1	347
348	活动任务-开学师门送信-鬼王-第二天-与师共谈	-1	348
349	活动任务-开学师门送信-鬼王-第三天-谢师之日	-1	349
350	活动任务-开学师门送信-鬼王-第三天-师恩如山	-1	350
351	活动任务-开学师门送信-合欢-第一天-与师共谈	-1	351
352	活动任务-开学师门送信-合欢-第二天-与师共谈	-1	352
353	活动任务-开学师门送信-合欢-第三天-谢师之日	-1	353
354	活动任务-开学师门送信-合欢-第三天-师恩如山	-1	354
355	隐藏任务_抽嘴巴_涣尔冰开（2）	-1	355
356	60级饰品强化引导	-1	356
357	隐藏任务-救碧瑶-青衫少女·贰	-1	357
358	隐藏任务-修罗之羽·贰	-1	358
359	隐藏任务-封豨之牙·贰	-1	359
360	隐藏任务-刍吾之尾·贰	-1	360
361	隐藏任务-玄冥灵丹	-1	361
362	隐藏任务-浪迹天涯·贰	-1	362
363	修罗-主线-长生残卷	-1	363
364	修罗-主线-不情之请	-1	364
365	修罗-主线-轮回异界	-1	365
366	修罗-主线-突生变故	-1	366
367	修罗-主线-被人利用	-1	367
368	修罗-主线-另有他法	-1	368
369	修罗-主线-心口不一	-1	369
370	飞升-主线-飞升之始 	-1	370
371	飞升-主线-阴阳之力 	-1	371
372	飞升-支线-旧梦	-1	372
373	飞升-主线-得道飞升	-1	373
374	支线-引导-星魂养成2	-1	374
375	隐藏-收集指定类型宠物2	-1	375
376	隐藏-炼器连续失败2	-1	376
377	隐藏-炼器连续失败4	-1	377
378	隐藏-蟠龙峰翻跟头2	-1	378
379	隐藏-蟠龙峰翻跟头4	-1	379
380	隐藏-指定武器杀指定怪2	-1	380
381	隐藏-帮派发红包2	-1	381
382	隐藏-帮派发红包4	-1	382
383	情人节-隐藏-缘分到了	-1	383
384	长生界-主线-只言片语	-1	384
385	长生界-主线-大恩大德	-1	385
386	长生界-主线-消失的王	-1	386
387	长生界-主线-族中变故	-1	387
388	长生界-主线-事情经过	-1	388
389	长生界-主线-如是解释	-1	389
390	长生界-主线-原来如此	-1	390
391	长生界-主线-上古氏族	-1	391
392	长生界-主线-入乡随俗	-1	392
393	长生界-主线-事情真相	-1	393
394	长生界-主线-深入交谈	-1	394
395	隐藏-大世界宝箱2	-1	395
396	隐藏-大世界宝箱5	-1	396
397	全身装备打宝石-引导1	-1	397
398	法宝精进-引导2	-1	398
399	节日环-了解春节节日1	-1	399
400	节日环-了解春节节日2	-1	400
401	节日环-了解春节节日3	-1	401
