Id	Desc	Name	ScriptId	IsSkillUse	SkillId	ConsumeFlag	CoolDownId	CoolDownNoticeLeftTime	CanUseInBW	UseParamA	UseParamB	UseParamC	UseParamD
102	2w经验丹，用于客服补偿，请勿放出	经验补偿丹	245	0	-1	1	-1	0	1	20000	0	0	0
103	5w经验丹，用于客服补偿，请勿放出	经验补偿丹	245	0	-1	1	-1	0	1	50000	0	0	0
104	10w经验丹，用于客服补偿，请勿放出	经验补偿丹	245	0	-1	1	-1	0	1	100000	0	0	0
105	50w经验丹，用于客服补偿，请勿放出	经验补偿丹	245	0	-1	1	-1	0	1	500000	0	0	0
106	100w经验丹，用于资料片2前满级补偿	100万经验	245	0	-1	1	-1	0	1	1000000	0	0	0
501	50000银币	50000银币	233	0	-1	1	-1	0	1	0	50000	0	0
502	60000银币	60000银币	233	0	-1	1	-1	0	1	0	60000	0	0
503	70000银币	70000银币	233	0	-1	1	-1	0	1	0	70000	0	0
504	80000银币	80000银币	233	0	-1	1	-1	0	1	0	80000	0	0
505	90000银币	90000银币	233	0	-1	1	-1	0	1	0	90000	0	0
506	100000银币	100000银币	233	0	-1	1	-1	0	1	0	100000	0	0
507	110000银币	110000银币	233	0	-1	1	-1	0	1	0	110000	0	0
508	120000银币	120000银币	233	0	-1	1	-1	0	1	0	120000	0	0
509	130000银币	130000银币	233	0	-1	1	-1	0	1	0	130000	0	0
510	20000银币	20000银币	233	0	-1	1	-1	0	1	0	20000	0	0
511	文曲-进士-1000金币	1000金币	233	0	-1	1	-1	0	1	1	1000	0	0
512	98绑定元宝	98绑定元宝	233	0	-1	1	-1	0	1	3	98	0	0
513	298绑定元宝	298绑定元宝	233	0	-1	1	-1	0	1	3	298	0	0
514	10绑定元宝	10绑定元宝	233	0	-1	1	-1	0	1	3	10	0	0
515	10000银币	10000银币	233	0	-1	1	-1	0	1	0	10000	0	0
516	30000银币	30000银币	233	0	-1	1	-1	0	1	0	30000	0	0
517	文曲-状元-5000金币	5000金币	233	0	-1	1	-1	0	1	1	5000	0	0
518	文曲-榜眼-4000金币	4000金币	233	0	-1	1	-1	0	1	1	4000	0	0
519	文曲-探花-3000金币	3000金币	233	0	-1	1	-1	0	1	1	3000	0	0
520	妖兽突袭-50金币	50金币	233	0	-1	1	-1	0	1	1	50	0	0
521	妖兽突袭-100金币	100金币	233	0	-1	1	-1	0	1	1	100	0	0
522	妖兽突袭-150金币	150金币	233	0	-1	1	-1	0	1	1	150	0	0
523	妖兽突袭-200金币	200金币	233	0	-1	1	-1	0	1	1	200	0	0
524	妖兽突袭-250金币	250金币	233	0	-1	1	-1	0	1	1	250	0	0
525	妖兽突袭-500金币	500金币	233	0	-1	1	-1	0	1	1	500	0	0
526	10000金币	10000金币[勿复制此物品]	233	0	-1	1	-1	0	1	1	10000	0	0
527	500000金币	500000金币	233	0	-1	1	-1	0	1	1	500000	0	0
528	2000000金币	2000000金币	233	0	-1	1	-1	0	1	1	2000000	0	0
529	1000000银币	1000000银币	233	0	-1	1	-1	0	1	0	1000000	0	0
530	50绑定元宝	50绑定元宝	233	0	-1	1	-1	0	1	3	50	0	0
531	100绑定元宝	100绑定元宝	233	0	-1	1	-1	0	1	3	100	0	0
532	150绑定元宝	150绑定元宝	233	0	-1	1	-1	0	1	3	150	0	0
533	200绑定元宝	200绑定元宝	233	0	-1	1	-1	0	1	3	200	0	0
534	250绑定元宝	250绑定元宝	233	0	-1	1	-1	0	1	3	250	0	0
535	300绑定元宝	300绑定元宝	233	0	-1	1	-1	0	1	3	300	0	0
536	350绑定元宝	350绑定元宝	233	0	-1	1	-1	0	1	3	350	0	0
537	400绑定元宝	400绑定元宝	233	0	-1	1	-1	0	1	3	400	0	0
538	450绑定元宝	450绑定元宝	233	0	-1	1	-1	0	1	3	450	0	0
539	500绑定元宝	500绑定元宝	233	0	-1	1	-1	0	1	3	500	0	0
540	188绑定元宝	188绑定元宝	233	0	-1	1	-1	0	1	3	188	0	0
541	388绑定元宝	388绑定元宝	233	0	-1	1	-1	0	1	3	388	0	0
601	10荣誉-青铜组奖励	10荣誉	234	0	-1	1	-1	0	1	10	0	0	0
602	20荣誉-白银组奖励	20荣誉	234	0	-1	1	-1	0	1	20	0	0	0
603	40荣誉-黄金组奖励	40荣誉	234	0	-1	1	-1	0	1	40	0	0	0
604	60荣誉-白金组奖励	60荣誉	234	0	-1	1	-1	0	1	60	0	0	0
605	80荣誉-钻石组奖励	80荣誉	234	0	-1	1	-1	0	1	80	0	0	0
606	100荣誉-王者组奖励	100荣誉	234	0	-1	1	-1	0	1	100	0	0	0
607	10荣誉-青铜组3名	10荣誉	234	0	-1	1	-1	0	1	10	0	0	0
608	20荣誉-青铜组2名	20荣誉	234	0	-1	1	-1	0	1	15	0	0	0
609	30荣誉-青铜组1名	30荣誉	234	0	-1	1	-1	0	1	25	0	0	0
610	10荣誉-白银组3名	10荣誉	234	0	-1	1	-1	0	1	25	0	0	0
611	20荣誉-白银组2名	20荣誉	234	0	-1	1	-1	0	1	30	0	0	0
612	30荣誉-白银组1名	30荣誉	234	0	-1	1	-1	0	1	40	0	0	0
613	15荣誉-黄金组3名	15荣誉	234	0	-1	1	-1	0	1	40	0	0	0
614	30荣誉-黄金组2名	30荣誉	234	0	-1	1	-1	0	1	45	0	0	0
615	45荣誉-黄金组1名	45荣誉	234	0	-1	1	-1	0	1	55	0	0	0
616	20荣誉-白金组3名	20荣誉	234	0	-1	1	-1	0	1	55	0	0	0
617	40荣誉-白金组2名	40荣誉	234	0	-1	1	-1	0	1	60	0	0	0
618	60荣誉-白金组1名	60荣誉	234	0	-1	1	-1	0	1	70	0	0	0
619	25荣誉-钻石组3名	25荣誉	234	0	-1	1	-1	0	1	70	0	0	0
620	50荣誉-钻石组2名	50荣誉	234	0	-1	1	-1	0	1	75	0	0	0
621	75荣誉-钻石组1名	75荣誉	234	0	-1	1	-1	0	1	85	0	0	0
622	30荣誉-王者组3名	30荣誉	234	0	-1	1	-1	0	1	85	0	0	0
623	60荣誉-王者组2名	60荣誉	234	0	-1	1	-1	0	1	90	0	0	0
624	90荣誉-王者组1名	90荣誉	234	0	-1	1	-1	0	1	100	0	0	0
630	15荣誉-赛季青铜组3名	15荣誉	234	0	-1	1	-1	0	1	15	0	0	0
631	20荣誉-赛季青铜组2名	20荣誉	234	0	-1	1	-1	0	1	20	0	0	0
632	35荣誉-赛季青铜组1名	35荣誉	234	0	-1	1	-1	0	1	35	0	0	0
633	35荣誉-赛季白银组3名	35荣誉	234	0	-1	1	-1	0	1	35	0	0	0
634	45荣誉-赛季白银组2名	45荣誉	234	0	-1	1	-1	0	1	45	0	0	0
635	60荣誉-赛季白银组1名	60荣誉	234	0	-1	1	-1	0	1	60	0	0	0
636	60荣誉-赛季黄金组3名	60荣誉	234	0	-1	1	-1	0	1	60	0	0	0
637	65荣誉-赛季黄金组2名	65荣誉	234	0	-1	1	-1	0	1	65	0	0	0
638	80荣誉-赛季黄金组1名	80荣誉	234	0	-1	1	-1	0	1	80	0	0	0
639	80荣誉-赛季白金组3名	80荣誉	234	0	-1	1	-1	0	1	80	0	0	0
640	90荣誉-赛季白金组2名	90荣誉	234	0	-1	1	-1	0	1	90	0	0	0
641	105荣誉-赛季白金组1名	105荣誉	234	0	-1	1	-1	0	1	105	0	0	0
642	105荣誉-赛季钻石组3名	105荣誉	234	0	-1	1	-1	0	1	105	0	0	0
643	110荣誉-赛季钻石组2名	110荣誉	234	0	-1	1	-1	0	1	110	0	0	0
644	125荣誉-赛季钻石组1名	125荣誉	234	0	-1	1	-1	0	1	125	0	0	0
645	125荣誉-王赛季者组3名	125荣誉	234	0	-1	1	-1	0	1	125	0	0	0
646	135荣誉-赛季王者组2名	135荣誉	234	0	-1	1	-1	0	1	135	0	0	0
647	150荣誉-赛季王者组1名	150荣誉	234	0	-1	1	-1	0	1	150	0	0	0
648	王者争霸冠军-200荣誉	200荣誉	234	0	-1	1	-1	0	1	200	0	0	0
649	王者争霸亚军-160荣誉	160荣誉	234	0	-1	1	-1	0	1	160	0	0	0
650	王者争霸季军-120荣誉	120荣誉	234	0	-1	1	-1	0	1	120	0	0	0
651	王者争霸殿军-100荣誉	100荣誉	234	0	-1	1	-1	0	1	100	0	0	0
652	王者争霸8强-80荣誉	80荣誉	234	0	-1	1	-1	0	1	80	0	0	0
653	王者争霸16强-60荣誉	60荣誉	234	0	-1	1	-1	0	1	60	0	0	0
654	王者争霸32强-50荣誉	50荣誉	234	0	-1	1	-1	0	1	50	0	0	0
655	王者争霸64强-30荣誉	30荣誉	234	0	-1	1	-1	0	1	30	0	0	0
656	10荣誉-王者争霸青铜组奖励	10荣誉	234	0	-1	1	-1	0	1	10	0	0	0
657	20荣誉-王者争霸白银组奖励	20荣誉	234	0	-1	1	-1	0	1	20	0	0	0
658	40荣誉-王者争霸黄金组奖励	40荣誉	234	0	-1	1	-1	0	1	40	0	0	0
659	60荣誉-王者争霸白金组奖励	60荣誉	234	0	-1	1	-1	0	1	60	0	0	0
660	80荣誉-王者争霸钻石组奖励	80荣誉	234	0	-1	1	-1	0	1	80	0	0	0
661	100荣誉-王者争霸王者组奖励	100荣誉	234	0	-1	1	-1	0	1	100	0	0	0
700	帮贡丹	帮贡	232	0	-1	1	-1	0	1	1	0	0	0
701	帮战胜者帮贡丹	25点帮贡	232	0	-1	1	-1	0	1	25	0	0	0
702	帮战败者帮贡丹	20点帮贡	232	0	-1	1	-1	0	1	20	0	0	0
703	帮战平局帮贡丹	23点帮贡	232	0	-1	1	-1	0	1	23	0	0	0
704	28绑定元宝	28绑定元宝	233	0	-1	1	-1	0	1	3	28	0	0
705	68绑定元宝	68绑定元宝	233	0	-1	1	-1	0	1	3	68	0	0
706	88绑定元宝	88绑定元宝	233	0	-1	1	-1	0	1	3	88	0	0
707	个人帮贡	个人帮贡	232	0	-1	1	-1	0	1	1	1	0	0
708	100绑定元宝 - 师徒问卷	100绑定元宝	233	0	-1	1	-1	0	1	3	100	0	0
709	250侠义值 - 师徒问卷	师徒·250侠义值	242	0	-1	1	-1	0	1	250	0	0	0
2000	河阳任务-符咒	符咒	203	1	100014	2	-1	0	1	0	0	0	0
2001	河阳城-血戾之物	血戾之物	205	1	100014	1	-1	0	1	0	0	0	0
2003	河阳城-纸条	纸条	206	1	100014	1	-1	0	1	0	0	0	0
2004	河阳城-火把	火把	204	1	100014	2	-1	0	1	0	0	0	0
2007	青云山-常箭书信	常箭书信	205	1	100014	1	-1	0	1	0	0	0	0
2008	青云山-香火	香火	205	1	100014	1	-1	0	1	0	0	0	0
2009	青云山-大棒骨	大棒骨	205	1	100014	1	-1	0	1	0	0	0	0
2010	青云山-玉女心经	玉女心经	207	1	100014	1	-1	0	1	0	0	0	0
2011	逍遥涧-青春 永驻	驻颜花粉	209	1	100014	1	-1	0	1	0	0	0	0
2017	天音寺-加一把火	柴火	205	1	100014	1	-1	0	1	0	0	0	0
2018	天音寺-贿赂口风	驻颜花粉	205	1	100014	1	-1	0	1	0	0	0	0
2019	天音寺-混入合欢	合欢装束	213	1	100014	2	-1	0	1	0	0	0	0
2023	狐岐山-利刃	歃血利刃	205	1	100014	1	-1	0	1	0	0	0	0
2024	鬼王宗-变身混入	青云装束	213	1	100014	2	-1	0	1	0	0	0	0
2025	逍遥涧-祭祀祖师	香火	205	1	100014	1	-1	0	1	0	0	0	0
2026	逍遥涧-鬼王衣服	鬼王衣服	213	1	100014	2	-1	0	1	0	0	0	0
2028	空桑山-信件	信件	-1	1	100014	1	-1	0	1	0	0	0	0
2029	空桑山-炼血旗	炼血旗	205	1	100014	1	-1	0	1	0	0	0	0
2030	青云-铸剑炼金	铸剑原料	205	1	100014	1	-1	0	1	0	0	0	0
2031	空桑山-石斧	石斧	205	1	100014	1	-1	0	1	0	0	0	0
2032	天音寺-孔明之愿	孔明灯	205	1	100014	1	-1	0	1	0	0	0	0
2033	天音寺-无惧劳苦	沙袋	-1	1	100014	1	-1	0	1	0	0	0	0
2038	支线-合欢-品茗	香茗	205	1	100014	1	-1	0	1	0	0	0	0
2039	小池镇-符箓	符箓	205	1	100014	1	-1	0	1	0	0	0	0
2040	小池镇-香烛	香烛	205	1	100014	1	-1	0	1	0	0	0	0
2041	焚香谷-审问孙图	鞭子	205	1	100014	1	-1	0	1	0	0	-1	0
2042	焚香谷-顶级厨艺	兔肉	205	1	100014	1	-1	0	1	0	0	-1	0
2043	焚香谷-易容鱼人	易容丹	213	1	100014	1	-1	0	1	0	0	-1	0
2044	焚香谷-挑拨离间	鱼人首级	205	1	100014	1	-1	0	1	0	0	-1	0
2045	焚香谷-破解阵法	极阴玄水	205	1	100014	1	-1	0	1	0	0	-1	0
2046	焚香谷-破解阵法	匕首	205	1	100014	1	-1	0	1	0	0	-1	0
2047	焚香谷-破解阵法	玄火鉴	205	1	100014	1	-1	0	1	0	0	-1	0
2050	大王村-银针试毒	银针	217	1	100014	2	-1	0	1	0	0	0	0
2051	大王村-凶残黑蟾	驿站水样	205	1	100014	1	-1	0	1	0	0	0	0
2052	大王村-幸存弟子	牢笼钥匙	218	1	100014	2	-1	0	1	0	0	0	0
2053	大王村-捣毁毒罐	大石	219	1	100014	2	-1	0	1	0	0	0	0
2054	大王村-解毒之药	解药	205	1	100014	1	-1	0	1	0	0	0	0
2055	大王村-青云-伴手礼物	伴手礼物	205	1	100014	1	-1	0	1	0	0	0	0
2056	大王村-天音-伴手礼物	伴手礼物	205	1	100014	1	-1	0	1	0	0	0	0
2057	大王村-鬼王-伴手礼物	伴手礼物	205	1	100014	1	-1	0	1	0	0	0	0
2058	大王村-合欢-伴手礼物	伴手礼物	205	1	100014	1	-1	0	1	0	0	0	0
2059	大王村-本门来报	鸡毛信	205	1	100014	1	-1	0	1	0	0	0	0
2060	大王村-青云-飞鸽传书	飞鸽传书	205	1	100014	1	-1	0	1	0	0	0	0
2061	大王村-天音-飞鸽传书	飞鸽传书	205	1	100014	1	-1	0	1	0	0	0	0
2062	大王村-鬼王-飞鸽传书	飞鸽传书	205	1	100014	1	-1	0	1	0	0	0	0
2063	大王村-合欢-飞鸽传书	飞鸽传书	205	1	100014	1	-1	0	1	0	0	0	0
2064	死泽-警告讯息	朱砂	205	1	100014	1	-1	0	1	0	0	0	0
2065	死泽-驱虫药水	驱虫金水	205	1	100014	1	-1	0	1	0	0	0	0
2066	死泽-撑起纸伞	纸伞	205	1	100014	1	-1	0	1	0	0	0	0
2067	死泽-神魔志异	神魔志异	205	1	100014	1	-1	0	1	0	0	0	0
2068	死泽-软磨硬泡	金瓶梅	205	1	100014	1	-1	0	1	0	0	0	0
2069	死泽-遁地符咒	遁地符咒	205	1	100014	1	-1	0	1	0	0	0	0
2072	主线-调虎离山	火把	205	1	100014	1	-1	0	1	0	0	0	0
2073	主线-网罗黄雀	网兜	219	1	100014	2	-1	0	1	0	0	0	0
2074	主线-油炸果实	黑心果	205	1	100014	1	-1	0	1	0	0	0	0
2075	主线-烤制熊尾	熊尾	205	1	100014	1	-1	0	1	0	0	0	0
2076	主线-山野清泉	水袋	205	1	100014	1	-1	0	1	0	0	0	0
2077	主线-无酒不欢	酒壶	205	1	100014	1	-1	0	1	0	0	0	0
2099	青云-隐藏1-贪吃猴子	宋大仁的包裹	205	1	100014	1	-1	0	1	0	0	0	0
2100	青云-隐藏1触发道具	神秘的包裹	226	-1	-1	1	-1	0	1	1213	0	0	0
2101	青云-隐藏2触发道具	阳澄湖大闸蟹	226	-1	-1	1	-1	0	1	1219	0	0	0
2107	隐藏任务-河阳志	河阳志	226	-1	-1	1	-1	0	1	1238	0	0	0
2111	流波山-主线-信件	信件	205	1	100014	1	-1	0	1	0	0	0	0
2112	流波山-主线-镇海印	镇海印	205	1	100014	1	-1	0	1	0	0	0	0
2113	十万大山-主线-香烛	香烛	205	1	100014	1	-1	0	1	0	0	0	0
2114	十万大山-主线-火把	火把	205	1	100014	1	-1	0	1	0	0	0	0
2115	十万大山-主线-戒指	乾坤青光戒	205	1	100014	1	-1	0	1	0	0	0	0
2116	生活技能-隐藏-神秘藏宝图（1）	神鬼苍生图	226	-1	-1	1	-1	0	1	1281	0	0	0
2117	生活技能-隐藏-神秘藏宝图（6）	神鬼苍生图	205	1	100014	1	-1	0	1	1284	0	0	0
2121	隐藏任务-自留宝箱-钥匙	钥匙	227	-1	-1	1	-1	0	1	0	10	2120	1
2128	隐藏任务-女儿红	女儿红	222	-1	-1	1	-1	0	1	84	0	0	0
2129	杀怪-隐藏-往事随风（1）	怨灵之怒	226	-1	-1	1	-1	0	1	1606	0	0	0
2130	隐藏任务-黑节竹之怒	黑节竹之怒	226	-1	-1	1	-1	0	1	1608	0	0	0
2131	隐藏任务-偷懒弟子之怒	偷懒弟子之怒	226	-1	-1	1	-1	0	1	1610	0	0	0
2132	隐藏任务-魅宗弟子之怒	魅宗弟子之怒	226	-1	-1	1	-1	0	1	1612	0	0	0
2133	隐藏任务-白狐之怒	白狐之怒	226	-1	-1	1	-1	0	1	1614	0	0	0
2134	隐藏任务-河阳志（追踪专用）	完整的河阳志	219	1	100014	2	-1	0	1	1242	0	0	0
2136	支线-回家的路	烟花	205	1	100014	1	-1	0	1	0	0	0	0
2147	帮派环-摘星壶	摘星壶	219	1	100014	0	-1	0	1	0	0	0	0
2148	帮派环-天将令	天将令	236	1	100014	1	-1	0	1	0	0	0	0
2149	帮派环-摘星壶-天音		219	1	100014	0	-1	0	1	0	0	0	0
2150	帮派环-摘星壶-鬼王		219	1	100014	0	-1	0	1	0	0	0	0
2151	帮派环-摘星壶-合欢		219	1	100014	0	-1	0	1	0	0	0	0
2168	隐藏任务-吮指鸡	吮指鸡	226	-1	-1	1	-1	0	1	2283	0	0	0
2169	周一仙隐藏-古旧残片	古旧残片	226	-1	-1	1	-1	0	1	2296	0	0	0
2171	周一仙隐藏-有求于人	残破画卷	205	1	100014	1	-1	0	1	0	0	0	0
2172	隐藏任务-鬼先生系列	神秘药方残片	226	-1	-1	1	-1	0	1	2314	0	0	0
2173	隐藏任务-伏龙鼎-书信	鬼王宗的来信	226	-1	-1	1	-1	0	1	2393	0	0	0
2174	隐藏任务-神秘玉佩	灵狐玉佩	226	-1	-1	1	-1	0	1	2337	0	0	0
2175	隐藏任务-乔装潜入	焚香装束	213	1	100014	2	-1	0	1	0	0	0	0
2176	（废弃）隐藏任务-万毒门系列	刺鼻的密信	226	-1	-1	1	-1	0	1	2359	0	0	0
2177	炼血堂隐藏-炼血秘辛	炼血堂的秘卷	226	-1	-1	1	-1	0	1	2376	0	0	0
2179	炼血堂隐藏-黑心旧事	黑心老人的手札	226	-1	-1	1	-1	0	1	2384	0	0	0
2180	炼血堂隐藏-金铃旧事	金铃夫人的信	226	-1	-1	1	-1	0	1	2385	0	0	0
2181	炼血堂隐藏-诡异宝袋	诡异宝袋	205	1	100014	1	-1	0	1	0	0	0	0
2182	隐藏任务-壁咚	神秘信笺	226	-1	-1	1	-1	0	1	2435	0	0	0
2183	活动任务-开学师门送信-触发	青云门信件 壹	226	-1	-1	1	-1	0	1	2442	0	0	0
2184	活动任务-开学师门送信-触发	青云门信件 贰	226	-1	-1	1	-1	0	1	2445	0	0	0
2185	活动任务-开学师门送信-触发	青云门信件 叁	226	-1	-1	1	-1	0	1	2448	0	0	0
2186	活动任务-开学师门送信-触发	青云门信件 肆	226	-1	-1	1	-1	0	1	2452	0	0	0
2187	活动任务-开学师门送信-触发	天音寺信件 壹	226	-1	-1	1	-1	0	1	2455	0	0	0
2188	活动任务-开学师门送信-触发	天音寺信件 贰	226	-1	-1	1	-1	0	1	2458	0	0	0
2189	活动任务-开学师门送信-触发	天音寺信件 叁	226	-1	-1	1	-1	0	1	2461	0	0	0
2190	活动任务-开学师门送信-触发	天音寺信件 肆	226	-1	-1	1	-1	0	1	2465	0	0	0
2191	活动任务-开学师门送信-触发	鬼王宗信件 壹	226	-1	-1	1	-1	0	1	2468	0	0	0
2192	活动任务-开学师门送信-触发	鬼王宗信件 贰	226	-1	-1	1	-1	0	1	2471	0	0	0
2193	活动任务-开学师门送信-触发	鬼王宗信件 叁	226	-1	-1	1	-1	0	1	2474	0	0	0
2194	活动任务-开学师门送信-触发	鬼王宗信件 肆	226	-1	-1	1	-1	0	1	2478	0	0	0
2195	活动任务-开学师门送信-触发	合欢宗信件 壹	226	-1	-1	1	-1	0	1	2481	0	0	0
2196	活动任务-开学师门送信-触发	合欢宗信件 贰	226	-1	-1	1	-1	0	1	2484	0	0	0
2197	活动任务-开学师门送信-触发	合欢宗信件 叁	226	-1	-1	1	-1	0	1	2487	0	0	0
2198	活动任务-开学师门送信-触发	合欢宗信件 肆	226	-1	-1	1	-1	0	1	2491	0	0	0
2200	活动任务-开学师门送信-奖励	师父的关怀	216	-1	-1	1	-1	0	1	173	0	0	0
2201	隐藏任务-妙手回春	常百草的信	226	-1	-1	1	-1	0	1	2530	0	0	0
2202	隐藏任务-金丹妙药	妙骨金丹	205	1	100014	1	-1	0	1	0	0	0	0
2203	隐藏任务-修罗之羽	修罗之羽	226	-1	-1	1	-1	0	1	2537	0	0	0
2204	隐藏任务-封豨之牙	封豨之牙	226	-1	-1	1	-1	0	1	2539	0	0	0
2205	隐藏任务-刍吾之尾	刍吾之尾	226	-1	-1	1	-1	0	1	2541	0	0	0
2206	隐藏任务-子夜游神	夜神匣	226	-1	-1	1	-1	0	1	2543	0	0	0
2208	修罗-主线-长生之法	长生残卷	205	1	100014	1	-1	0	1	0	0	0	0
2209	修罗-主线-锦囊之计	鬼先生的锦囊	205	1	100014	1	-1	0	1	0	0	0	0
2210	修罗-主线-乾位定穴	乾位符	205	1	100014	1	-1	0	1	0	0	0	0
2211	修罗-主线-巽位定穴	定风珠	205	1	100014	1	-1	0	1	0	0	0	0
2212	修罗-主线-走漏风声	鬼厉手书	205	1	100014	1	-1	0	1	0	0	0	0
2221	飞升-主线-圣火炼阵	纯阳圣火	205	-1	100014	1	-1	0	1	0	0	0	0
2223	隐藏任务-桃木剑	神秘信笺	226	-1	-1	1	-1	0	1	2626	0	0	0
2224	隐藏任务-兵器堂修葺计划	兵器堂修葺计划	226	-1	-1	1	-1	0	1	2628	0	0	0
2230	长生界-主线-水中玄机	受伤的蘑菇人	205	1	100014	1	-1	0	1	0	0	0	0
2231	长生界-主线-神奇药丸	神奇药丸	205	1	100014	1	-1	0	1	0	0	0	0
2232	长生界-主线-御寒美酒	御寒美酒	205	1	100014	1	-1	0	1	0	0	0	0
2235	情人节隐藏任务	鸳鸯笺	226	-1	-1	1	-1	0	1	2644	0	0	0
8000	红药-1级	小黄丹(1级)	202	0	-1	1	7	0	1	1	1700	-1	0
8001	红药-10级	大黄丹(10级)	202	0	-1	1	7	0	1	1	3100	-1	0
8002	红药-20级	金创药(20级)	202	0	-1	1	7	0	1	1	5600	-1	0
8003	红药-30级	玄玉散(30级)	202	0	-1	1	7	0	1	1	10100	-1	0
8004	红药-40级	雪琼浆(40级)	202	0	-1	1	7	0	1	1	18200	-1	0
8005	红药-50级	清血丸(50级)	202	0	-1	1	7	0	1	1	32700	-1	0
8006	红药-60级	天灵果(60级)	202	0	-1	1	7	0	1	1	49800	-1	0
8007	红药-70级	芝葵草(70级)	202	0	-1	1	7	0	1	1	74100	-1	0
8008	红药-80级	云霖花(80级)	202	0	-1	1	7	0	1	1	109900	-1	0
8009	红药-90级	聚魂散(90级)	202	0	-1	1	7	0	1	1	129200	-1	0
8010	红药-100级	星辰菇(100级)	202	0	-1	1	7	0	1	1	164000	-1	0
8011	红药-110级	幻仙露(110级)	202	0	-1	1	7	0	1	1	190000	-1	0
8012	红药-120级	紫枫丹(120级)	202	0	-1	1	7	0	1	1	211000	-1	0
8013	红药-130级	风怒香(130级)	202	0	-1	1	7	0	1	1	245000	-1	0
8014	红药-140级	惊寒散(140级)	202	0	-1	1	7	0	1	1	276000	-1	0
8015	红药-150级	清寂丸(150级)	202	0	-1	1	7	0	1	1	321000	-1	0
8016	红药-飞升70	月桂草(飞70)	202	0	-1	1	7	0	1	1	339000	-1	0
8017	红药-飞升80	赤血丹(飞80)	202	0	-1	1	7	0	1	1	357000	-1	0
8018	红药-飞升90	太虚露(飞90)	202	0	-1	1	7	0	1	1	375000	-1	0
8019	红药-飞升100	凝碧草(飞100)	202	0	-1	1	7	0	1	1	401000	-1	0
8020	红药-飞升110	冰心丸(飞110)	202	0	-1	1	7	0	1	1	423000	-1	0
8021	红药-飞升120	青霜菇(飞120)	202	0	-1	1	7	0	1	1	465000	-1	0
8022	红药-飞升130	乌藤木(飞130)	202	0	-1	1	7	0	1	1	496000	-1	0
