SceneID	Desc	Index	OptDec	CharModelID	PosX	PosZ	FlyState	FlyHeight	RotX	RotY	RotZ	IsAutoLife	AutoLifeTime
	支线-花有异香	7	采集中…	209	120.35	110.33	0	0	-1	-1	-1	1	15
	支线-茶之采摘	8	采集中…	209	83.28	116.25	0	0	-1	-1	-1	1	15
	支线-茶之择水	9	采集中…	209	79.89	33.28	0	0	-1	-1	-1	1	15
	主线-传书来报	10	取信中…	209	103.1	87.66	0	0	-1	-1	-1	1	15
11	主线-龙纹之鼎	0	正在观察铭文	209	31.3	111.17	0	0	-1	-1	-1	1	15
	主线-曼陀之花	1	采集中…	209	2.99	69.99	0	0	-1	-1	-1	1	15
	主线-明王圣母	2	正在参拜神明	209	53.71	67.42	0	0	-1	-1	-1	1	15
	【废弃】主线-确认异宝	3	正在检查合欢铃	209	71.9	34.6	0	0	-1	-1	-1	1	15
	主线-整理古籍	4	正在整理古籍	209	110.41	54.61	0	0	-1	-1	-1	1	15
	主线-碑文拓印	5	正在拓印碑文	209	93.3	114.8	1	5	-1	-1	-1	1	15
	主线-混入鬼王	6	试图查看标记…	209	84.77	84.31	0	0	-1	-1	-1	1	15
	支线-狐岐山-伉俪情深	7	采集中…	209	14	83	0	0	-1	-1	-1	1	15
	支线-狐岐山-此生无悔	8	正在放置花束	209	96	106	0	0	-1	-1	-1	1	15
	鬼王-隐藏任务-将信将疑	9	正在寻找酒坛	209	58	114	0	0	-1	-1	-1	1	15
	主线-传书来报	10	取信中…	209	71.08	50.33	0	0	-1	-1	-1	1	15
10	主线-供奉物资	0	采集中…	209	77.22	9.04	0	0	-1	-1	-1	1	15
	主线-施舍粥饭	1	采集中…	209	86.11	53.01	0	0	-1	-1	-1	1	15
	主线-清扫落叶	2	正在清扫落叶	209	67.92	31.96	0	0	-1	-1	-1	1	15
	主线-不灭天灯	3	正在给天灯添油	209	58.1	57.75	1	5	-1	-1	-1	1	15
	天音支线-心如止水	4	正在参悟玉璧	209	2.32	91.92	0	0	-1	-1	-1	1	15
	天音支线-外敷膏药	5	采集中…	209	58.08	39.54	0	0	-1	-1	-1	1	15
	天音支线-棕榈树油	6	采集中…	209	112.77	44.75	0	0	-1	-1	-1	1	15
	主线-传书来报	7	取信中…	209	53.69	30.59	0	0	-1	-1	-1	1	15
	周一仙隐藏-不辱使命	8	拾取香火中…	209	81.03	116.09	0	0	-1	-1	-1	1	15
	隐藏-蛛丝马迹	9	寻找线索中……	209	77	110	0	0	-1	-1	-1	1	15
31	主线-空桑山-死灵深渊	0	正在观察石碑	209	25.53	14.48	0	0	-1	-1	-1	1	15
	主线-空桑山-重整旗鼓	1	采集中…	209	94.8	60.55	0	0	-1	-1	-1	1	15
	主线-空桑山-救治伤员	2	正在给弟子疗伤	209	77.89	96.26	0	0	-1	-1	-1	1	15
	主线-空桑山-神秘刻字	3	采集中…	209	106.48	48.38	0	0	-1	-1	-1	1	15
	空桑山-支线-先发制人	4	采集中…	209	28	109	0	0	-1	-1	-1	1	15
	空桑山-支线-美味糕点	5	采集中…	209	11	88	0	0	-1	-1	-1	1	15
	空桑山-支线-神秘包裹	6	采集中…	209	104	121	0	0	-1	-1	-1	1	15
	主线-空桑山-怪异标记	7	采集中…	209	33.4	63.39	0	0	-1	-1	-1	1	15
	隐藏-密室宝物	8	正在查看宝物	209	69	19	0	0	-1	-1	-1	1	15
	节日环-采集第七环	9	收集八角茴香中……	209	13	87	0	0	-1	-1	-1	1	15
33	诛仙-空桑山-探索洞窟	0	采集中…	209	4.29	3.68	0	0	-1	-1	-1	1	15
	诛仙-空桑山-隐秘机关	1	采集中…	209	28.51	10.33	0	0	-1	-1	-1	1	15
4	小池镇-主线-奇怪符纸	1	采集中…	209	15.44	60.42	0	0	-1	-1	-1	1	15
	小池镇-主线-寻回首饰	2	采集中…	209	41.56	38.47	0	0	-1	-1	-1	1	15
	小池镇-主线-笔墨纸砚	3	采集中…	209	10.71	77.72	0	0	-1	-1	-1	1	15
	小池镇-主线-阵法禁制	4	正在尝试破除阵法	209	81.16	119.41	0	0	-1	-1	-1	1	15
	小池镇-支线-防患未然	5	正在放置炮仗	209	10	1	0	0	-1	-1	-1	1	15
	支线-夫妻日常（5）	6	采集中…	209	121	52	0	0	-1	-1	-1	1	15
	节日环-采集第八环	7	收集红枣中……	209	75	108	0	0	-1	-1	-1	1	15
	节日环-采集第八环	8	收集花生中……	209	74	118	0	0	-1	-1	-1	1	15
	节日环-采集第八环	9	收集桂圆中……	209	99	119	0	0	-1	-1	-1	1	15
	节日环-采集第八环	10	收集莲子中……	209	114	120	0	0	-1	-1	-1	1	15
40	焚香谷-何人所为	0	正在检查死亡的鱼人	209	37.78	66.7	0	0	-1	-1	-1	1	15
	焚香谷-灭掉火堆	1	采集中…	209	66.2	41.2	0	0	-1	-1	-1	1	15
	焚香谷-极阴玄水	2	采集中…	209	111.8	18.5	0	0	-1	-1	-1	1	15
	隐藏-安魂之草	3	采集草药中……	209	64	43	0	0	-1	-1	-1	1	15
42	大王村-请示老者	0	采集中…	209	55.57	56.01	0	0	-1	-1	-1	1	15
	大王村-珍贵蝉蜕	1	采集中…	209	124.62	114.37	0	0	-1	-1	-1	1	15
	大王村-注入真气	2	正在灌入真气	209	111	118.45	0	0	-1	-1	-1	1	15
	大王村-破坏陷阱	3	正在破坏陷阱	209	42.55	99.32	0	0	-1	-1	-1	1	15
	大王村-留下记号	4	正在做记号	209	43.29	96.8	0	0	-1	-1	-1	1	15
	大王村-青云-毁掉虫穴	5	正在烧毁虫穴	209	13.6	94.56	0	0	-1	-1	-1	1	15
	大王村-天音-毁掉虫穴	6	正在烧毁虫穴	209	13.6	94.56	0	0	-1	-1	-1	1	15
	大王村-鬼王-毁掉虫穴	7	正在烧毁虫穴	209	13.6	94.56	0	0	-1	-1	-1	1	15
	大王村-合欢-毁掉虫穴	8	正在烧毁虫穴	209	13.6	94.56	0	0	-1	-1	-1	1	15
	大王村-支线-美酒	9	采集中…	209	53.88	62.09	0	0	-1	-1	-1	1	15
43	死亡沼泽-引路标记	0	查看引路标记	209	21.38	1.66	0	0	-1	-1	-1	1	15
	死亡沼泽-检查尸首	1	正在检查尸首	209	74.4	57.05	0	0	-1	-1	-1	1	15
	死亡沼泽-搜查线索	2	翻找线索中	209	56.55	57.37	0	0	-1	-1	-1	1	15
	死亡沼泽-背后受敌	3	正在查看倒地之人	209	108.56	42.51	0	0	-1	-1	-1	1	15
	死亡沼泽-没顶巨树	4	正在观察巨树	209	121.5	105.4	1	5	-1	-1	-1	1	15
	死亡沼泽-石门缝隙	5	正在探查宝库	209	115.3	110.2	0	0	-1	-1	-1	1	15
	支线-古旧石碑	6	正在拓印碑文	209	72.87	60.63	0	0	-1	-1	-1	1	15
	隐藏-诡异宝袋（1）	7	正在查看机关	209	111	64	0	0	-1	-1	-1	1	15
53	流波山-主线-调味之料	0	采集中…	209	61.31	80.68	0	0	-1	-1	-1	1	15
	流波山-主线-烹饪美味	1	采集中…	209	8.5	33.4	0	0	-1	-1	-1	1	15
	流波山-主线-收集柴火	2	采集中…	209	16.8	64.1	0	0	-1	-1	-1	1	15
	流波山-主线-火烧水寨	3	采集中…	209	45.8	72.2	0	0	-1	-1	-1	1	15
	流波山-支线-鳄鱼肉	4	品尝中…	209	41.2	40.2	0	0	-1	-1	-1	1	15
	流波山-支线-野菜	5	采集中…	209	82.5	115.4	0	0	-1	-1	-1	1	15
	流波山-支线-野菜沙拉	6	品尝中…	209	93.6	2.4	0	0	-1	-1	-1	1	15
44	主线-媚骨粗衫	0	采集中…	209	19.56	119.75	0	0	-1	-1	-1	1	15
	主线-追踪有术	1	采集中…	209	7.2	88.98	0	0	-1	-1	-1	1	15
	主线-土闷黄雀	2	采集中…	209	18.46	120.96	0	0	-1	-1	-1	1	15
	主线-黑心果实	3	采集中…	209	16.95	105.79	0	0	-1	-1	-1	1	15
	主线-清扫院子	4	正在清扫灰尘	209	13.01	122.59	0	0	-1	-1	-1	1	15
	主线-入土为安	5	正在埋葬焚香谷弟子	209	3.63	21.11	0	0	-1	-1	-1	1	15
	主线-清除苔藓	6	正在清理苔藓	209	28.42	10.34	0	0	-1	-1	-1	1	15
	主线-造桥材料	7	采集中…	209	74.45	36.15	0	0	-1	-1	-1	1	15
	主线-解酒奇花	8	采集中…	209	112.53	106.67	0	0	-1	-1	-1	1	15
	主线-怎能无酒	9	采集中…	209	74.22	75.42	0	0	-1	-1	-1	1	15
	主线-馋嘴猴子	10	采集中…	209	116.81	95.67	0	0	-1	-1	-1	1	15
	主线-追回黑杖	11	采集中…	209	95.9	18.3	0	0	-1	-1	-1	1	15
	主线-争夺黑杖	12	采集中…	209	122.8	75.8	0	0	-1	-1	-1	1	15
	隐藏-采撷鲜花	13	采集中…	209	12	8	0	0	-1	-1	-1	1	15
	隐藏-祭奠小媚	14	正在放置花束	209	3	32	0	0	-1	-1	-1	1	15
	隐藏-对酒当歌	15	与小白共饮	209	9	9	0	0	-1	-1	-1	1	15
	隐藏-佳果美人	16	采集中…	209	15	105	0	0	-1	-1	-1	1	15
45	十万大山-主线-埋葬尸体	0	掩埋中…	209	16.49	33.25	0	0	-1	-1	-1	1	15
	十万大山-主线-驱赶困意	1	采集中…	209	27	53.1	0	0	-1	-1	-1	1	15
	十万大山-主线-再探雕像	2	采集中…	209	80.6	106.6	0	0	-1	-1	-1	1	15
	十万大山-主线-寻找戒指	3	采集中…	209	71.4	98.8	0	0	-1	-1	-1	1	15
	十万大山-主线-血炼媒介（废弃）	4	采集中…	209	111.9	73.8	0	0	-1	-1	-1	1	15
	十万大山-主线-玲珑之心	5	采集中…	209	64	106.7	0	0	-1	-1	-1	1	15
	隐藏-收集指定类型宠物3	6	采集中…	209	34	71	0	0	-1	-1	-1	1	15
103	主线-确认异宝	1	正在检查合欢铃	209	16.36	22.4	0	0	-1	-1	-1	1	15
65	毒蛇谷-主线-以毒攻毒	0	采集中…	209	95.6	40.2	0	0	-1	-1	-1	1	15
	毒蛇谷-主线-收集蚁巢	1	采集中…	209	37	83.3	0	0	-1	-1	-1	1	15
68	蛮荒-主线-疗伤草药	0	采集中…	209	92.1	13.3	0	0	-1	-1	-1	1	15
90	修罗-主线-修罗之眼	0	检查修罗之眼	209	107.31	77.71	0	0	-1	-1	-1	1	15
	修罗-主线-坤位定穴	1	采补地气	209	66.31	17.48	0	0	-1	-1	-1	1	15
	修罗-主线-伤势严重	2	检查伤势	209	112.34	79.36	0	0	-1	-1	-1	1	15
62	昆仑-飞升主线-重铸元神	0	正在启动法阵	209	88	88	0	0	-1	-1	-1	1	15
95	长生界-主线-伤口处理	0	处理伤势	209	168.2	289.7	0	0	-1	-1	-1	1	15
	长生界-主线-成功解救	1	解除禁制	209	200.6	9.3	0	0	-1	-1	-1	1	15
