Id	Description	DstSceneID	X	Z	TargetName	TargetJob	Color
	神火教护法	10	9.7	73.31	神火教护法（20级）	1	E60012
	偷懒弟子	10	43.95	84.2	偷懒弟子（25级）	1	E60012
	山猪	10	54.2	2.6	山猪（狩猎）	1	E60012
	萌猴	10	104	45	萌猴（宠）	1	E60012
6	前往河阳城	6	16.92	16.48	前往河阳城	0	FFFF69
	前往天音寺	6	9.34	76.06	前往天音寺	0	FFFF69
	飞天仙子	6	10	8	飞天仙子<传送>	0	FFFF69
	环任务发布人	6	96.37	32.15	任联环<环任务>	0	FFFF69
	萧逸才	6	36.96	63.83	萧逸才	0	FFFF69
	道玄	6	99.5	63.5	道玄	0	FFFF69
	万剑一	6	96	117	万剑一	0	FFFF69
	林惊羽	6	98.2	116.3	林惊羽	0	FFFF69
	田不易	6	51.57	125.1	田不易	0	FFFF69
	水月大师	6	61.12	24.5	水月大师	0	FFFF69
	曾叔常	6	7.14	63.43	曾叔常	0	FFFF69
	苏茹	6	49.36	125.03	苏茹	0	FFFF69
	田灵儿	6	23.9	120.02	田灵儿	0	FFFF69
	宋大仁	6	57.2	104.1	宋大仁	0	FFFF69
	陆雪琪	6	95.61	8.49	陆雪琪	0	FFFF69
	文敏	6	56.86	1.28	文敏	0	FFFF69
	曾书书	6	88.08	36.98	曾书书	0	FFFF69
	齐昊	6	91.73	81.64	齐昊	0	FFFF69
	方超	6	2.86	14.86	方超	0	FFFF69
	山魈	6	4.04	30.67	山魈（12级）	1	E60012
	黑竹	6	28.21	121.22	黑竹（15级）	1	E60012
	黑云殿贼众	6	89.81	44.77	黑云殿贼众（20级）	1	E60012
	阴癸派弟子	6	65.84	110.02	阴癸派弟子（25级）	1	E60012
	山猪	6	17	27	山猪（狩猎）	1	E60012
	萌猴	6	28	113	萌猴（宠）	1	E60012
31	前往河阳城	31	14.2	120.68	前往河阳城	0	FFFF69
	前往小池镇	31	111.49	2.41	前往小池镇	0	FFFF69
	前往滴血洞	31	70.54	116.53	前往滴血洞	0	FFFF69
	飞天仙子	31	29.73	109.89	飞天仙子<传送>	0	FFFF69
	环任务发布人	31	26.9	37.12	任联环<环任务>	0	FFFF69
	陆雪琪	31	55.85	25.43	陆雪琪	0	FFFF69
	大当家	31	27.8	88.5	雕大爷	0	FFFF69
	常老三	31	10.77	73.93	常师爷	0	FFFF69
	流寇喽啰	31	25.3	113.3	马二狗	0	FFFF69
	年老大	31	104.57	116.92	年老大	0	FFFF69
	林锋	31	107.02	116.42	林锋	0	FFFF69
	美艳少妇	31	108.64	115.25	美艳少妇	0	FFFF69
	野狗道人	31	16.19	6.35	野狗道人	0	FFFF69
	巡山弟子	31	77.6	78.4	巡山弟子	0	FFFF69
	张老伯	31	106.17	6.41	张老伯	0	FFFF69
	鬼蝠	31	33.4	63.39	吸血鬼蝠（30级）	1	E60012
	炼血堂弟子怪	31	7.8	36.3	炼血堂弟子（31级）	1	E60012
	流寇	31	14.17	95.1	流寇（32级）	1	E60012
	树妖	31	74.32	16.99	寒花树妖（34级）	1	E60012
	广寒玉兔	31	106.4	9.3	广寒玉兔（宠）	1	E60012
33	前往空桑山	33	12.99	30.27	前往空桑山	0	FFFF69
	飞天仙子	33	3.72	13.54	飞天仙子<传送>	0	FFFF69
	陆雪琪	33	12.3	11.2	陆雪琪	0	FFFF69
4	前往空桑山	4	2.87	14.42	前往空桑山	0	FFFF69
	前往流波山	4	78.22	1.68	前往流波山	0	FFFF69
	飞天仙子	4	8.55	10.52	飞天仙子<传送>	0	FFFF69
	环任务发布人	4	53.46	29.98	任联环<环任务>	0	FFFF69
	茶铺老板	4	28.56	29.91	茶铺老板	0	FFFF69
	老妪	4	46.83	11.42	老妪	0	FFFF69
	赵大头	4	39.41	11.61	赵大头	0	FFFF69
	张大嘴	4	41.33	13.19	张大嘴	0	FFFF69
	陈二爷	4	36.87	11.16	陈二爷	0	FFFF69
	钱小眼	4	29.19	28.55	钱小眼	0	FFFF69
	镇长	4	56.26	48.98	镇长	0	FFFF69
	范秀才	4	15.6	68.98	范秀才	0	FFFF69
	石头	4	21.58	71.31	石头	0	FFFF69
	小七	4	16.71	72.73	小七	0	FFFF69
	张铁锤	4	126.72	82.38	张铁锤	0	FFFF69
	李大婶	4	26.62	26.64	李大婶	0	FFFF69
	李洵	4	31.4	66.21	李洵	0	FFFF69
	神秘人	4	114.95	117.97	神秘人	0	FFFF69
	邱碧特	4	115	44	邱碧特<姻缘榜>	0	FFFF69
	野狐	4	102.79	27.36	野狐（34级）	1	E60012
	狐妖	4	45.08	86.65	狐妖（36级）	1	E60012
	魔化狐狸	4	111.84	103.58	魔化狐狸（37级）	1	E60012
	强盗	4	114.97	79.41	强盗（38级）	1	E60012
	魔化狐妖	4	117.95	103.49	魔化狐妖（39级）	1	E60012
	疯狗	4	70.29	114.78	疯狗（40级）	1	E60012
	广寒玉兔	4	8.92	51.09	稀有玉兔（宠）	1	E60012
42	前往河阳城	42	117.61	51.53	前往河阳城	0	FFFF69
	前往狐岐山	42	124.09	101.27	前往狐岐山	0	FFFF69
	前往死亡沼泽	42	30.56	110.98	前往死亡沼泽	0	FFFF69
	飞天仙子	42	83.36	70.79	飞天仙子<传送>	0	FFFF69
	环任务发布人	42	79.53	70.6	任联环<环任务>	0	FFFF69
	樵夫	42	84.52	33.94	樵夫	0	FFFF69
	周一仙	42	85.94	45.95	周一仙	0	FFFF69
	小环	42	84.14	44.6	小环	0	FFFF69
	驿官	42	71.05	47.63	驿官	0	FFFF69
	鬼祟万毒弟子	42	37.7	63	鬼祟万毒弟子	0	FFFF69
	穆诗诗	42	54.48	65.37	穆诗诗	0	FFFF69
	曲睿	42	107.7	118.4	曲睿	0	FFFF69
	村兵老队长	42	47.76	86.15	村兵老队长	0	FFFF69
	陆雪琪	42	37.01	81.93	陆雪琪	0	FFFF69
	萧逸才	42	26.78	110.96	萧逸才	0	FFFF69
	法相	42	25.48	109.18	法相	0	FFFF69
	鬼厉	42	43.31	93.5	鬼厉	0	FFFF69
	金瓶儿	42	41.98	92.46	金瓶儿	0	FFFF69
	山贼	42	22.86	11.1	山贼（50级）	1	E60012
	游荡妖瞳	42	95.07	119.99	游荡妖瞳（52级）	1	E60012
	风蜈之王	42	124.7	111.5	风蜈之王（53级）	1	E60012
	毒虫	42	31.81	77.4	毒虫（54级）	1	E60012
	恶犬	42	34.44	67.96	恶犬（56级）	1	E60012
	花魅公主	42	108.7	20	稀有花魅（宠）	1	E60012
43	前往大王村	43	4.76	11.54	前往大王村	0	FFFF69
	前往毒蛇谷	43	13.2	55.5	前往毒蛇谷	0	FFFF69
	前往昆仑	43	114.06	119.49	前往昆仑	0	FFFF69
	飞天仙子	43	6.71	15.7	飞天仙子<传送>	0	FFFF69
	任联环<环任务>	43	12.97	17.06	任联环<环任务>	0	FFFF69
	周一仙	43	49.46	10.43	周一仙	0	FFFF69
	小环	43	51.9	10.31	小环	0	FFFF69
	金瓶儿	43	54.46	3.97	金瓶儿	0	FFFF69
	野狗道人	43	97.24	4.97	野狗道人	0	FFFF69
	长生堂弟子尸首	43	74.4	57.05	长生堂弟子尸首	0	FFFF69
	李洵	43	109.49	41.89	李洵	0	FFFF69
	秦无炎	43	107.52	57.5	秦无炎	0	FFFF69
	曾书书	43	103.96	57.64	曾书书	0	FFFF69
	鬼厉	43	113.93	107.05	鬼厉	0	FFFF69
	陆雪琪	43	110.11	105.98	陆雪琪	0	FFFF69
	法相	43	99.02	115.89	法相	0	FFFF69
	林惊羽	43	101.49	105.69	林惊羽	0	FFFF69
	鬼王	43	10.73	122.27	鬼王	0	FFFF69
	青龙	43	10.2	113.48	青龙	0	FFFF69
	幽姬	43	20.4	115.08	幽姬	0	FFFF69
	毒蝠	43	76.29	13.44	毒蝠（60级）	1	E60012
	鱼人	43	21.4	15.14	沼泽鱼人（62级）	1	E60012
	万毒弟子	43	15.7	78.63	万毒弟子（64级）	1	E60012
	长生堂弟子	43	67.45	62.55	长生堂弟子（66级）	1	E60012
	叶猴	43	21.9	102.8	叶猴（狩猎）	1	E60012
	萌狗	43	29	54	萌狗（宠）	1	E60012
	萌狗	43	110	51	稀有萌狗（宠）	1	E60012
44	前往焚香谷	44	9.03	121.11	前往焚香谷	0	FFFF69
	前往十万大山	44	111.25	5.68	前往十万大山	0	FFFF69
	飞天仙子	44	102	9	飞天仙子<传送>	0	FFFF69
	环任务发布人	44	98.92	97.96	任联环<环任务>	0	FFFF69
	小白位置1	44	19.73	111.43	小白位置1	0	FFFF69
	鬼厉位置1	44	19.35	109.12	鬼厉位置1	0	FFFF69
	客栈老板	44	19.67	117.32	客栈老板	0	FFFF69
	金瓶儿	44	4.36	27.55	金瓶儿	0	FFFF69
	李洵	44	18.76	28.24	李洵	0	FFFF69
	陆雪琪	44	36.53	4.19	陆雪琪	0	FFFF69
	小白位置2	44	8.92	7.94	小白位置2	0	FFFF69
	鬼厉位置2	44	6.01	11.22	鬼厉位置2	0	FFFF69
	货郎	44	74.22	76.87	货郎	0	FFFF69
	小白位置3	44	67.6	76.35	小白位置3	0	FFFF69
	鬼厉位置3	44	67.67	74	鬼厉位置3	0	FFFF69
	苗族妇女	44	79.61	91.38	苗族妇女	0	FFFF69
	醉汉	44	79.57	88.5	醉汉	0	FFFF69
	苗人小队长	44	80.17	114.68	苗人小队长	0	FFFF69
	图麻骨	44	83.07	122.87	图麻骨	0	FFFF69
	小灰	44	102.6	106.3	小灰	0	FFFF69
	大巫师	44	110.3	76.1	大巫师	0	FFFF69
	阿合台	44	95.9	18.3	阿合台	0	FFFF69
	长尾熊	44	5.91	83.55	长尾熊（80级）	1	E60012
	赤眼猪妖	44	46.67	4.51	赤眼猪妖（82级）	1	E60012
	苗人男子	44	56.39	97.81	苗人男子（84级）	1	E60012
	黎族族长	44	103.42	16.52	黎族族长（85级）	1	E60012
	黎族战士	44	116.67	16.87	黎族战士（86级）	1	E60012
	豺狼	44	98.9	80.2	豺狼（狩猎）	1	E60012
	夜枭	44	13	45	夜枭[空中]（宠）	1	E60012
	夜枭	44	19	19	稀有夜枭[空中]（宠）	1	E60012
	守护石灵	44	104	57	守护石灵（宠）	1	E60012
	守护石灵	44	106	104	稀有石灵（宠）	1	E60012
40	前往河阳城	40	6.9	10.8	前往河阳城	0	FFFF69
	前往七里峒	40	124.81	22.19	前往七里峒	0	FFFF69
	前往玄火坛一层	40	123.66	94.05	前往玄火坛一层	0	FFFF69
	飞天仙子	40	9.7	17.8	飞天仙子<传送>	0	FFFF69
	任联环<环任务>	40	34.2	9.8	任联环<环任务>	0	FFFF69
	鬼厉位置1	40	22.63	5.5	鬼厉位置1	0	FFFF69
	金瓶儿	40	43.89	17.57	金瓶儿	0	FFFF69
	吕顺	40	23.6	72.8	吕顺	0	FFFF69
	孙图	40	23	52.4	孙图	0	FFFF69
	燕虹	40	92.3	94.1	燕虹	0	FFFF69
	小倩	40	51.16	123.58	小倩	0	FFFF69
	鱼人头目	40	60.2	5.9	鱼人头目	0	FFFF69
	野兔	40	11.9	23.8	野兔（5级）	1	E60012
	焚香谷弟子	40	13.9	45	焚香谷弟子（70级）	1	E60012
	鱼人	40	78.96	13.84	鱼人（72级）	1	E60012
	焚香谷精英	40	65.6	65.2	焚香谷精英（74级）	1	E60012
	鱼人精英	40	95.48	14.74	鱼人精英（75级）	1	E60012
	火灵	40	64.24	99.56	火灵（76级）	1	E60012
	冰焰熊	40	105.9	29.7	冰焰熊（宠）	1	E60012
	冰焰熊	40	116.7	21.1	稀有冰焰熊（宠）	1	E60012
	嗜血蝙蝠	40	34.8	59.2	嗜血蝙蝠[空中]（宠）	1	E60012
	嗜血蝙蝠	40	79.6	121.9	稀有蝙蝠[空中]（宠）	1	E60012
56	喜娘-飞天婚礼	56	29.2	19.1	喜娘	0	FFFF69
	金童-飞天婚礼	56	38.3	25.1	金童	0	FFFF69
	玉女-飞天婚礼	56	31.4	25.8	玉女	0	FFFF69
57	喜娘-传统婚礼	57	24.2	19.28	喜娘	0	FFFF69
	金童-传统婚礼	57	28.53	31.95	金童	0	FFFF69
	玉女-传统婚礼	57	36.5	31.77	玉女	0	FFFF69
45	传送-七里峒	45	109.53	22.94	前往七里峒	0	FFFF69
	十万大山-传送-飞天仙子	45	101.2	32.9	飞天仙子<传送>	0	FFFF69
	任联环<环任务>	45	98.38	18.53	任联环<环任务>	0	FFFF69
	壮族巫师	45	92.2	21.5	壮族巫师	0	FFFF69
	凶灵黑虎	45	90.8	107.9	凶灵黑虎	0	FFFF69
	金瓶儿	45	81.5	88.3	金瓶儿	0	FFFF69
	青龙	45	96.2	58.6	青龙	0	FFFF69
	兽神	45	105.5	101.4	兽神	0	FFFF69
	恶犬	45	71.09	22.22	丛林狼（90级）	1	E60012
	巫族战士	45	89.37	59.54	巫族战士（92级）	1	E60012
	树妖	45	13.74	64.83	树妖（94级）	1	E60012
	恶灵	45	61.9	100.46	恶灵（96级）	1	E60012
	鬃猪	45	102.55	83.5	鬃猪（狩猎）	1	E60012
	魅心蝶精	45	31.79	71.18	魅心蝶精[空中]（宠）	1	E60012
	魅心蝶精	45	35.03	70.05	稀有蝶精[空中]（宠）	1	E60012
	七彩麋鹿	45	52.88	70.53	七彩麋鹿（宠）	1	E60012
	七彩麋鹿	45	45.73	69.65	稀有麋鹿（宠）	1	E60012
62	传送-前往死亡沼泽	62	111.4	16.1	前往死亡沼泽	0	FFFF69
	传送-前往蟠龙峰	62	72.2	117.8	前往蟠龙峰	0	FFFF69
	昆仑山-传送-飞天仙子	62	67	15	飞天仙子<传送>	0	FFFF69
	飞狐	62	9.8	110.4	飞狐（120级）	1	E60012
	昆仑守卫	62	74.6	102.5	昆仑守卫（122级）	1	E60012
	凝雪幽魂	62	36.2	21.3	凝雪幽魂（124级）	1	E60012
	雪域悍将	62	74.9	27.3	雪域悍将（126级）	1	E60012
	太乙星君	62	96.04	94.99	太乙星君<飞升接引使>	0	FFFF69
53	传送-前往小池镇	53	3.03	67.57	前往小池镇	0	FFFF69
	流波山-传送-飞天仙子	53	13.71	59.37	飞天仙子<传送>	0	FFFF69
	流波山-任联环<环任务>	53	18	5.2	任联环<环任务>	0	FFFF69
	齐昊	53	107.9	56.6	齐昊	0	FFFF69
	田灵儿	53	89.5	96.2	田灵儿	0	FFFF69
	大长老	53	7.4	23.2	大长老	0	FFFF69
	梁大手	53	7.22	30.11	梁大手	0	FFFF69
	骆疯子	53	16.8	19.2	骆疯子	0	FFFF69
	萧九娘	53	97.1	13.5	萧九娘	0	FFFF69
	万贼王	53	56.46	56.99	万贼王	0	FFFF69
	历老三	53	102.94	116.78	历老三	0	FFFF69
	常老四	53	105.03	112.58	常老四	0	FFFF69
	襄煎	53	43.24	41.74	襄煎	0	FFFF69
	晴筝	53	93.24	3.65	晴筝	0	FFFF69
	祝婆婆	53	51.97	117.86	祝婆婆	0	FFFF69
	鳄鱼	53	51.44	21.42	海蛇（40级）	1	E60012
	女贼	53	92.62	21.2	女贼（42级）	1	E60012
	螃蟹	53	27.1	115.3	刺脊鱼人（44级）	1	E60012
	海盗	53	45.82	68.36	海盗（46级）	1	E60012
	赤练蛇	53	43.4	112.3	赤练蛇（狩猎）	1	E60012
	花魅公主	53	108.93	64.92	花魅公主（宠物）	1	E60012
103	前往狐岐山	103	16.05	3.28	前往狐岐山	0	FFFF69
	传送-飞天仙子	103	30.57	7.45	飞天仙子<传送>	0	FFFF69
65	传送-前往死亡沼泽	65	5	4.6	前往死亡沼泽	0	FFFF69
	传送-前往蛮荒	65	9.5	119.1	前往蛮荒	0	FFFF69
	传送-飞天仙子	65	3.76	12.65	飞天仙子<传送>	0	FFFF69
	万毒门弟子	65	10.3	19.6	蓝妖毒	0	FFFF69
	范雄	65	63.3	22.7	范雄	0	FFFF69
	苍松道人	65	114.47	71.01	苍松道人	0	FFFF69
	秦无炎	65	110.62	119.39	秦无炎	0	FFFF69
	段如山	65	23.6	49.8	段如山	0	FFFF69
	程无牙	65	19.2	74.9	程无牙	0	FFFF69
	失控的僵尸	65	69.6	123.3	失控的僵尸（100级）	1	E60012
	妖瞳	65	12.4	88.9	妖瞳（102级）	1	E60012
	毒蛇	65	112.5	56.8	毒蛇（104级）	1	E60012
	万毒门弟子	65	36.6	21.9	万毒门弟子（106级）	1	E60012
	狐狸	65	95.3	7.6	狐狸（宠）	1	E60012
	狐狸	65	36.4	86.7	稀有狐狸（宠）	1	E60012
	彩翼黄鸟	65	90.6	38.8	彩翼黄鸟[空中]（宠）	1	E60012
	彩翼黄鸟	65	100.9	111.8	稀有黄鸟[空中]（宠）	1	E60012
68	传送-前往毒蛇谷	68	123.5	4.6	前往毒蛇谷	0	FFFF69
	传送-前往修罗	68	119.1	119.4	前往修罗	0	FFFF69
	传送-飞天仙子	68	113.25	5.7	飞天仙子<传送>	0	FFFF69
	金瓶儿	68	116.5	20.11	金瓶儿	0	FFFF69
	大长老	68	63.27	80.67	大长老	0	FFFF69
	二长老	68	58.36	79.67	二长老	0	FFFF69
	三长老	68	55.77	47.9	三长老	0	FFFF69
	四长老	68	69.87	47.89	四长老	0	FFFF69
	五长老	68	57.21	42.79	五长老	0	FFFF69
	流寇	68	23.2	103.3	马贼（110级）	1	E60012
	蝙蝠	68	119.7	57.3	食人蝠（112级）	1	E60012
	鬼王弟子男	68	10.8	62.1	圣殿守卫（114级）	1	E60012
	盗墓贼	68	47.3	115.3	摸金校尉(116级)	1	E60012
41	前往玄火坛二层	41	23.67	44.56	前往玄火坛二层	0	FFFF69
	飞天仙子	41	0.78	14.57	飞天仙子<传送>	0	FFFF69
	鬼厉	41	23.76	17.66	鬼厉	0	FFFF69
102	前往焚香谷	102	16.3	30.37	前往焚香谷	0	FFFF69
	传送-飞天仙子	102	30.57	7.45	飞天仙子<传送>	0	FFFF69
	小白	102	16.08	23.57	小白	0	FFFF69
	鬼厉	102	20.29	19.17	鬼厉	0	FFFF69
89	传送-前往修罗	89	117.5	102.9	前往修罗	0	FFFF69
	传送-飞天仙子	89	122.5	64.8	飞天仙子<传送>	0	FFFF69
	混沌力王	89	110.47	20.79	混沌力王（130级）	1	E60012
	鸿蒙大圣	89	66.25	122.71	鸿蒙大圣（132级）	1	E60012
	焰金兽	89	9.46	119.28	焰金兽（134级）	1	E60012
	化蛇	89	21.1	37.9	化蛇（136级）	1	E60012
	天缘仙子	89	112	43	天缘仙子	0	FFFF69
90	传送-前往蛮荒	90	13.9	106.1	前往蛮荒	0	FFFF69
	传送-前往鸿蒙古地	90	94.5	8	前往鸿蒙古地	0	FFFF69
	传送-飞天仙子	90	3.5	96.7	飞天仙子<传送>	0	FFFF69
	鬼厉（位置1）	90	20.8	97.3	鬼厉（位置1）	0	FFFF69
	鬼厉（位置2）	90	112.34	79.36	鬼厉（位置2）	0	FFFF69
	幽姬	90	68.97	92.2	幽姬	0	FFFF69
	陆雪琪	90	39.72	43.89	陆雪琪	0	FFFF69
	法相	90	41.44	44.96	法相	0	FFFF69
	金瓶儿	90	84.55	28.93	金瓶儿	0	FFFF69
	李洵	90	5.37	5.03	李洵	0	FFFF69
	燕虹	90	6.87	3.76	燕虹	0	FFFF69
	修罗-野怪-铜甲尸【野怪】	90	4.8	47.4	铜甲尸(140级)	1	E60012
	修罗-野怪-修罗凶卒【野怪】	90	60.8	32.6	修罗凶卒(142级)	1	E60012
	修罗-野怪-罗刹【野怪】	90	55.7	61.4	罗刹(144级)	1	E60012
	修罗-野怪-修罗冥将【野怪】	90	86.8	59.2	修罗冥将(146级)	1	E60012
91	传送-前往昆仑	91	106.53	116.69	前往昆仑	0	FFFF69
	传送-飞天仙子	91	114.23	112.6	飞天仙子<传送>	0	FFFF69
	蟠龙峰-野怪-风狸	91	106.16	98.88	风狸（150级）	1	E60012
	蟠龙峰-野怪-树灵	91	97.51	21.05	树灵（150级）	1	E60012
	蟠龙峰-野怪-龙川女	91	31.34	93.33	龙川女（150级）	1	E60012
	蟠龙峰-野怪-仙猿	91	24.5	16.18	仙猿（150级）	1	E60012
39	梦境河阳-NPC-碧瑶	39	5.4	20.43	碧瑶	0	FFFF69
	梦境河阳-NPC-陆雪琪	39	32.7	20.2	陆雪琪	0	FFFF69
	梦境河阳-NPC-田灵儿	39	22	30.5	田灵儿	0	FFFF69
	梦境河阳-NPC-林惊羽	39	8.3	24.98	林惊羽	0	FFFF69
	梦境河阳-NPC-道玄	39	15.15	28.8	道玄	0	FFFF69
