Id	Desc	ResPath	PosX	PosY	PosZ	RotX	RotY	RotZ	FieldOfView
45	半身像-青云女	Zy_qingyunnv_001	0	-1.26	0.98	2.83	172.29	0	30
46	半身像-天音男	Zy_qingyunnan_001	0	-1.38	0.87	-0.4	175	0	30
47	半身像-天音女	Zy_qingyunnv_001	0	-1.26	0.88	1	172.93	0	30
48	半身像-鬼王男	Zy_guiwangzong_001	0	-1.38	0.95	0.21	175	0	30
49	半身像-鬼王女	Zy_guiwangnv_001	-0.03	-1.24	0.83	-2.569977	172.96	0	30
50	半身像-合欢男	Zy_qingyunnan_001	0	-1.38	0.88	-2.889984	176.9	0	30
51	半身像-合欢女	Zy_hehuannv_020	0.03	-1.22	0.82	1.38	167	0	30
52	鬼王男新手装	Zy_guiwangzong_001	0	-1.37	0.42	-5	175	0	60
53	鬼王女新手装	Zy_guiwangnv_001	0	-1.25	0.42	-5.4	175	0	60
54	鬼王男10级装备	Zy_guiwangzongnan_010	0	-1.37	0.42	-5	175	0	60
55	鬼王女10级装备	Zy_guiwangzongnv_010	0	-1.25	0.42	-5.4	175	0	60
56	青云女120级装备	Zy_qingyunnv_120	0	-1.25	0.42	-5.4	175	0	60
57	六合镜（法宝展示）	Fb_x_liuhejing_1	-0.05	0.2	3.5	-90	-10	0	60
58	轮回珠（法宝展示）	Fb_x_lunhuizhu_1	-0.05	-0.3	3.5	-10	0	0	60
59	朱雀印（法宝展示）	Fb_x_zhuqueyin_1	0.04	-0.2	4	-90	160	0	60
60	慑心铃（法宝展示）	Fb_x_niexinling_1	-0.05	0.7	5.5	-90	0	0	60
61	青灵石（法宝展示）	Jian_hanbingjian_01	0.04	0.55	2.8	-5	90	90	60
62	控妖笛（法宝展示）	Jian_hanbingjian_01	0.04	0.55	2.8	-5	90	90	60
63	寒冰剑（法宝展示）	Jian_hanbingjian_01	-0.05	0.55	2.8	-5	90	90	60
64	紫金葫芦（法宝展示）	Fb_ty_zijinhulu_1_S	-0.05	-0.15	1.6	-90	90	90	60
65	伤心花（法宝展示）	Fb_x_shangxinhua_1	-0.05	-0.1	3.8	-29.7	24.8	-20.4	60
66	阴阳镜（法宝展示）	Fb_x_yinyangjing_1	-0.05	0.06	2.8	90	90	0	60
67	九阳尺（法宝展示）	Jian_hanbingjian_01	0.04	0.55	2.8	-5	90	90	60
68	斩相思（法宝展示）	Jian_hanbingjian_01	0.04	0.55	2.8	-5	90	90	60
69	山河扇（法宝展示）	Fb_x_shanheshan_1	-0.05	0	3.5	-90	0	0	60
70	神木骰（法宝展示）	Fb_x_shenmutou_1	-0.05	0.8	4.5	-90	-90	0	60
71	天琊（法宝展示）	Fb_x_tianyajian_1	-0.05	0.55	2.8	86	90	180	60
72	大悲金轮（法宝展示）	Fb_x_huangjinlun_1	-0.05	0.1	3	90	90	0	60
73	伏龙鼎（法宝展示）	Fb_x_fulongding_1	-0.05	-0.1	2.6	0	90	0	60
74	合欢铃（法宝展示）	Fb_x_hehuanling_1	-0.05	-0.3	4	90	-20	0	60
75	九凝玄冰刺（法宝展示）	Jian_hanbingjian_01	0.04	0.55	2.8	-5	90	90	60
76	万毒归宗袋（法宝展示）	Jian_hanbingjian_01	0.04	0.55	2.8	-5	90	90	60
77	乾坤轮回盘（法宝展示）	Fb_x_xingpan_1	-0.08	0	2.8	90	90	0	60
78	紫芒刃（法宝展示）	Fb_x_feijianzimang_1	-0.05	0.55	3	85	90	90	60
79	乾坤青光戒（法宝展示）	Fb_x_qiankunqingguangjie_1	-0.05	0	3.5	-90	155	0	60
80	羽翅（法宝展示）	Fb_qingyun_yuchi_1	-0.1	-1.23	5	-5	180	0	60
81	羽皇（法宝展示）	Fb_qingyun_yuhuang_1	-0.1	-1.23	5	-5	180	0	60
82	玄火鉴（法宝展示）	Fb_x_xuanhuojian_1	-0.05	0.5	4.5	-90	0	0	60
83	噬血珠（法宝展示）	Fb_x_shixuezhu_1	-0.05	0	2.8	-5	90	90	60
84	摄魂（法宝展示）	Fb_x_shehun_1	0.02	-0.34	2.3	-82	-49	49	60
85	噬魂（法宝展示）	Fb_shaohuogun_1	0	-0.2	1.5	-5	60	-90	60
86	六合镜坐骑	null	0.2	-2.1	3	-5	132	0	60
87	轮回珠坐骑	null	0.15	-1.7	3.5	-5	135	0	60
88	朱雀印坐骑	null	0.5	-1.5	4.5	-5	128	0	60
89	慑心铃坐骑	null	0.3	-1.97	3	-5	120	0	60
90	青灵石坐骑	null	-0.21	-2.21	3	-5	158.9943	0	60
91	控妖笛坐骑	null	-0.21	-2.21	3	-5	158.9943	0	60
92	寒冰剑坐骑	null	-0.34	-2.1	3	-5	140	0	60
93	紫金葫芦坐骑	null	0.5	-1.8	4.5	-5	135	0	60
94	伤心花坐骑	null	0.2	-2	3	-5	150	0	60
95	阴阳镜坐骑	null	0.3	-2	3	-5	140	0	60
96	九阳尺坐骑	null	-0.21	-2.21	3	-5	158.9943	0	60
97	斩相思坐骑	null	-0.21	-2.21	3	-5	158.9943	0	60
98	山河扇坐骑	null	0.3	-2.2	3	-5	115	0	60
99	神木骰坐骑	null	0.2	-2	3	-5	100	0	60
100	天琊坐骑	null	-0.3	-2.1	2.8	-5	150	0	60
101	大悲金轮坐骑	null	0.2	-2.3	3	-5	140	0	60
102	伏龙鼎坐骑	null	0.3	-1.9	3.6	-5	120	0	60
103	合欢铃坐骑	null	0.2	-2	3	-5	120	0	60
104	九凝玄冰刺坐骑	null	-0.21	-2.21	3	-5	158.9943	0	60
105	万毒归宗袋坐骑	null	-0.21	-2.21	3	-5	158.9943	0	60
106	乾坤轮回盘坐骑	null	0.05	-2.05	2.8	-5	132	0	60
107	紫芒刃坐骑	null	-0.2	-2	3	-5	130	0	60
108	乾坤青光戒坐骑	null	0.3	-2.2	3	-5	140	0	60
109	羽翅坐骑	null	0.1	-1.7	3	-5	-174	0	60
110	羽皇坐骑	null	0.1	-1.7	3	-5	-174	0	60
111	玄火鉴坐骑	null	0.3	-2.1	2.8	-5	120	0	60
112	噬血珠坐骑	null	0.3	-2	3	-5	140	0	60
113	摄魂坐骑	null	0.1	-2	2.6	-5	135	0	60
114	噬魂坐骑	null	0.05	-2	2.6	-5	130	0	60
115	宠物测试模型	Npc_dahuanggou_01	0	-0.26	1.28	-3.6	-151	0	60
116	合欢女20级装备	Zy_hehuannv_020	0	-1.25	0.42	-5.4	175	0	60
117	田不易	Npc_tianbuyi_1	0.08	-1.09	0.69	-2.77002	-172.49	0	60
118	毒神	Npc_dushen_1	-0.01	-1.33	0.72	-5	-178.92	0	60
119	少年张小凡	Npc_shaonianzhangxiaofan_1	0.02	-1.13	0.38	-0.62	166.6	0	60
120	碧瑶（新手引导）	Npc_biyao_1	-0.16	-1.2	3.05	0	-179	1.6	10
121	鬼王女NPC	Npc_guiwangnvdizi_001	0.02	-1.2	0.5	-4.200012	170.83	-2.929901	60
122	组队角色模型-青云男	Zy_qingyunnan_020	0.026	-0.771	1.677	12.4732	180	0	60
123	组队角色模型-青云女	Zy_qingyunnv_010	0.01736552	-0.7116731	1.539733	11.66998	-179.9629	0.8080285	60
124	组队角色模型-天音男	Zy_qingyunnan_021	0.02871857	-0.7721295	1.627819	12.46211	-177.0672	0.6508954	60
125	组队角色模型-天音女	Zy_qingyunnv_011	0.01736552	-0.7116731	1.539733	11.66998	-179.9629	0.8080285	60
126	组队角色模型-鬼王男	Zy_qingyunnan_022	0.026	-0.771	1.677	12.4732	180	0	60
127	组队角色模型-鬼王女	Zy_qingyunnv_012	0.009999933	-0.75	1.610029	14.15785	177.5016	-2.091553	60
128	组队角色模型-合欢男	Zy_qingyunnan_023	0.02423943	-0.7710565	1.63	12.46212	-167.471	2.545979	60
129	组队角色模型-合欢女	Zy_qingyunnv_013	0.07	-0.69	1.63	12.94	170.97	-2.037	60
130	鬼王	Npc_guiwang_1	0	-1.68	1.44	9.710139	-178.29	-0.499939	60
131	肥龙	Npc_feilong_1	-0.03	-1.1	0.62	-1.23	171.66	0	60
132	苍松	Npc_cangsongdaoren_1	0	-1.37	0.4	-11.60001	174.01	0	60
133	文敏	Npc_wenmin_1	0	-1.23	0.48	-5	163.2	0	60
134	萧逸才	Npc_xiaoyicai_1	0.15	-1.32	0.48	-6.199951	-170.32	-5.899994	60
135	曾书书	Npc_zengshushu_1	0	-1.3	0.7	2.84002	-168.93	0	60
136	巫妖	Npc_wuyao_1	0.01	-1.32	0.4	-11.6	161.1	0	60
137	毒尸1	Npc_dushi_1	0.05	-1.55	0.6	-11.60001	156.3	0	60
138	狐妖	Npc_huyao_1	0.02	-1.18	0.6	-4.75	164.6	0	60
139	苗族女战士	Npc_miaozunvzhanshi_1	0.05	-1.21	0.4	-7.9	-179.05	-3.039978	60
140	宠物-普通-顽猴-1级	Npc_houzi_1	0	-0.26	1.28	-3.6	-151	0	60
141	宠物-稀有-顽猴-1级	Npc_houzi_3	0	-0.26	1.28	-3.6	-151	0	60
142	宠物-普通-顽猴-12级	Npc_houzi_4	0	-0.26	1.28	-3.6	-151	0	60
143	宠物-稀有-顽猴-12级	Npc_houzi_5	0	-0.26	1.28	-3.6	-151	0	60
144	宠物-普通-广寒玉兔-1级	Npc_tuzi_1	-0.03	-0.22	1.08	0	-127.59	0	60
145	宠物-稀有-广寒玉兔-1级	Npc_tuzi_2	-0.03	-0.22	1.08	0	-127.59	0	60
146	宠物-普通-广寒玉兔-12级	Npc_tuzi_3	-0.03	-0.22	1.08	0	-127.59	0	60
147	宠物-稀有-广寒玉兔-12级	Npc_tuzi_4	-0.03	-0.22	1.08	0	-127.59	0	60
148	宠物-普通-魅心蝶精-1级	Npc_diejing_1	0	-0.94	2.5	0	179.12	0	60
149	宠物-稀有-魅心蝶精-1级	Npc_diejing_2	0	-0.94	2.5	0	179.12	0	60
150	宠物-普通-魅心蝶精-12级	Npc_diejing_3	0	-0.94	2.5	0	179.12	0	60
151	宠物-稀有-魅心蝶精-12级	Npc_diejing_4	0	-0.94	2.5	0	179.12	0	60
152	宠物-普通-冰原雪熊-1级	Npc_xiong_1	0	-0.54	2.1	-3.6	-150.89	0	60
153	宠物-稀有-冰原雪熊-1级	Npc_xiong_3	0	-0.54	2.1	-3.6	-150.89	0	60
154	宠物-普通-冰原雪熊-12级	Npc_xiong_2	0	-0.54	2.1	-3.6	-150.89	0	60
155	宠物-稀有-冰原雪熊-12级	Npc_xiong_4	0	-0.54	2.1	-3.6	-150.89	0	60
156	宠物-普通-七彩麋鹿-1级	Npc_qicaimilu_2	0	-0.45	1.7	0	-110.7	0	60
157	宠物-稀有-七彩麋鹿-1级	Npc_qicaimilu_3	0	-0.45	1.7	0	-110.7	0	60
158	宠物-普通-七彩麋鹿-12级	Npc_qicaimilu_1	0	-0.45	1.7	0	-110.7	0	60
159	宠物-稀有-七彩麋鹿-12级	Npc_qicaimilu_4	0	-0.45	1.7	0	-110.7	0	60
160	宠物-普通-嗜血蝙蝠-1级	Npc_bianfu_1	-0.1	-1.32	1.83	-3.6	-143.39	0	60
161	宠物-稀有-嗜血蝙蝠-1级	Npc_bianfu_2	-0.1	-1.32	1.83	-3.6	-143.39	0	60
162	宠物-普通-嗜血蝙蝠-12级	Npc_bianfu_3	-0.1	-1.32	1.83	-3.6	-143.39	0	60
163	宠物-稀有-嗜血蝙蝠-12级	Npc_bianfu_4	-0.1	-1.32	1.83	-3.6	-143.39	0	60
164	宠物-普通-花魅公主-1级	Npc_huajing_2	0	-0.85	2.5	-3.6	172.75	0	60
165	宠物-稀有-花魅公主-1级	Npc_huajing_4	0	-0.85	2.5	-3.6	172.75	0	60
166	宠物-普通-花魅公主-12级	Npc_huajing_3	0	-0.85	2.4	-3.6	165.56	0	60
167	宠物-稀有-花魅公主-12级	Npc_huajing_1	0	-0.85	2.4	-3.6	165.56	0	60
168	宠物-普通-狐狸-1级	Npc_jiuweitianhu_2	0	-0.44	1.8	-0.6	-153	0	60
169	宠物-稀有-狐狸-1级	Npc_jiuweitianhu_3	0	-0.44	1.8	-0.6	-153	0	60
170	宠物-普通-狐狸-12级	Npc_jiuweitianhu_4	0	-0.44	1.8	-0.6	-153	0	60
171	宠物-稀有-狐狸-12级	Npc_jiuweitianhu_1	0	-0.44	1.8	-0.6	-153	0	60
172	宠物-普通-猫头鹰-1级	Npc_maotouying_1	-0.13	-0.89	1.31	0	-157.61	0	60
173	宠物-稀有-猫头鹰-1级	Npc_maotouying_3	-0.13	-0.89	1.31	0	-157.61	0	60
174	宠物-普通-猫头鹰-12级	Npc_maotouying_2	-0.13	-0.89	1.31	0	-157.61	0	60
175	宠物-稀有-猫头鹰-12级	Npc_maotouying_4	-0.13	-0.89	1.31	0	-157.61	0	60
176	宠物-普通-守护石灵-1级	Npc_shouhushiling_2	0	-0.46	2.72	0	180	0	60
177	宠物-稀有-守护石灵-1级	Npc_shouhushiling_3	0	-0.46	2.72	0	180	0	60
178	宠物-普通-守护石灵-12级	Npc_shouhushiling_1	0	-0.46	2.72	0	180	0	60
179	宠物-稀有-守护石灵-12级	Npc_shouhushiling_4	0	-0.46	2.72	0	180	0	60
180	宠物-普通-彩翼黄鸟-1级	Npc_huangniao_1	-0.52	-1.5	5.26	-3.6	-149.9	0	60
181	宠物-稀有-彩翼黄鸟-1级	Npc_huangniao_4	-0.52	-1.5	5.26	-3.6	-149.9	0	60
182	宠物-普通-彩翼黄鸟-12级	Npc_huangniao_3	-0.52	-1.5	5.26	-3.6	-149.9	0	60
183	宠物-稀有-彩翼黄鸟-12级	Npc_huangniao_2	-0.52	-1.5	5.26	-3.6	-149.9	0	60
184	怨灵-女	Npc_yuanlingnv_1	0.03	-1.47	0.33	-11.60001	164.56	0	60
185	家丁	Npc_jiading_1	-0.02	-1.35	0.6	-0.1	156.3	0	60
186	小白	Npc_xiaobai_1	0	-1.2	0.51	-3.23999	167.66	0	60
187	苏茹	Npc_suru_1	0	-1.18	0.54	-1.9	162.75	0	60
188	李洵	Npc_lixun_1	-0.03	-1.36	0.7	5.7	173.8	0	60
189	琥珀朱绫（法宝展示）	Fb_x_hupozhuling_1	-0.05	0	2.3	-90	-10	0	60
190	琥珀朱绫坐骑	null	0.1	-2	2.7	-5	158.9943	0	60
191	家族聚餐-大餐	Npc_Hongshaoyu_1	0.08	-1.35	2.42	-0.007293701	90.08333	-26.7511	60
192	家族聚餐-中餐	Npc_Hongshaoyu_1	0.08	-1.35	2.42	-0.007293701	90.08333	-26.7511	60
193	家族聚餐-小餐	Npc_Hongshaoyu_1	0.08	-1.35	2.42	-0.007293701	90.08333	-26.7511	60
194	宠物-普通-萌狗-1级	Npc_dahuanggou_01	0	-0.26	1.28	-3.6	-151	0	60
195	宠物-稀有-萌狗-1级	Npc_dahuanggou_03	0	-0.26	1.28	-3.6	-151	0	60
196	宠物-普通-萌狗-12级	Npc_dahuanggou_02	0	-0.26	1.28	-3.6	-151	0	60
197	宠物-稀有-萌狗-12级	Npc_dahuanggou_04	0	-0.26	1.28	-3.6	-151	0	60
198	碧瑶	Npc_biyao_1	-0.03	-1.2	0.48	0	177.34	1.6	60
199	诛仙剑（法宝展示）	Fb_x_zhuxiangujian_1	-0.05	0.54	2.8	80.6	57.6	58	60
200	诛仙剑坐骑	null	-0.6	-2	3	-5	130	0	60
201	聊天室角色模型-青云男	Zy_qingyunnan_020	-0.2058845	-0.5226631	2.625567	12.63044	176.5602	1.353359	60
202	聊天室角色模型-青云女	Zy_qingyunnv_010	0.4009983	-0.546397	2.641	14.86643	-174.7613	-2.702179	60
203	聊天室角色模型-天音男	Zy_qingyunnan_020	-0.2058845	-0.5226631	2.625567	12.63044	176.5602	1.353359	60
204	聊天室角色模型-天音女	Zy_qingyunnv_010	0.4009983	-0.546397	2.641	14.86643	-174.7613	-2.702179	60
205	聊天室角色模型-鬼王男	Zy_qingyunnan_020	-0.2058845	-0.5226631	2.625567	12.63044	176.5602	1.353359	60
206	聊天室角色模型-鬼王女	Zy_qingyunnv_010	0.4009983	-0.546397	2.641	14.86643	-174.7613	-2.702179	60
207	聊天室角色模型-合欢男	Zy_qingyunnan_020	-0.2058845	-0.5226631	2.625567	12.63044	176.5602	1.353359	60
208	聊天室角色模型-合欢女	Zy_qingyunnv_010	0.4009983	-0.546397	2.641	14.86643	-174.7613	-2.702179	60
209	摆摊模型	Npc_baitan_1	-0.034	-0.84	1.05	-7.259857	171.8	5.38E-08	60
210	店小二	Npc_dianxiaoer_1	-0.02	-1.35	0.6	-0.1	156.3	0	60
211	铁匠	Npc_tiejiang_1	-0.02	-1.6	1.04	2.500018	170.29	0	60
212	赌徒	Npc_dutu_1	-0.02	-1.35	0.6	-0.1	167.51	0	60
213	书生	Npc_shusheng_1	-0.02	-1.35	0.6	-0.1	156.3	0	60
214	小男孩	Npc_xiaonanhai_1	0	-1.1	0.3	-5.619904	171.4	0	60
215	小女孩	Npc_xiaonvhai_1	0	-1.14	0.37	-0.1	156.3	0	60
216	乞丐	Npc_qigai_1	-0.02	-1.3	0.6	-0.1	-179.56	0	60
217	卫兵	Npc_weibing_1	0.14	-1.63	1.36	6.32	-173.61	0	60
218	毒尸2	Npc_dushi_2	0.08	-1.45	0.43	-11.60001	156.3	0	60
219	姜老三	Npc_jianglaosan_1	0.02	-1.36	0.4	-7.85	156.3	0	60
220	树妖	Npc_shuyao_1	0.08	-1.36	1.55	-7.85	166.23	0	60
221	林惊羽	Npc_linjingyu_1	0.04	-1.32	0.65	-0.1000061	-164.44	0	60
222	三眼凶猴	Npc_shuyao_1	0.08	-1.36	-1.49	-7.85	166.23	0	60
223	杜必书	Npc_dubishu_1	0	-1.41	0.43	-3.8	169.19	0	60
224	水贼	Npc_shuizei_1	-0.02	-1.32	0.57	-0.1	-179.56	0	60
225	苗族男战士	Npc_miaozunanzhanshi_1	-0.02	-1.56	1.03	-0.1	-179.56	0	60
226	年老大	Npc_nianlaoda_1	0	-1.1	0.64	-3.32	168.06	0	60
227	百毒子	Npc_baiduzi_1	0	-1.1	0.4	-3.32	168.06	0	60
228	石头	Npc_shitou_1	0	-1.08	0.6	-0.1400146	168.06	0	60
229	钱庄老板	Npc_qianzhuanglaoban_1	0.08	-1.16	0.71	-3.32	-170.98	0	60
230	大巫师	Npc_dawushi_1	0	-1.12	0.9	-3.32	171.89	0	60
231	老太太	Npc_laotaitai_1	0.06	-1.12	0.73	-3.32	171.89	0	60
232	月老	Npc_yuelao_1	0.08	-1.12	0.73	-3.32	-176.28	0	60
233	鬼先生	Npc_guixiansheng_1	-0.02	-1.75	0.6	-3.8	176.09	0	60
234	黑心老人	Npc_heixinlaoren_1	-0.02	-1.33	0.55	-7.599976	161.6	0	60
235	吸血老妖	Npc_xixuelaoyao_1	-0.02	-1.3	0.58	-3.8	178.6	0	60
236	云易岚	Npc_yunyilan_1	-0.02	-1.35	0.55	-3.8	169.19	0	60
237	渔翁	Npc_yuweng_1	-0.02	-1.38	0.73	-3.8	173.65	0	60
238	玉阳子	Npc_yuyangzi_1	-0.02	-1.34	0.75	-3.8	169.19	0	60
239	山贼	Npc_shanzei_1	-0.02	-1.29	0.52	-3.8	-175.82	0	60
240	车夫	Npc_chefu_1	-0.02	-1.36	0.6	0.4	168.84	0	60
241	盗宝贼	Npc_daobaozei_1	-0.02	-1.37	0.64	1.8	162.63	0	60
242	青龙	Npc_daobaozei_1	-0.02	-1.37	0.64	1.8	162.63	0	60
243	秦无炎	Npc_qinwuyan_1	-0.05	-1.37	0.7	1.8	162.63	0	60
244	上官策	Npc_shangguance_1	-0.05	-1.37	0.79	1.8	162.63	0	60
245	妖僧	Npc_yaoseng_1	-0.05	-1.38	0.79	1.8	162.63	0	60
246	黎族男战士	Npc_lizunanzhanshi_1	0	-1.56	1.27	-0.1	-179.56	0	60
247	古巫族男战士	Npc_guwuzunan_1	0.02	-1.58	1.27	9.20005	178.8	0	60
248	宋大仁	Npc_songdaren_1	0	-1.49	1.5	18.41	179.47	0	60
249	野狗道人	Npc_yegoudaoren_1	0	-1.56	1.41	7.680001	-179.56	0	60
250	鱼人	Npc_renyu_1	0.08	-1.29	1.56	-7.85	162.01	0	60
251	黎族女战士	Npc_lizunvzhanshi_1	0	-1.22	0.57	-0.1	168	0	60
252	燕虹	Npc_yanhong_1	-0.11	-1.18	0.3	-0.85	179.7	3.3	60
253	花魅	Npc_huamei_1	0	-1.22	0.43	-9.46	168.29	0	60
254	金瓶儿	Npc_jinpinger_1	0.02	-1.22	0.57	-9.11	170.9	0	60
255	少妇	Npc_shaofu_1	0.02	-1.22	0.57	-9.11	170.9	0	60
256	水月大师	Npc_shuiyuedashi_1	0.02	-1.22	0.44	-9.11	171.29	0	60
257	田灵儿	Npc_tianlinger_1	0.02	-1.23	0.44	-6.86	161.13	0	60
258	小倩	Npc_xiaoqian_1	0.02	-1.22	0.49	-6.86	166.1	0	60
259	古巫族女战士	Npc_guwuzunvzhanshi_1	0	-1.22	0.57	-0.1	174.58	0	60
260	幽姬	Npc_youji_1	0.05	-1.22	0.57	-0.1000061	174.58	-5.800018	60
261	婚礼飞剑	Fb_x_hunli_1	-0.6	-2.1	3	0	130	0	60
262	怨灵-男	Npc_yuanlingnan_1	0.03	-1.59	0.45	-11.60001	164.56	0	60
263	青云男 商城预览	Zy_qingyunnan_020	-0.005	-0.72	1.65	0	-180	0	60
264	青云女 商城预览	Zy_qingyunnv_010	-0.012	-0.63	1.61	0	-176.2522	0	60
265	天音男 商城预览	Zy_qingyunnan_021	-0.005	-0.72	1.65	0	-180	0	60
266	天音女 商城预览	Zy_qingyunnv_011	-0.012	-0.63	1.61	0	-176.2522	0	60
267	鬼王男 商城预览	Zy_guiwangzongnan_010	-0.005	-0.72	1.65	0	-180	0	60
268	鬼王女 商城预览	Zy_guiwangzongnv_010	-0.012	-0.63	1.61	0	-176.2522	0	60
269	合欢男 商城预览	Zy_qingyunnan_023	-0.005	-0.72	1.65	0	-165.5248	0	60
270	合欢女 商城预览	Zy_qingyunnv_013	-0.012	-0.63	1.61	0	170.578	0	60
271	狒狒	Npc_yehouzi_1	0.1	-3.03	4.4	-7.85	168.87	0	60
272	魔化兽神	Npc_mohuashoushen_1	0	-1.11	0.44	-0.1	173.9	0	60
273	兽神	Npc_zhengchangshenshou_1	0	-1.14	0.45	-0.1	168.69	0	60
274	普德	Npc_pude_1	-0.03	-1.36	0.68	4.260027	172.46	0	60
275	普泓	Npc_puhong_1	0	-1.45	0.6	-11.80002	168.22	0	60
276	法善	Npc_pushan_1	0.12	-1.57	0.96	-0.69	178.8	0	60
277	普智	Npc_puzhi_1	0	-1.14	0.73	-0.69	171.67	0	60
278	法相	Npc_faxiang_1	0.04	-1.35	0.45	-9.900024	172.3	-2.970032	60
279	万云天	Npc_chengzhu_1	0	-1.24	0.56	-5.37	163.37	0	60
280	万剑一	Npc_wanjianyi_1	0	-1.43	0.6	-7.790009	171.3	0	60
281	端木老祖	Npc_duanmulaozu_1	0.1	-1.62	1.1	-5.37	-169.79	0	60
282	图麻骨	Npc_tumagu_1	0.1	-1.62	1.1	-5.37	-169.79	0	60
283	宠物-稀有-蘑菇仙人-1级（分享活动专用）	Npc_moguxian_3	0	-0.23	1.13	0	149.98	0	60
