Id	Desc	LimitID	BonusID	MisType	LogicType	LogicID	ScriptID	NextMisID0	NextMisID1	NextMisID2	NextMisID3	NextMisID4	ChapterID	IsClientMis	IsCanAskHelp
26	主线-如梦似幻	26	26	1	9	7	-1	27	-1	-1	-1	-1	2	0	0
27	主线-唤人声声	27	27	1	3	9	1036	28	-1	-1	-1	-1	2	0	0
28	主线-闲话一二	28	28	1	1	6	-1	29	-1	-1	-1	-1	2	0	0
29	主线-商旅之人	29	29	1	3	10	1036	30	-1	-1	-1	-1	3	0	0
30	主线-当头冷水	30	30	1	1	7	-1	356	-1	-1	-1	-1	3	0	0
31	主线-青云之论	31	31	1	3	11	1036	33	-1	-1	-1	-1	3	0	0
32	【废弃】主线-张姓弟子	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
33	主线-话起争端	33	33	1	1	8	-1	34	-1	-1	-1	-1	3	0	0
34	主线-河阳事发	34	34	1	3	12	1036	35	-1	-1	-1	-1	3	0	0
35	主线-来龙去脉	35	35	1	-1	-1	1013	1044	-1	-1	-1	-1	4	0	0
36	主线-诛妖之令	36	36	1	9	8	-1	-1	-1	-1	-1	-1	4	0	0
37	主线-利器相授	37	37	1	3	13	1008	38	-1	-1	-1	-1	4	0	0
38	主线-炼器之技	38	38	1	-1	-1	1010	358	-1	-1	-1	-1	4	0	0
39	主线-草庙旧事	39	39	1	5	4	-1	40	-1	-1	-1	-1	4	0	0
40	主线-滋事凶灵	40	40	1	7	14	-1	41	-1	-1	-1	-1	4	0	0
41	主线-压制之法	41	41	1	3	14	1036	42	-1	-1	-1	-1	4	0	0
42	主线-诛仙为引	42	42	1	1	10	-1	325	-1	-1	-1	-1	4	0	0
43	主线-以符而制	43	43	1	-1	-1	1009	44	-1	-1	-1	-1	4	0	0
44	主线-扑朔黑影	44	44	1	5	5	-1	45	-1	-1	-1	-1	4	0	0
45	主线-纠葛难断	45	45	1	7	1	-1	46	-1	-1	-1	-1	4	0	0
46	主线-睹物思情	46	46	1	-1	-1	1011	47	-1	-1	-1	-1	4	0	0
47	主线-心有所惑	47	47	1	5	6	-1	49	-1	-1	-1	-1	4	0	0
48	【废弃】主线-血戾之物	48	48	1	9	9	-1	49	-1	-1	-1	-1	5	0	0
49	主线-灵犀相通	49	49	1	-1	-1	1012	50	-1	-1	-1	-1	5	0	0
50	主线-发狂异兽	50	50	1	2	6	1018	51	-1	-1	-1	-1	5	0	0
51	主线-神秘义庄	51	51	1	5	7	-1	52	-1	-1	-1	-1	5	0	0
52	主线-扑朔迷离	52	52	1	7	2	-1	360	-1	-1	-1	-1	5	0	0
53	主线-草庙事解	53	53	1	3	15	1036	54	-1	-1	-1	-1	5	0	0
54	主线-恩怨俱结	54	54	1	1	11	-1	452	-1	-1	-1	-1	5	0	0
55	主线-吓将一跳	55	55	1	3	683	1036	56	-1	-1	-1	-1	5	0	0
56	主线-真真假假	56	56	1	1	12	-1	57	-1	-1	-1	-1	5	0	0
57	主线-少女心思	57	57	1	3	16	1036	58	-1	-1	-1	-1	5	0	0
58	主线-旧时衣物	58	58	1	1	13	-1	59	-1	-1	-1	-1	6	0	0
59	主线-冰糖葫芦	59	59	1	4	6	1013	60	-1	-1	-1	-1	6	0	0
60	主线-校场擂台	60	60	1	5	9	-1	61	-1	-1	-1	-1	6	0	0
61	主线-热情相邀	61	61	1	3	17	1036	62	-1	-1	-1	-1	6	0	0
62	主线-小试牛刀	62	62	1	-1	-1	-1	63	-1	-1	-1	-1	6	0	0
63	主线-不明纸条	63	63	1	-1	-1	1015	-1	64	65	66	67	6	0	0
64	主线-柳暗花明	64	64	1	5	11	-1	68	-1	-1	-1	-1	6	0	0
65	主线-柳暗花明	65	65	1	5	12	-1	68	-1	-1	-1	-1	6	0	0
66	主线-柳暗花明	66	66	1	5	13	-1	68	-1	-1	-1	-1	6	0	0
67	主线-柳暗花明	67	67	1	5	14	-1	68	-1	-1	-1	-1	6	0	0
68	主线-临别之际	68	68	1	3	18	1036	69	-1	-1	-1	-1	6	0	0
69	主线-字字珠玑	69	69	1	1	14	-1	-1	70	71	72	73	6	0	0
70	主线-分道扬镳	70	70	1	3	19	1013	74	-1	-1	-1	-1	6	0	0
71	主线-分道扬镳	71	71	1	3	20	1013	198	-1	-1	-1	-1	6	0	0
72	主线-分道扬镳	72	72	1	3	21	1013	261	-1	-1	-1	-1	6	0	0
73	主线-分道扬镳	73	73	1	3	22	1013	138	-1	-1	-1	-1	6	0	0
74	主线-归心似箭	74	74	1	5	15	1017	75	-1	-1	-1	-1	6	0	0
75	主线-师兄方超	75	75	1	3	23	1036	76	-1	-1	-1	-1	7	0	0
76	主线-山魈之祸	76	76	1	1	15	-1	77	-1	-1	-1	-1	7	0	0
77	主线-驱赶山魈	77	77	1	2	7	-1	78	-1	-1	-1	-1	7	0	0
78	主线-继续赶路	78	78	1	5	16	-1	79	-1	-1	-1	-1	7	0	0
79	主线-风回首座	79	79	1	3	24	1036	80	-1	-1	-1	-1	7	0	0
80	主线-首座之怨	80	80	1	1	16	-1	81	-1	-1	-1	-1	7	0	0
81	主线-先明师兄	81	81	1	3	25	1036	82	-1	-1	-1	-1	7	0	0
82	主线-师兄关照	82	82	1	-1	-1	1013	638	-1	-1	-1	-1	7	0	0
83	主线-见过掌门	83	83	1	3	26	1036	84	-1	-1	-1	-1	7	0	0
84	主线-甚感欣慰	84	84	1	-1	-1	1015	85	-1	-1	-1	-1	7	0	0
85	主线-欲言又止	85	85	1	1	17	-1	86	-1	-1	-1	-1	7	0	0
86	主线-是非对错	86	86	1	-1	-1	1016	87	-1	-1	-1	-1	8	0	0
87	主线-有意为之	87	87	1	1	18	-1	88	-1	-1	-1	-1	8	0	0
88	主线-磨砺心性	88	88	1	2	8	-1	89	-1	-1	-1	-1	8	0	0
89	主线-锻炼胆量	89	89	1	3	27	1036	90	-1	-1	-1	-1	8	0	0
90	主线-挑战同门	90	90	1	7	4	-1	91	-1	-1	-1	-1	8	0	0
91	主线-回见掌门	91	91	1	3	28	1036	92	-1	-1	-1	-1	8	0	0
92	主线-答掌门问	92	92	1	-1	-1	1016	93	-1	-1	-1	-1	8	0	0
93	主线-亲传之位	93	93	1	-1	-1	1013	453	-1	-1	-1	-1	8	0	0
94	主线-祖师祠堂	94	94	1	-1	-1	1015	95	-1	-1	-1	-1	8	0	0
95	主线-枯瘦老者	95	95	1	3	29	1036	96	-1	-1	-1	-1	8	0	0
96	主线-相互切磋	96	96	1	7	5	-1	97	-1	-1	-1	-1	8	0	0
97	主线-老者嘱托	97	97	1	3	30	1036	98	-1	-1	-1	-1	8	0	0
98	主线-闭关歇息	98	98	1	1	19	-1	99	-1	-1	-1	-1	8	0	0
99	主线-大竹峰畔	99	99	1	5	17	-1	100	-1	-1	-1	-1	9	0	0
100	主线-安慰师兄	100	100	1	3	31	1036	101	-1	-1	-1	-1	9	0	0
101	主线-师父心结	101	101	1	1	20	-1	102	-1	-1	-1	-1	9	0	0
102	主线-玲珑师妹	102	102	1	3	32	1036	103	-1	-1	-1	-1	9	0	0
103	主线-大骨香味	103	103	1	9	10	-1	104	-1	-1	-1	-1	9	0	0
104	主线-大黄憨态	104	104	1	-1	-1	1015	105	-1	-1	-1	-1	9	0	0
105	主线-众人之意	105	105	1	1	21	-1	106	-1	-1	-1	-1	9	0	0
106	主线-意探小竹	106	106	1	5	18	-1	107	-1	-1	-1	-1	9	0	0
107	主线-鬼祟师兄	107	107	1	3	33	1036	108	-1	-1	-1	-1	9	0	0
108	主线-顽劣书书	108	108	1	-1	-1	1015	109	-1	-1	-1	-1	9	0	0
109	主线-曾经旧友	109	109	1	1	22	-1	110	-1	-1	-1	-1	9	0	0
110	主线-求证师姐	110	110	1	3	34	1036	111	-1	-1	-1	-1	9	0	0
111	主线-深受其害	111	111	1	1	23	-1	112	-1	-1	-1	-1	9	0	0
112	主线-望月台边	112	112	1	5	19	-1	113	-1	-1	-1	-1	10	0	0
113	主线-百转柔情	113	113	1	5	33	1007	114	-1	-1	-1	-1	10	0	0
114	主线-求情掌门	114	114	1	3	35	1036	115	-1	-1	-1	-1	10	0	0
115	主线-天机之变	115	115	1	5	20	-1	116	-1	-1	-1	-1	10	0	0
116	主线-心中顾虑	116	116	1	1	24	-1	117	-1	-1	-1	-1	10	0	0
117	主线-天音之行	117	117	1	5	21	1017	118	-1	-1	-1	-1	10	0	0
118	主线-红云恶僧	118	118	1	2	9	-1	119	-1	-1	-1	-1	11	0	0
119	主线-寺中住持	119	119	1	3	36	1036	120	-1	-1	-1	-1	11	0	0
120	主线-出手相助	120	120	1	2	10	-1	121	-1	-1	-1	-1	11	0	0
121	主线-普德上人	121	121	1	3	37	1036	122	-1	-1	-1	-1	11	0	0
122	主线-善恶一念	122	122	1	1	25	-1	1040	-1	-1	-1	-1	11	0	0
123	主线-回见法相	123	123	1	3	38	1036	124	-1	-1	-1	-1	11	0	0
124	主线-昔日渊源	124	124	1	1	26	-1	125	-1	-1	-1	-1	11	0	0
125	主线-误闯禁地	125	125	1	5	22	-1	126	-1	-1	-1	-1	11	0	0
126	主线-佛家舍利	126	126	1	6	12	-1	127	-1	-1	-1	-1	11	0	0
127	主线-噬血来历	127	127	1	1	278	1013	128	-1	-1	-1	-1	11	0	0
128	主线-谢过天音	128	128	1	3	39	1036	129	-1	-1	-1	-1	11	0	0
129	主线-佛家之意	129	129	1	1	27	-1	130	-1	-1	-1	-1	11	0	0
130	主线-归途青云	130	130	1	3	40	1017	131	-1	-1	-1	-1	11	0	0
131	主线-空桑历练	131	131	1	1	28	-1	132	-1	-1	-1	-1	12	0	0
132	主线-齐昊之意	132	132	1	3	41	1036	133	-1	-1	-1	-1	12	0	0
133	主线-六合宝镜	133	133	1	1	29	-1	135	-1	-1	-1	-1	12	0	0
134	【废弃】主线-飞行之法	134	134	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
135	主线-探查禁制	135	135	1	9	11	-1	368	-1	-1	-1	-1	12	0	0
136	主线-回见师兄	136	136	1	3	42	1036	137	-1	-1	-1	-1	12	0	0
137	主线-空桑之行	137	137	1	5	23	-1	372	-1	-1	-1	-1	12	0	0
138	主线-倦鸟归巢	138	138	1	5	24	1017	139	-1	-1	-1	-1	6	0	0
139	主线-翘首以盼	139	139	1	3	43	1036	140	-1	-1	-1	-1	13	0	0
140	主线-掌门心思	140	140	1	1	30	-1	141	-1	-1	-1	-1	13	0	0
141	主线-翩翩君子	141	141	1	5	25	1023	142	-1	-1	-1	-1	13	0	0
142	主线-见过师兄	142	142	1	3	44	1036	457	-1	-1	-1	-1	13	0	0
143	主线-师兄关怀	143	143	1	-1	-1	1013	639	-1	-1	-1	-1	13	0	0
144	主线-口舌之好	144	144	1	1	32	-1	145	-1	-1	-1	-1	13	0	0
145	主线-精巧少女	145	145	1	3	45	1036	146	-1	-1	-1	-1	13	0	0
146	主线-断袖之癖	146	146	1	1	33	-1	147	-1	-1	-1	-1	13	0	0
147	主线-灵芝妙药	147	147	1	9	12	-1	148	-1	-1	-1	-1	13	0	0
148	主线-猴王赤月	148	148	1	7	13	-1	458	-1	-1	-1	-1	13	0	0
149	主线-呈礼掌门	149	149	1	3	46	1036	150	-1	-1	-1	-1	13	0	0
150	主线-深感危机	150	150	1	-1	-1	1013	151	-1	-1	-1	-1	13	0	0
151	主线-亲传弟子	151	151	1	1	35	-1	152	-1	-1	-1	-1	14	0	0
152	主线-欢喜婆婆	152	152	1	3	47	1036	153	-1	-1	-1	-1	14	0	0
153	主线-祭祀祖师	153	153	1	-1	-1	1015	154	-1	-1	-1	-1	14	0	0
154	主线-唾弃不言	154	154	1	9	13	-1	155	-1	-1	-1	-1	14	0	0
155	主线-回禀掌门	155	155	1	3	48	1036	156	-1	-1	-1	-1	14	0	0
156	主线-合欢之意	156	156	1	1	36	-1	157	-1	-1	-1	-1	14	0	0
157	主线-亲传之位	157	157	1	-1	-1	1013	454	-1	-1	-1	-1	14	0	0
158	主线-武学之师	158	158	1	5	26	1023	159	-1	-1	-1	-1	14	0	0
159	主线-诚惶诚恐	159	159	1	3	49	1036	160	-1	-1	-1	-1	15	0	0
160	主线-必修之课	160	160	1	1	37	-1	161	-1	-1	-1	-1	15	0	0
161	主线-动如脱兔	161	161	1	2	12	-1	162	-1	-1	-1	-1	15	0	0
162	主线-温泉功效	162	162	1	9	14	-1	459	-1	-1	-1	-1	15	0	0
163	主线-再见婆婆	163	163	1	3	50	1036	164	-1	-1	-1	-1	15	0	0
164	主线-陈年旧事	164	164	1	1	38	-1	165	-1	-1	-1	-1	15	0	0
165	主线-青春永驻	165	165	1	6	13	-1	166	-1	-1	-1	-1	15	0	0
166	主线-爱美之心	166	166	1	3	51	1036	167	-1	-1	-1	-1	15	0	0
167	主线-沧海飞燕	167	167	1	1	39	-1	168	-1	-1	-1	-1	15	0	0
168	主线-师姐之意	168	168	1	5	27	-1	169	-1	-1	-1	-1	15	0	0
169	主线-沧海之谢	169	169	1	3	52	1036	170	-1	-1	-1	-1	15	0	0
170	主线-互相关照	170	170	1	1	40	-1	171	-1	-1	-1	-1	16	0	0
171	主线-人小鬼大	171	171	1	3	53	1036	172	-1	-1	-1	-1	16	0	0
172	主线-刁蛮师姐	172	172	1	5	28	-1	173	-1	-1	-1	-1	16	0	0
173	主线-教训恶僧	173	173	1	2	13	-1	174	-1	-1	-1	-1	16	0	0
174	主线-惹祸上身	174	174	1	1	41	-1	175	-1	-1	-1	-1	16	0	0
175	主线-替其求情	175	175	1	3	54	1036	176	-1	-1	-1	-1	16	0	0
176	主线-若有所思	176	176	1	-1	-1	1013	177	-1	-1	-1	-1	16	0	0
177	主线-探入狐岐	177	177	1	5	29	1017	178	-1	-1	-1	-1	16	0	0
178	主线-寻找卧底	178	178	1	3	55	1036	179	-1	-1	-1	-1	17	0	0
179	主线-暗号之语	179	179	1	-1	-1	1016	180	-1	-1	-1	-1	17	0	0
180	主线-了解情况	180	180	1	1	43	-1	1043	-1	-1	-1	-1	17	0	0
181	主线-鬼王服饰	181	181	1	6	14	-1	2171	-1	-1	-1	-1	17	0	0
182	主线-混入鬼王	182	182	1	9	29	1015	183	-1	-1	-1	-1	17	0	0
183	主线-寒冰石室	183	183	1	5	30	-1	184	-1	-1	-1	-1	17	0	0
184	主线-血咒禁制	184	184	1	3	56	1036	185	-1	-1	-1	-1	17	0	0
185	主线-白狐灵血	185	185	1	2	14	-1	186	-1	-1	-1	-1	17	0	0
186	主线-血池之谜	186	186	1	5	31	-1	187	-1	-1	-1	-1	17	0	0
187	主线-龙纹之鼎	187	187	1	9	16	-1	188	-1	-1	-1	-1	17	0	0
188	主线-死地后生	188	188	1	-1	-1	1019	189	-1	-1	-1	-1	17	0	0
189	主线-报告掌门	189	189	1	3	57	1017	190	-1	-1	-1	-1	17	0	0
190	主线-旧时渊源	190	190	1	1	44	-1	460	-1	-1	-1	-1	18	0	0
191	主线-婆婆嘱咐	191	191	1	3	58	1036	192	-1	-1	-1	-1	18	0	0
192	主线-痴情厉咒	192	192	1	1	45	-1	193	-1	-1	-1	-1	18	0	0
193	主线-回见掌门	193	193	1	3	59	1036	194	-1	-1	-1	-1	18	0	0
194	主线-凌波玉箫	194	194	1	1	46	-1	196	-1	-1	-1	-1	18	0	0
195	【废弃】主线-飞行之法	195	195	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
196	主线-三生之果	196	196	1	9	15	-1	371	-1	-1	-1	-1	18	0	0
197	主线-空桑之行	197	197	1	5	32	-1	372	-1	-1	-1	-1	18	0	0
198	主线-梵音归航	198	198	1	5	34	1017	199	-1	-1	-1	-1	6	0	0
199	主线-烦恼香客	199	199	1	3	60	1036	200	-1	-1	-1	-1	19	0	0
200	主线-红云恶僧	200	200	1	2	15	-1	201	-1	-1	-1	-1	19	0	0
201	主线-供奉物资	201	201	1	9	17	-1	202	-1	-1	-1	-1	19	0	0
202	主线-佛法无边	202	202	1	1	47	-1	203	-1	-1	-1	-1	19	0	0
203	主线-又惊又喜	203	203	1	3	61	1036	204	-1	-1	-1	-1	19	0	0
204	主线-我佛慈悲	204	204	1	1	48	-1	205	-1	-1	-1	-1	19	0	0
205	主线-法相师兄	205	205	1	3	62	1036	206	-1	-1	-1	-1	19	0	0
206	主线-师兄关怀	206	206	1	-1	-1	1013	640	-1	-1	-1	-1	19	0	0
207	主线-普德恩师	207	207	1	5	35	-1	208	-1	-1	-1	-1	19	0	0
208	主线-神秘来客	208	208	1	2	16	1018	209	-1	-1	-1	-1	19	0	0
209	主线-众生平等	209	209	1	1	49	1023	210	-1	-1	-1	-1	19	0	0
210	主线-恩师嘱托	210	210	1	3	63	1036	211	-1	-1	-1	-1	20	0	0
211	主线-加强守卫	211	211	1	-1	-1	-1	212	-1	-1	-1	-1	20	0	0
212	主线-掌门汤药	212	212	1	3	64	1036	213	-1	-1	-1	-1	20	0	0
213	主线-加一把火	213	213	1	-1	-1	1015	214	-1	-1	-1	-1	20	0	0
214	主线-初见掌门	214	214	1	3	65	1036	215	-1	-1	-1	-1	20	0	0
215	主线-佛祖慈悲	215	215	1	1	50	-1	216	-1	-1	-1	-1	20	0	0
216	主线-悟道晚霞	216	216	1	5	36	-1	324	-1	-1	-1	-1	20	0	0
217	主线-达摩金身	217	217	1	-1	-1	1019	218	-1	-1	-1	-1	20	0	0
218	主线-法门佛道	218	218	1	5	37	1014	219	-1	-1	-1	-1	20	0	0
219	主线-亲传之位	219	219	1	-1	-1	1013	455	-1	-1	-1	-1	20	0	0
220	主线-帮忙师兄	220	220	1	3	66	1036	221	-1	-1	-1	-1	20	0	0
221	主线-施舍粥饭	221	221	1	9	18	-1	222	-1	-1	-1	-1	21	0	0
222	主线-果腹之食	222	222	1	-1	-1	-1	223	-1	-1	-1	-1	21	0	0
223	主线-关照师弟	223	223	1	3	67	1036	224	-1	-1	-1	-1	21	0	0
224	主线-清扫落叶	224	224	1	9	19	-1	225	-1	-1	-1	-1	21	0	0
225	主线-心有所向	225	225	1	1	51	-1	226	-1	-1	-1	-1	21	0	0
226	主线-帮忙相问	226	226	1	3	68	1036	227	-1	-1	-1	-1	21	0	0
227	主线-普智师叔	227	227	1	5	38	-1	228	-1	-1	-1	-1	21	0	0
228	主线-心有所惑	228	228	1	3	69	1036	229	-1	-1	-1	-1	21	0	0
229	主线-婆娑苦境	229	229	1	-1	-1	1013	230	-1	-1	-1	-1	21	0	0
230	主线-悲从中来	230	230	1	3	70	1036	231	-1	-1	-1	-1	21	0	0
231	主线-施法补救	231	231	1	1	53	-1	232	-1	-1	-1	-1	22	0	0
232	主线-千佛尊者	232	232	1	3	71	1036	233	-1	-1	-1	-1	22	0	0
233	主线-不速之客	233	233	1	6	15	-1	234	-1	-1	-1	-1	22	0	0
234	主线-心术不正	234	234	1	7	7	-1	235	-1	-1	-1	-1	22	0	0
235	主线-噬血来历	235	235	1	1	54	-1	236	-1	-1	-1	-1	22	0	0
236	主线-无字玉璧	236	236	1	3	72	1036	237	-1	-1	-1	-1	22	0	0
237	主线-弟子未归	237	237	1	1	55	-1	238	-1	-1	-1	-1	22	0	0
238	主线-探入合欢	238	238	1	5	39	1017	239	-1	-1	-1	-1	22	0	0
239	主线-寻找师兄	239	239	1	3	73	1036	240	-1	-1	-1	-1	23	0	0
240	主线-灵猴顽皮	240	240	1	6	16	-1	241	-1	-1	-1	-1	23	0	0
241	主线-了解情况	241	241	1	1	56	-1	1041	-1	-1	-1	-1	23	0	0
242	主线-合欢服饰	242	242	1	6	17	-1	243	-1	-1	-1	-1	23	0	0
243	主线-混入合欢	243	243	1	9	30	1015	244	-1	-1	-1	-1	23	0	0
244	主线-俊俏男子	244	244	1	3	74	1036	245	-1	-1	-1	-1	23	0	0
245	主线-莺莺燕燕	245	245	1	5	40	1023	246	-1	-1	-1	-1	23	0	0
246	主线-偷听谈话	246	246	1	-1	-1	1013	247	-1	-1	-1	-1	23	0	0
247	主线-金铃禁地	247	247	1	6	18	-1	248	-1	-1	-1	-1	23	0	0
248	主线-贿赂口风	248	248	1	-1	-1	1015	249	-1	-1	-1	-1	23	0	0
249	主线-惹事师妹	249	249	1	1	57	-1	250	-1	-1	-1	-1	23	0	0
250	主线-报告师兄	250	250	1	3	75	1036	251	-1	-1	-1	-1	23	0	0
251	主线-起身回寺	251	251	1	5	41	1017	252	-1	-1	-1	-1	24	0	0
252	主线-回禀尊者	252	252	1	3	76	1036	253	-1	-1	-1	-1	24	0	0
253	主线-压制之法	253	253	1	1	58	-1	254	-1	-1	-1	-1	24	0	0
254	主线-回见掌门	254	254	1	3	77	1036	255	-1	-1	-1	-1	24	0	0
255	主线-空桑事发	255	255	1	1	59	-1	256	-1	-1	-1	-1	24	0	0
256	主线-师兄同行	256	256	1	3	78	1036	257	-1	-1	-1	-1	24	0	0
257	主线-轮回佛珠	257	257	1	1	60	-1	259	-1	-1	-1	-1	24	0	0
258	【废弃】主线-飞行之法	258	258	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
259	主线-不灭天灯	259	259	1	9	20	-1	370	-1	-1	-1	-1	24	0	0
260	主线-空桑之行	260	260	1	5	42	-1	372	-1	-1	-1	-1	24	0	0
261	主线-一路向北	261	261	1	5	43	1017	262	-1	-1	-1	-1	6	0	0
262	主线-受伤师妹	262	262	1	3	79	1036	263	-1	-1	-1	-1	25	0	0
263	主线-曼陀之花	263	263	1	9	21	-1	264	-1	-1	-1	-1	25	0	0
264	主线-小巧心思	264	264	1	-1	-1	1019	265	-1	-1	-1	-1	25	0	0
265	主线-朱雀圣使	265	265	1	3	80	1036	266	-1	-1	-1	-1	25	0	0
266	主线-善意谎言	266	266	1	1	62	-1	267	-1	-1	-1	-1	25	0	0
267	主线-同门关怀	267	267	1	-1	-1	1013	641	-1	-1	-1	-1	25	0	0
268	主线-青龙圣使	268	268	1	3	81	1036	269	-1	-1	-1	-1	25	0	0
269	主线-作乱山贼	269	269	1	2	17	1018	270	-1	-1	-1	-1	25	0	0
270	主线-霸天之祸	270	270	1	7	11	-1	271	-1	-1	-1	-1	25	0	0
271	主线-关键密信	271	271	1	3	82	1036	272	-1	-1	-1	-1	25	0	0
272	主线-找出卧底	272	272	1	-1	-1	1019	273	-1	-1	-1	-1	25	0	0
273	主线-血池禁地	273	273	1	5	44	-1	274	-1	-1	-1	-1	26	0	0
274	主线-交手而战	274	274	1	7	8	-1	275	-1	-1	-1	-1	26	0	0
275	主线-拜谒掌门	275	275	1	3	83	1036	276	-1	-1	-1	-1	26	0	0
276	主线-掌门之意	276	276	1	1	63	-1	277	-1	-1	-1	-1	26	0	0
277	主线-入门之试	277	277	1	3	84	1036	278	-1	-1	-1	-1	26	0	0
278	主线-明王圣母	278	278	1	9	22	-1	279	-1	-1	-1	-1	26	0	0
279	主线-歃血立契	279	279	1	-1	-1	1015	280	-1	-1	-1	-1	26	0	0
280	主线-白虎圣使	280	280	1	3	85	1036	281	-1	-1	-1	-1	26	0	0
281	主线-血阵试炼	281	281	1	7	9	-1	282	-1	-1	-1	-1	26	0	0
282	主线-回禀掌门	282	282	1	3	86	1036	283	-1	-1	-1	-1	26	0	0
283	主线-亲传之位	283	283	1	-1	-1	1013	456	-1	-1	-1	-1	27	0	0
284	主线-心有不安	284	284	1	3	87	1036	285	-1	-1	-1	-1	27	0	0
285	主线-鬼厉之名	285	285	1	1	64	-1	286	-1	-1	-1	-1	27	0	0
286	主线-石室异动	286	286	1	5	45	-1	287	-1	-1	-1	-1	27	0	0
287	主线-确认异宝	287	287	1	9	23	1023	288	-1	-1	-1	-1	27	0	0
288	主线-加固禁制	288	288	1	6	20	-1	289	-1	-1	-1	-1	27	0	0
289	主线-狐岐渊源	289	289	1	1	65	-1	290	-1	-1	-1	-1	27	0	0
290	主线-玄武圣使	290	290	1	3	88	1036	291	-1	-1	-1	-1	27	0	0
291	主线-整理古籍	291	291	1	9	24	-1	292	-1	-1	-1	-1	27	0	0
292	主线-另寻他法	292	292	1	1	66	-1	293	-1	-1	-1	-1	27	0	0
293	主线-回见鬼厉	293	293	1	3	89	1036	294	-1	-1	-1	-1	27	0	0
294	主线-命是无缘	294	294	1	1	67	-1	295	-1	-1	-1	-1	27	0	0
