Id	Name	ResPath	Scale	PosX	PosY	PosZ	RotX	RotY	RotZ	BindPoint	FBAnimNode	FBAnimBone
140	武器-合欢男转135级	Huan_135_1	1.2	0	0	0	0	0	0			
141	武器-合欢女转135级	Huan_135_1	1	0	0	0	0	0	0			
142	武器-青云男转145级	Jian_145_1	1	0	0	0	0	0	0			
143	武器-青云女转145级	Jian_145_1	0.7	0	0	0	0	0	0			
144	武器-天音男转145级	Zhang_145_1	1	0	0	0	0	0	0			
145	武器-天音女转145级	Zhang_145_1	0.7	0	0	0	0	0	0			
146	武器-鬼王男转145级	Ren_145_1	1	0	0	0	0	0	0			
147	武器-鬼王女转145级	Ren_145_1	0.7	0	0	0	0	0	0			
148	武器-合欢男转145级	Huan_145_1	0.7	0	0	0	0	0	0			
149	武器-合欢女转145级	Huan_145_1	0.6	0	0	0	0	0	0			
150	武器-青云男转155级	Jian_155_1	1	0	0	0	0	0	0			
151	武器-青云女转155级	Jian_155_1	0.7	0	0	0	0	0	0			
152	武器-天音男转155级	Zhang_155_1	1	0	0	0	0	0	0			
153	武器-天音女转155级	Zhang_155_1	0.7	0	0	0	0	0	0			
154	武器-鬼王男转155级	Ren_155_1	1	0	0	0	0	0	0			
155	武器-鬼王女转155级	Ren_155_1	0.7	0	0	0	0	0	0			
156	武器-合欢男转155级	Huan_155_1	1	0	0	0	0	0	0			
157	武器-合欢女转155级	Huan_155_1	0.8	0	0	0	0	0	0			
158	九尾狐时装发型-男	Fx_nan_06	1	0	0	0	0	0	0	0		
159	发型-男13	Fx_nan_13	1	0	0	0	0	0	0	0		
160	发型-男14	Fx_nan_14	1	0	0	0	0	0	0	0		
161	发型-男16	Fx_nan_16	1	0	0	0	0	0	0	0		
162	发型-女4	Fx_nv_04	1	0	0	0	0	0	0	0		
163	九尾狐时装发型-女	Fx_nv_07	1	0	0	0	0	0	0	0		
164	陆雪琪发型-女	Fx_nv_12	1	0	0	0	0	0	0	0		
165	鬼厉发型-男	Fx_nan_17	1	0	0	0	0	0	0	0		
166	碧瑶发型2-女	Fx_nv_13	1	0	0	0	0	0	0	0		
167	陆雪琪发型2-女	Fx_nv_20	1	0	0	0	0	0	0	0		
168	鬼厉发型2-男	Fx_nan_18	1	0	0	0	0	0	0	0		
169	四灵幡	Fb_x_silingfan_1	0.45	0	0	0	0	0	-90		Magic_Weapon	Magic_Weapon_point01
170	多情环	Fb_x_duoqinghuan_1	0.3	0	0	0	0	-90	-90		Magic_Weapon	Magic_Weapon_point01
171	学生发型-男	Fx_nan_19	1	0	0	0	0	0	0	0		
172	学生发型-女	Fx_nv_21	1	0	0	0	0	0	0	0		
173	中秋发型-男	Fx_nan_20	1	0	0	0	0	0	0	0		
174	中秋发型-女	Fx_nv_22	1	0	0	0	0	0	0	0		
175	凤凰发型-男	Fx_nan_21	1	0	0	0	0	0	0	0		
176	凤凰发型-女	Fx_nv_23	1	0	0	0	0	0	0	0		
177	斩龙剑	Fb_x_zhanlongjian_1	0.45	0	0	0	0	180	90		Magic_Weapon	Magic_Weapon_point01
178	南瓜发型-男	Fx_nan_24	1	0	0	0	0	0	0	0		
179	南瓜发型-女	Fx_nv_24	1	0	0	0	0	0	0	0		
180	舞会面具发型-男	Fx_nan_22	1	0	0	0	0	0	0	0		
181	舞会面具发型-女	Fx_nv_25	1	0	0	0	0	0	0	0		
182	吸血鬼发型-男	Fx_nan_23	1	0	0	0	0	0	0	0		
183	吸血鬼发型-女	Fx_nv_26	1	0	0	0	0	0	0	0		
184	单身狗发型-男	Fx_nan_25	1	0	0	0	0	0	0	0		
185	单身狗发型-女	Fx_nv_27	1	0	0	0	0	0	0	0		
186	武器-青云男圣诞1	Jian_shengdan_1	1	0	0	0	0	0	0			
187	武器-青云女圣诞1	Jian_shengdan_1	0.7	0	0	0	0	0	0			
188	武器-天音男圣诞1	Zhang_shengdan_1	1.2	0	0	0	0	0	0			
189	武器-天音女圣诞1	Zhang_shengdan_1	0.9	0	0	0	0	0	0			
190	武器-鬼王男圣诞1	Ren_shengdan_1	1.2	0	0	0	0	0	0			
191	武器-鬼王女圣诞1	Ren_shengdan_1	0.9	0	0	0	0	0	0			
192	武器-合欢男圣诞1	Huan_shengdan_1	0.8	0	0	0	0	0	0			
193	武器-合欢女圣诞1	Huan_shengdan_1	0.7	0	0	0	0	0	0			
194	武器-青云男星辰	Jian_xingchen_1	1	0	0	0	0	0	0			
195	武器-青云女星辰	Jian_xingchen_1	0.7	0	0	0	0	0	0			
196	武器-天音男星辰	Zhang_xingchen_1	1	0	0	0	0	0	0			
197	武器-天音女星辰	Zhang_xingchen_1	0.7	0	0	0	0	0	0			
198	武器-鬼王男星辰	Ren_xingchen_1	1	0	0	0	0	0	0			
199	武器-鬼王女星辰	Ren_xingchen_1	0.7	0	0	0	0	0	0			
200	武器-合欢男星辰	Huan_xingchen_1	1.2	0	0	0	0	0	0			
201	武器-合欢女星辰	Huan_xingchen_1	1	0	0	0	0	0	0			
202	圣诞1发型-男	Fx_nan_27	1	0	0	0	0	0	0	0		
203	圣诞1发型-女	Fx_nv_30	1	0	0	0	0	0	0	0		
204	新年壹发型-男	Fx_nan_26	1	0	0	0	0	0	0	0		
205	新年壹发型-女	Fx_nv_28	1	0	0	0	0	0	0	0		
206	新年贰发型-男	Fx_nan_28	1	0	0	0	0	0	0	0		
207	新年贰发型-女	Fx_nv_29	1	0	0	0	0	0	0	0		
208	爆竹	Fb_x_baozhu_1	0.3	-0.3	0	0	0	-90	0		Magic_Weapon	Magic_Weapon_point01
209	武器-青云男新年	Jian_xinnian_1	1	0	0	0	0	0	0			
210	武器-青云女新年	Jian_xinnian_1	0.7	0	0	0	0	0	0			
211	武器-天音男新年	Zhang_xinnian_1	1	0	0	0	0	0	0			
212	武器-天音女新年	Zhang_xinnian_1	0.7	0	0	0	0	0	0			
213	武器-鬼王男新年	Ren_xinnian_1	1	0	0	0	0	0	0			
214	武器-鬼王女新年	Ren_xinnian_1	0.7	0	0	0	0	0	0			
215	武器-合欢男新年	Huan_xinnian_1	1.2	0	0	0	0	0	0			
216	武器-合欢女新年	Huan_xinnian_1	1	0	0	0	0	0	0			
217	情缘壹·发·男	Fx_nan_30	1	0	0	0	0	0	0	0		
218	情缘壹·发·女	Fx_nv_33	1	0	0	0	0	0	0	0		
219	情缘贰·发·男	Fx_nan_29	1	0	0	0	0	0	0	0		
220	情缘贰·发·女	Fx_nv_31	1	0	0	0	0	0	0	0		
221	武器-青云男白玉	Jian_baiyu_1	1	0	0	0	0	0	0			
222	武器-青云女白玉	Jian_baiyu_1	0.7	0	0	0	0	0	0			
223	武器-天音男白玉	Zhang_baiyu_1	1.2	0	0	0	0	0	0			
224	武器-天音女白玉	Zhang_baiyu_1	0.9	0	0	0	0	0	0			
225	武器-鬼王男白玉	Ren_baiyu_1	1.2	0	0	0	0	0	0			
226	武器-鬼王女白玉	Ren_baiyu_1	0.9	0	0	0	0	0	0			
227	武器-合欢男白玉	Huan_baiyu_1	0.8	0	0	0	0	0	0			
228	武器-合欢女白玉	Huan_baiyu_1	0.7	0	0	0	0	0	0			
229	武器-焚香男白玉	Chi_baiyu_1	0.8	0	0	0	0	0	0			
230	武器-焚香女白玉	Chi_baiyu_1	0.8	0	0	0	0	0	0			
231	蝴蝶装·发·男	Fx_nan_34	1	0	0	0	0	0	0	0		
232	蝴蝶装·发·女	Fx_nv_38	1	0	0	0	0	0	0	0		
