Id	Desc	TarSceneID	TarIndex	TVID
95	主线-争夺黑杖	44	12	-1
96	鬼王-隐藏任务-将信将疑	11	9	-1
97	十万大山-主线-埋葬尸体	45	0	-1
98	十万大山-主线-驱赶困意	45	1	-1
99	十万大山-主线-再探雕像	45	2	-1
100	十万大山-主线-寻找戒指	45	3	-1
101	十万大山-主线-血炼媒介	45	4	-1
102	十万大山-主线-玲珑之心	45	5	-1
103	流波山-主线-大快朵顾	53	4	-1
104	流波山-主线-采集野菜	53	5	-1
105	流波山-主线-清香扑鼻	53	6	-1
106	大王村-支线-寻找美酒	42	9	-1
107	支线-古旧石碑	43	6	-1
108	空桑山-主线-怪异标记	31	7	-1
109	主线-暴露行踪	12	5	-1
110	主线-暴露行踪	6	3	-1
111	主线-暴露行踪	11	6	-1
112	毒蛇谷-主线-以毒攻毒	65	0	-1
113	毒蛇谷-主线-收集蚁巢	65	1	-1
114	蛮荒-主线-疗伤草药	68	0	-1
115	支线-夫妻日常（5）	4	6	-1
116	主线-传书来报	6	9	-1
117	主线-传书来报	10	7	-1
118	主线-传书来报	11	10	-1
119	主线-传书来报	12	10	-1
120	隐藏-寻味河阳（5）	5	3	-1
121	周一仙隐藏-不辱使命	10	8	-1
122	隐藏-蛛丝马迹	10	9	-1
123	隐藏-安魂之草	40	3	-1
124	焚香谷隐藏-采撷鲜花	44	13	-1
125	焚香谷隐藏-祭奠小媚	44	14	-1
126	焚香谷隐藏-对酒当歌	44	15	198
127	焚香谷隐藏-佳果美人	44	16	-1
128	隐藏-密室宝物	31	8	-1
129	隐藏-诡异宝袋（1）	43	7	-1
130	师徒-采集	5	4	-1
131	师徒-采集	5	5	-1
132	师徒-采集	5	6	-1
133	师徒-采集	5	7	-1
134	师徒-采集	5	8	-1
135	师徒-采集	5	9	-1
136	修罗-主线-修罗之眼	90	0	-1
137	修罗-主线-坤位定穴	90	1	-1
138	修罗-主线-伤势严重	90	2	-1
139	飞升-主线-重铸元神	62	0	-1
140	节日环-采集第七环	31	9	-1
141	节日环-采集第八环	4	7	-1
142	节日环-采集第八环	4	8	-1
143	节日环-采集第八环	4	9	-1
144	节日环-采集第八环	4	10	-1
145	隐藏-收集指定类型宠物3	45	6	-1
146	长生界-主线-伤口处理	95	0	-1
147	长生界-主线-成功解救	95	1	-1
148	春节节日环-第9环采集	5	10	-1
149	春节节日环-第9环采集	5	11	-1
