Id	Desc	Name	Desc	Type	GrowthDefault	GrowthMin	GrowthLowSection	GrowthHighSection	GrowthMax	LowGrowthWeight	MidGrowthWeight	HighGrowthWeight	DouzhiZZDefault	DouzhiZZMin	DouzhiZZLowSection	DouzhiZZHighSection	DouzhiZZMax	LowDouzhiZZWeight	MidDouzhiZZWeight	HighDouzhiZZWeight	JiantiZZDefault	JiantiZZMin	JiantiZZLowSection	JiantiZZHighSection	JiantiZZMax	LowJiantiZZWeight	MidJiantiZZWeight	HighJiantiZZWeight	ZhongxinZZDefault	ZhongxinZZMin	ZhongxinZZLowSection	ZhongxinZZHighSection	ZhongxinZZMax	LowZhongxinZZWeight	MidZhongxinZZWeight	HighZhongxinZZWeight	LingdongZZDefault	LingdongZZMin	LingdongZZLowSection	LingdongZZHighSection	LingdongZZMax	LowLingdongZZWeight	MidLingdongZZWeight	HighLingdongZZWeight	PointRecommendDict	PlanAMainPoint	PlanAAssistPoint	PlanBMainPoint	PlanBAssistPoint
7	15级-普通-月曜	月曜	月曜	7	-1	0.97	3.51	3.93	5.2	60	25	15	-1	131	474	531	702	60	25	15	-1	204	736	825	1091	60	25	15	-1	291	1052	1179	1559	60	25	15	-1	131	474	531	702	60	25	15	5392	4	1	3	2
8	15级-普通-灵耀	灵耀	灵耀	8	-1	0.97	3.51	3.93	5.2	60	25	15	-1	131	474	531	702	60	25	15	-1	131	474	531	702	60	25	15	-1	291	1052	1179	1559	60	25	15	-1	204	736	825	1091	60	25	15	5393	4	1	3	2
9	15级-普通-天曜	天曜	天曜	9	-1	0.97	3.51	3.93	5.2	60	25	15	-1	204	736	825	1091	60	25	15	-1	131	474	531	702	60	25	15	-1	291	1052	1179	1559	60	25	15	-1	131	474	531	702	60	25	15	5394	4	1	3	2
10	15级-普通-地曜	地曜	地曜	10	-1	0.97	3.51	3.93	5.2	60	25	15	-1	204	736	825	1091	60	25	15	-1	291	1052	1179	1559	60	25	15	-1	131	474	531	702	60	25	15	-1	131	474	531	702	60	25	15	5395	4	1	3	2
11	15级-普通-土曜	土曜	土曜	11	-1	0.97	3.51	3.93	5.2	60	25	15	-1	131	474	531	702	60	25	15	-1	291	1052	1179	1559	60	25	15	-1	204	736	825	1091	60	25	15	-1	131	474	531	702	60	25	15	5396	4	1	3	2
12	15级-普通-木曜	木曜	木曜	12	-1	0.97	3.51	3.93	5.2	60	25	15	-1	131	474	531	702	60	25	15	-1	291	1052	1179	1559	60	25	15	-1	131	474	531	702	60	25	15	-1	204	736	825	1091	60	25	15	5397	4	1	3	2
13	15级-稀有-金曜	金曜	金曜	1	-1	1.26	3.62	4.02	5.2	60	25	15	-1	378	1087	1205	1559	60	25	15	-1	265	761	843	1091	60	25	15	-1	170	489	542	702	60	25	15	-1	170	489	542	702	60	25	15	5386	4	1	3	2
14	15级-稀有-火曜	火曜	火曜	2	-1	1.26	3.62	4.02	5.2	60	25	15	-1	378	1087	1205	1559	60	25	15	-1	170	489	542	702	60	25	15	-1	170	489	542	702	60	25	15	-1	265	761	843	1091	60	25	15	5387	4	1	3	2
15	15级-稀有-日曜	日曜	日曜	3	-1	1.26	3.62	4.02	5.2	60	25	15	-1	378	1087	1205	1559	60	25	15	-1	170	489	542	702	60	25	15	-1	265	761	843	1091	60	25	15	-1	170	489	542	702	60	25	15	5388	4	1	3	2
16	15级-稀有-水曜	水曜	水曜	4	-1	1.26	3.62	4.02	5.2	60	25	15	-1	170	489	542	702	60	25	15	-1	170	489	542	702	60	25	15	-1	265	761	843	1091	60	25	15	-1	378	1087	1205	1559	60	25	15	5389	4	1	3	2
17	15级-稀有-星曜	星曜	星曜	5	-1	1.26	3.62	4.02	5.2	60	25	15	-1	265	761	843	1091	60	25	15	-1	170	489	542	702	60	25	15	-1	170	489	542	702	60	25	15	-1	378	1087	1205	1559	60	25	15	5390	4	1	3	2
18	15级-稀有-风耀	风耀	风耀	6	-1	1.26	3.62	4.02	5.2	60	25	15	-1	170	489	542	702	60	25	15	-1	265	761	843	1091	60	25	15	-1	170	489	542	702	60	25	15	-1	378	1087	1205	1559	60	25	15	5391	4	1	3	2
19	15级-稀有-月曜	月曜	月曜	7	-1	1.26	3.62	4.02	5.2	60	25	15	-1	170	489	542	702	60	25	15	-1	265	761	843	1091	60	25	15	-1	378	1087	1205	1559	60	25	15	-1	170	489	542	702	60	25	15	5392	4	1	3	2
20	15级-稀有-灵耀	灵耀	灵耀	8	-1	1.26	3.62	4.02	5.2	60	25	15	-1	170	489	542	702	60	25	15	-1	170	489	542	702	60	25	15	-1	378	1087	1205	1559	60	25	15	-1	265	761	843	1091	60	25	15	5393	4	1	3	2
21	15级-稀有-天曜	天曜	天曜	9	-1	1.26	3.62	4.02	5.2	60	25	15	-1	265	761	843	1091	60	25	15	-1	170	489	542	702	60	25	15	-1	378	1087	1205	1559	60	25	15	-1	170	489	542	702	60	25	15	5394	4	1	3	2
22	15级-稀有-地曜	地曜	地曜	10	-1	1.26	3.62	4.02	5.2	60	25	15	-1	265	761	843	1091	60	25	15	-1	378	1087	1205	1559	60	25	15	-1	170	489	542	702	60	25	15	-1	170	489	542	702	60	25	15	5395	4	1	3	2
23	15级-稀有-土曜	土曜	土曜	11	-1	1.26	3.62	4.02	5.2	60	25	15	-1	170	489	542	702	60	25	15	-1	378	1087	1205	1559	60	25	15	-1	265	761	843	1091	60	25	15	-1	170	489	542	702	60	25	15	5396	4	1	3	2
24	15级-稀有-木曜	木曜	木曜	12	-1	1.26	3.62	4.02	5.2	60	25	15	-1	170	489	542	702	60	25	15	-1	378	1087	1205	1559	60	25	15	-1	170	489	542	702	60	25	15	-1	265	761	843	1091	60	25	15	5397	4	1	3	2
31	35级-普通-金曜	金曜	金曜	1	-1	1.11	3.56	3.97	5.2	60	25	15	-1	334	1069	1192	1559	60	25	15	-1	234	748	834	1091	60	25	15	-1	150	481	536	702	60	25	15	-1	150	481	536	702	60	25	15	5386	4	1	3	2
32	35级-普通-火曜	火曜	火曜	2	-1	1.11	3.56	3.97	5.2	60	25	15	-1	334	1069	1192	1559	60	25	15	-1	150	481	536	702	60	25	15	-1	150	481	536	702	60	25	15	-1	234	748	834	1091	60	25	15	5387	4	1	3	2
33	35级-普通-日曜	日曜	日曜	3	-1	1.11	3.56	3.97	5.2	60	25	15	-1	334	1069	1192	1559	60	25	15	-1	150	481	536	702	60	25	15	-1	234	748	834	1091	60	25	15	-1	150	481	536	702	60	25	15	5388	4	1	3	2
34	35级-普通-水曜	水曜	水曜	4	-1	1.11	3.56	3.97	5.2	60	25	15	-1	150	481	536	702	60	25	15	-1	150	481	536	702	60	25	15	-1	234	748	834	1091	60	25	15	-1	334	1069	1192	1559	60	25	15	5389	4	1	3	2
35	35级-普通-星曜	星曜	星曜	5	-1	1.11	3.56	3.97	5.2	60	25	15	-1	234	748	834	1091	60	25	15	-1	150	481	536	702	60	25	15	-1	150	481	536	702	60	25	15	-1	334	1069	1192	1559	60	25	15	5390	4	1	3	2
36	35级-普通-风耀	风耀	风耀	6	-1	1.11	3.56	3.97	5.2	60	25	15	-1	150	481	536	702	60	25	15	-1	234	748	834	1091	60	25	15	-1	150	481	536	702	60	25	15	-1	334	1069	1192	1559	60	25	15	5391	4	1	3	2
37	35级-普通-月曜	月曜	月曜	7	-1	1.11	3.56	3.97	5.2	60	25	15	-1	150	481	536	702	60	25	15	-1	234	748	834	1091	60	25	15	-1	334	1069	1192	1559	60	25	15	-1	150	481	536	702	60	25	15	5392	4	1	3	2
38	35级-普通-灵耀	灵耀	灵耀	8	-1	1.11	3.56	3.97	5.2	60	25	15	-1	150	481	536	702	60	25	15	-1	150	481	536	702	60	25	15	-1	334	1069	1192	1559	60	25	15	-1	234	748	834	1091	60	25	15	5393	4	1	3	2
39	35级-普通-天曜	天曜	天曜	9	-1	1.11	3.56	3.97	5.2	60	25	15	-1	234	748	834	1091	60	25	15	-1	150	481	536	702	60	25	15	-1	334	1069	1192	1559	60	25	15	-1	150	481	536	702	60	25	15	5394	4	1	3	2
40	35级-普通-地曜	地曜	地曜	10	-1	1.11	3.56	3.97	5.2	60	25	15	-1	234	748	834	1091	60	25	15	-1	334	1069	1192	1559	60	25	15	-1	150	481	536	702	60	25	15	-1	150	481	536	702	60	25	15	5395	4	1	3	2
41	35级-普通-土曜	土曜	土曜	11	-1	1.11	3.56	3.97	5.2	60	25	15	-1	150	481	536	702	60	25	15	-1	334	1069	1192	1559	60	25	15	-1	234	748	834	1091	60	25	15	-1	150	481	536	702	60	25	15	5396	4	1	3	2
42	35级-普通-木曜	木曜	木曜	12	-1	1.11	3.56	3.97	5.2	60	25	15	-1	150	481	536	702	60	25	15	-1	334	1069	1192	1559	60	25	15	-1	150	481	536	702	60	25	15	-1	234	748	834	1091	60	25	15	5397	4	1	3	2
43	35级-稀有-金曜	金曜	金曜	1	-1	1.45	3.7	4.08	5.2	60	25	15	-1	435	1109	1222	1559	60	25	15	-1	304	776	855	1091	60	25	15	-1	196	500	550	702	60	25	15	-1	196	500	550	702	60	25	15	5386	4	1	3	2
44	35级-稀有-火曜	火曜	火曜	2	-1	1.45	3.7	4.08	5.2	60	25	15	-1	435	1109	1222	1559	60	25	15	-1	196	500	550	702	60	25	15	-1	196	500	550	702	60	25	15	-1	304	776	855	1091	60	25	15	5387	4	1	3	2
45	35级-稀有-日曜	日曜	日曜	3	-1	1.45	3.7	4.08	5.2	60	25	15	-1	435	1109	1222	1559	60	25	15	-1	196	500	550	702	60	25	15	-1	304	776	855	1091	60	25	15	-1	196	500	550	702	60	25	15	5388	4	1	3	2
46	35级-稀有-水曜	水曜	水曜	4	-1	1.45	3.7	4.08	5.2	60	25	15	-1	196	500	550	702	60	25	15	-1	196	500	550	702	60	25	15	-1	304	776	855	1091	60	25	15	-1	435	1109	1222	1559	60	25	15	5389	4	1	3	2
47	35级-稀有-星曜	星曜	星曜	5	-1	1.45	3.7	4.08	5.2	60	25	15	-1	304	776	855	1091	60	25	15	-1	196	500	550	702	60	25	15	-1	196	500	550	702	60	25	15	-1	435	1109	1222	1559	60	25	15	5390	4	1	3	2
48	35级-稀有-风耀	风耀	风耀	6	-1	1.45	3.7	4.08	5.2	60	25	15	-1	196	500	550	702	60	25	15	-1	304	776	855	1091	60	25	15	-1	196	500	550	702	60	25	15	-1	435	1109	1222	1559	60	25	15	5391	4	1	3	2
49	35级-稀有-月曜	月曜	月曜	7	-1	1.45	3.7	4.08	5.2	60	25	15	-1	196	500	550	702	60	25	15	-1	304	776	855	1091	60	25	15	-1	435	1109	1222	1559	60	25	15	-1	196	500	550	702	60	25	15	5392	4	1	3	2
50	35级-稀有-灵耀	灵耀	灵耀	8	-1	1.45	3.7	4.08	5.2	60	25	15	-1	196	500	550	702	60	25	15	-1	196	500	550	702	60	25	15	-1	435	1109	1222	1559	60	25	15	-1	304	776	855	1091	60	25	15	5393	4	1	3	2
51	35级-稀有-天曜	天曜	天曜	9	-1	1.45	3.7	4.08	5.2	60	25	15	-1	304	776	855	1091	60	25	15	-1	196	500	550	702	60	25	15	-1	435	1109	1222	1559	60	25	15	-1	196	500	550	702	60	25	15	5394	4	1	3	2
52	35级-稀有-地曜	地曜	地曜	10	-1	1.45	3.7	4.08	5.2	60	25	15	-1	304	776	855	1091	60	25	15	-1	435	1109	1222	1559	60	25	15	-1	196	500	550	702	60	25	15	-1	196	500	550	702	60	25	15	5395	4	1	3	2
53	35级-稀有-土曜	土曜	土曜	11	-1	1.45	3.7	4.08	5.2	60	25	15	-1	196	500	550	702	60	25	15	-1	435	1109	1222	1559	60	25	15	-1	304	776	855	1091	60	25	15	-1	196	500	550	702	60	25	15	5396	4	1	3	2
54	35级-稀有-木曜	木曜	木曜	12	-1	1.45	3.7	4.08	5.2	60	25	15	-1	196	500	550	702	60	25	15	-1	435	1109	1222	1559	60	25	15	-1	196	500	550	702	60	25	15	-1	304	776	855	1091	60	25	15	5397	4	1	3	2
61	50级-普通-金曜	金曜	金曜	1	-1	1.11	4.03	4.52	5.98	60	25	15	-1	334	1210	1356	1794	60	25	15	-1	234	847	949	1256	60	25	15	-1	150	544	610	807	60	25	15	-1	150	544	610	807	60	25	15	5386	4	1	3	2
62	50级-普通-火曜	火曜	火曜	2	-1	1.11	4.03	4.52	5.98	60	25	15	-1	334	1210	1356	1794	60	25	15	-1	150	544	610	807	60	25	15	-1	150	544	610	807	60	25	15	-1	234	847	949	1256	60	25	15	5387	4	1	3	2
63	50级-普通-日曜	日曜	日曜	3	-1	1.11	4.03	4.52	5.98	60	25	15	-1	334	1210	1356	1794	60	25	15	-1	150	544	610	807	60	25	15	-1	234	847	949	1256	60	25	15	-1	150	544	610	807	60	25	15	5388	4	1	3	2
64	50级-普通-水曜	水曜	水曜	4	-1	1.11	4.03	4.52	5.98	60	25	15	-1	150	544	610	807	60	25	15	-1	150	544	610	807	60	25	15	-1	234	847	949	1256	60	25	15	-1	334	1210	1356	1794	60	25	15	5389	4	1	3	2
65	50级-普通-星曜	星曜	星曜	5	-1	1.11	4.03	4.52	5.98	60	25	15	-1	234	847	949	1256	60	25	15	-1	150	544	610	807	60	25	15	-1	150	544	610	807	60	25	15	-1	334	1210	1356	1794	60	25	15	5390	4	1	3	2
66	50级-普通-风耀	风耀	风耀	6	-1	1.11	4.03	4.52	5.98	60	25	15	-1	150	544	610	807	60	25	15	-1	234	847	949	1256	60	25	15	-1	150	544	610	807	60	25	15	-1	334	1210	1356	1794	60	25	15	5391	4	1	3	2
67	50级-普通-月曜	月曜	月曜	7	-1	1.11	4.03	4.52	5.98	60	25	15	-1	150	544	610	807	60	25	15	-1	234	847	949	1256	60	25	15	-1	334	1210	1356	1794	60	25	15	-1	150	544	610	807	60	25	15	5392	4	1	3	2
68	50级-普通-灵耀	灵耀	灵耀	8	-1	1.11	4.03	4.52	5.98	60	25	15	-1	150	544	610	807	60	25	15	-1	150	544	610	807	60	25	15	-1	334	1210	1356	1794	60	25	15	-1	234	847	949	1256	60	25	15	5393	4	1	3	2
69	50级-普通-天曜	天曜	天曜	9	-1	1.11	4.03	4.52	5.98	60	25	15	-1	234	847	949	1256	60	25	15	-1	150	544	610	807	60	25	15	-1	334	1210	1356	1794	60	25	15	-1	150	544	610	807	60	25	15	5394	4	1	3	2
70	50级-普通-地曜	地曜	地曜	10	-1	1.11	4.03	4.52	5.98	60	25	15	-1	234	847	949	1256	60	25	15	-1	334	1210	1356	1794	60	25	15	-1	150	544	610	807	60	25	15	-1	150	544	610	807	60	25	15	5395	4	1	3	2
71	50级-普通-土曜	土曜	土曜	11	-1	1.11	4.03	4.52	5.98	60	25	15	-1	150	544	610	807	60	25	15	-1	334	1210	1356	1794	60	25	15	-1	234	847	949	1256	60	25	15	-1	150	544	610	807	60	25	15	5396	4	1	3	2
72	50级-普通-木曜	木曜	木曜	12	-1	1.11	4.03	4.52	5.98	60	25	15	-1	150	544	610	807	60	25	15	-1	334	1210	1356	1794	60	25	15	-1	150	544	610	807	60	25	15	-1	234	847	949	1256	60	25	15	5397	4	1	3	2
73	50级-稀有-金曜	金曜	金曜	1	-1	1.45	4.17	4.62	5.98	60	25	15	-1	435	1250	1386	1794	60	25	15	-1	304	875	970	1256	60	25	15	-1	196	563	624	807	60	25	15	-1	196	563	624	807	60	25	15	5386	4	1	3	2
74	50级-稀有-火曜	火曜	火曜	2	-1	1.45	4.17	4.62	5.98	60	25	15	-1	435	1250	1386	1794	60	25	15	-1	196	563	624	807	60	25	15	-1	196	563	624	807	60	25	15	-1	304	875	970	1256	60	25	15	5387	4	1	3	2
75	50级-稀有-日曜	日曜	日曜	3	-1	1.45	4.17	4.62	5.98	60	25	15	-1	435	1250	1386	1794	60	25	15	-1	196	563	624	807	60	25	15	-1	304	875	970	1256	60	25	15	-1	196	563	624	807	60	25	15	5388	4	1	3	2
76	50级-稀有-水曜	水曜	水曜	4	-1	1.45	4.17	4.62	5.98	60	25	15	-1	196	563	624	807	60	25	15	-1	196	563	624	807	60	25	15	-1	304	875	970	1256	60	25	15	-1	435	1250	1386	1794	60	25	15	5389	4	1	3	2
77	50级-稀有-星曜	星曜	星曜	5	-1	1.45	4.17	4.62	5.98	60	25	15	-1	304	875	970	1256	60	25	15	-1	196	563	624	807	60	25	15	-1	196	563	624	807	60	25	15	-1	435	1250	1386	1794	60	25	15	5390	4	1	3	2
78	50级-稀有-风耀	风耀	风耀	6	-1	1.45	4.17	4.62	5.98	60	25	15	-1	196	563	624	807	60	25	15	-1	304	875	970	1256	60	25	15	-1	196	563	624	807	60	25	15	-1	435	1250	1386	1794	60	25	15	5391	4	1	3	2
79	50级-稀有-月曜	月曜	月曜	7	-1	1.45	4.17	4.62	5.98	60	25	15	-1	196	563	624	807	60	25	15	-1	304	875	970	1256	60	25	15	-1	435	1250	1386	1794	60	25	15	-1	196	563	624	807	60	25	15	5392	4	1	3	2
80	50级-稀有-灵耀	灵耀	灵耀	8	-1	1.45	4.17	4.62	5.98	60	25	15	-1	196	563	624	807	60	25	15	-1	196	563	624	807	60	25	15	-1	435	1250	1386	1794	60	25	15	-1	304	875	970	1256	60	25	15	5393	4	1	3	2
81	50级-稀有-天曜	天曜	天曜	9	-1	1.45	4.17	4.62	5.98	60	25	15	-1	304	875	970	1256	60	25	15	-1	196	563	624	807	60	25	15	-1	435	1250	1386	1794	60	25	15	-1	196	563	624	807	60	25	15	5394	4	1	3	2
82	50级-稀有-地曜	地曜	地曜	10	-1	1.45	4.17	4.62	5.98	60	25	15	-1	304	875	970	1256	60	25	15	-1	435	1250	1386	1794	60	25	15	-1	196	563	624	807	60	25	15	-1	196	563	624	807	60	25	15	5395	4	1	3	2
83	50级-稀有-土曜	土曜	土曜	11	-1	1.45	4.17	4.62	5.98	60	25	15	-1	196	563	624	807	60	25	15	-1	435	1250	1386	1794	60	25	15	-1	304	875	970	1256	60	25	15	-1	196	563	624	807	60	25	15	5396	4	1	3	2
84	50级-稀有-木曜	木曜	木曜	12	-1	1.45	4.17	4.62	5.98	60	25	15	-1	196	563	624	807	60	25	15	-1	435	1250	1386	1794	60	25	15	-1	196	563	624	807	60	25	15	-1	304	875	970	1256	60	25	15	5397	4	1	3	2
91	60级-普通-金曜	金曜	金曜	1	-1	1.28	4.1	4.57	5.98	60	25	15	-1	385	1230	1371	1794	60	25	15	-1	269	861	960	1256	60	25	15	-1	173	553	617	807	60	25	15	-1	173	553	617	807	60	25	15	5386	4	1	3	2
92	60级-普通-火曜	火曜	火曜	2	-1	1.28	4.1	4.57	5.98	60	25	15	-1	385	1230	1371	1794	60	25	15	-1	173	553	617	807	60	25	15	-1	173	553	617	807	60	25	15	-1	269	861	960	1256	60	25	15	5387	4	1	3	2
93	60级-普通-日曜	日曜	日曜	3	-1	1.28	4.1	4.57	5.98	60	25	15	-1	385	1230	1371	1794	60	25	15	-1	173	553	617	807	60	25	15	-1	269	861	960	1256	60	25	15	-1	173	553	617	807	60	25	15	5388	4	1	3	2
94	60级-普通-水曜	水曜	水曜	4	-1	1.28	4.1	4.57	5.98	60	25	15	-1	173	553	617	807	60	25	15	-1	173	553	617	807	60	25	15	-1	269	861	960	1256	60	25	15	-1	385	1230	1371	1794	60	25	15	5389	4	1	3	2
95	60级-普通-星曜	星曜	星曜	5	-1	1.28	4.1	4.57	5.98	60	25	15	-1	269	861	960	1256	60	25	15	-1	173	553	617	807	60	25	15	-1	173	553	617	807	60	25	15	-1	385	1230	1371	1794	60	25	15	5390	4	1	3	2
96	60级-普通-风耀	风耀	风耀	6	-1	1.28	4.1	4.57	5.98	60	25	15	-1	173	553	617	807	60	25	15	-1	269	861	960	1256	60	25	15	-1	173	553	617	807	60	25	15	-1	385	1230	1371	1794	60	25	15	5391	4	1	3	2
97	60级-普通-月曜	月曜	月曜	7	-1	1.28	4.1	4.57	5.98	60	25	15	-1	173	553	617	807	60	25	15	-1	269	861	960	1256	60	25	15	-1	385	1230	1371	1794	60	25	15	-1	173	553	617	807	60	25	15	5392	4	1	3	2
98	60级-普通-灵耀	灵耀	灵耀	8	-1	1.28	4.1	4.57	5.98	60	25	15	-1	173	553	617	807	60	25	15	-1	173	553	617	807	60	25	15	-1	385	1230	1371	1794	60	25	15	-1	269	861	960	1256	60	25	15	5393	4	1	3	2
99	60级-普通-天曜	天曜	天曜	9	-1	1.28	4.1	4.57	5.98	60	25	15	-1	269	861	960	1256	60	25	15	-1	173	553	617	807	60	25	15	-1	385	1230	1371	1794	60	25	15	-1	173	553	617	807	60	25	15	5394	4	1	3	2
100	60级-普通-地曜	地曜	地曜	10	-1	1.28	4.1	4.57	5.98	60	25	15	-1	269	861	960	1256	60	25	15	-1	385	1230	1371	1794	60	25	15	-1	173	553	617	807	60	25	15	-1	173	553	617	807	60	25	15	5395	4	1	3	2
101	60级-普通-土曜	土曜	土曜	11	-1	1.28	4.1	4.57	5.98	60	25	15	-1	173	553	617	807	60	25	15	-1	385	1230	1371	1794	60	25	15	-1	269	861	960	1256	60	25	15	-1	173	553	617	807	60	25	15	5396	4	1	3	2
102	60级-普通-木曜	木曜	木曜	12	-1	1.28	4.1	4.57	5.98	60	25	15	-1	173	553	617	807	60	25	15	-1	385	1230	1371	1794	60	25	15	-1	173	553	617	807	60	25	15	-1	269	861	960	1256	60	25	15	5397	4	1	3	2
103	60级-稀有-金曜	金曜	金曜	1	-1	1.66	4.25	4.68	5.98	60	25	15	-1	500	1276	1406	1794	60	25	15	-1	350	894	984	1256	60	25	15	-1	225	574	632	807	60	25	15	-1	225	574	632	807	60	25	15	5386	4	1	3	2
104	60级-稀有-火曜	火曜	火曜	2	-1	1.66	4.25	4.68	5.98	60	25	15	-1	500	1276	1406	1794	60	25	15	-1	225	574	632	807	60	25	15	-1	225	574	632	807	60	25	15	-1	350	894	984	1256	60	25	15	5387	4	1	3	2
105	60级-稀有-日曜	日曜	日曜	3	-1	1.66	4.25	4.68	5.98	60	25	15	-1	500	1276	1406	1794	60	25	15	-1	225	574	632	807	60	25	15	-1	350	894	984	1256	60	25	15	-1	225	574	632	807	60	25	15	5388	4	1	3	2
106	60级-稀有-水曜	水曜	水曜	4	-1	1.66	4.25	4.68	5.98	60	25	15	-1	225	574	632	807	60	25	15	-1	225	574	632	807	60	25	15	-1	350	894	984	1256	60	25	15	-1	500	1276	1406	1794	60	25	15	5389	4	1	3	2
107	60级-稀有-星曜	星曜	星曜	5	-1	1.66	4.25	4.68	5.98	60	25	15	-1	350	894	984	1256	60	25	15	-1	225	574	632	807	60	25	15	-1	225	574	632	807	60	25	15	-1	500	1276	1406	1794	60	25	15	5390	4	1	3	2
108	60级-稀有-风耀	风耀	风耀	6	-1	1.66	4.25	4.68	5.98	60	25	15	-1	225	574	632	807	60	25	15	-1	350	894	984	1256	60	25	15	-1	225	574	632	807	60	25	15	-1	500	1276	1406	1794	60	25	15	5391	4	1	3	2
109	60级-稀有-月曜	月曜	月曜	7	-1	1.66	4.25	4.68	5.98	60	25	15	-1	225	574	632	807	60	25	15	-1	350	894	984	1256	60	25	15	-1	500	1276	1406	1794	60	25	15	-1	225	574	632	807	60	25	15	5392	4	1	3	2
110	60级-稀有-灵耀	灵耀	灵耀	8	-1	1.66	4.25	4.68	5.98	60	25	15	-1	225	574	632	807	60	25	15	-1	225	574	632	807	60	25	15	-1	500	1276	1406	1794	60	25	15	-1	350	894	984	1256	60	25	15	5393	4	1	3	2
111	60级-稀有-天曜	天曜	天曜	9	-1	1.66	4.25	4.68	5.98	60	25	15	-1	350	894	984	1256	60	25	15	-1	225	574	632	807	60	25	15	-1	500	1276	1406	1794	60	25	15	-1	225	574	632	807	60	25	15	5394	4	1	3	2
