EffectID	Name	EffectName	DelayTime	IsOnlyDeactive	EffectType	ParentName	FellowOwnerType	MaxOwnNum	IsCanHide	X	Y	Z	RotationX	RotationY	RotationZ	Duration	IsNeedScaleByModel	SoundID
49	通用采集点特效	tongyong_caijidian_001	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0	0	-1
50	掉落包提示特效-紫	tongyong_diaoluobao_zise_001	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0	0	-1
51	掉落包提示特效-橙	tongyong_diaoluobao_juse_001	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0	0	-1
52	掉落包提示特效-红	tongyong_diaoluobao_hong_001	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0	0	-1
53	受击-冰系	tongyong_shouji_bing_000	0	1	0	CenterPoint	0	2	1	0	0	0	0	0	0	1.5	0	-1
54	受击-闪电系	tongyong_shouji_shandian_001	0	1	0	CenterPoint	2	2	1	0	0	0	0	0	0	1	0	-1
55	受击-天音子弹	tongyong_shouji_zidan_001	0	1	0	CenterPoint	2	2	1	0	0	0	0	0	0	0.5	0	-1
56	通用采集点采集完成特效	buff_caijiwancheng_001	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	1	0	-1
57	幻月洞锁链出现【废弃】	scene_huanyue_suolian_002	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0.2	0	-1
58	幻月洞锁链持续【废弃】	scene_huanyue_suolian_001	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0	0	-1
59	幻月洞落雷特效	boss_huanyuemijing_001	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	4	0	-1
60	炼器UI特效	ui_lianqi_01	0	0	0	EffectPoint	0	-1	0	0.43	0.26	6.18	0	0	0	0	0	-1
61	装备吸收UI特效	ui_chuancheng_01	0	0	0	EffectPoint	0	-1	1	0.06	-0.36	5.49	0	0	0	1	0	344
62	灌注UI特效	ui_lianqi_01	0	0	0	EffectPoint	0	-1	0	0	-0.11	5.08	0	0	0	0	0	-1
63	幻月秘境-古镜出生	scene_huanyue_suolian_002	0	0	0	EffectPoint	0	-1	1	0	5.11	0	0	0	0	0.3	0	-1
64	幻月秘境【简单】-镜像1出生	scene_huanyue_suolian_002	0	0	0	EffectPoint	0	-1	1	0.26	0.92	5.11	0	0	0	0.3	0	-1
65	幻月秘境【简单】-镜像1持续	scene_huanyue_suolian_001	0	0	0	EffectPoint	0	-1	1	0.02	5.256	2.061	9.55	1.48	90	0	0	-1
66	幻月秘境【简单】-镜像2出生	scene_huanyue_suolian_002	0	0	0	EffectPoint	0	-1	1	-4.498	0.92	-2.147	0	0	0	0.3	0	-1
67	幻月秘境【简单】-镜像2持续	scene_huanyue_suolian_001	0	0	0	EffectPoint	0	-1	1	1.57	5.47	-0.915	5.02	115.93	90	0	0	-1
68	幻月秘境【简单】-镜像3出生	scene_huanyue_suolian_002	0	0	0	EffectPoint	0	-1	1	0.334	0.92	5.091	0	0	0	0.3	0	-1
69	幻月秘境【简单】-镜像3持续	scene_huanyue_suolian_001	0	0	0	EffectPoint	0	-1	1	-1.44	5.56	-0.76	5.95	-118.3	90	0	0	-1
70	幻月秘境【普通】-镜像1出生	scene_huanyue_suolian_002	0	0	0	EffectPoint	0	-1	1	0.26	0.92	5.11	0	0	0	0.3	0	-1
71	幻月秘境【普通】-镜像1持续	scene_huanyue_suolian_001	0	0	0	EffectPoint	0	-1	1	0.02	5.256	2.061	9.55	1.48	90	0	0	-1
72	幻月秘境【普通】-镜像2出生	scene_huanyue_suolian_002	0	0	0	EffectPoint	0	-1	1	5.25	0.92	-0.48	0	0	0	0.3	0	-1
73	幻月秘境【普通】-镜像2持续	scene_huanyue_suolian_001	0	0	0	EffectPoint	0	-1	1	2.105	5.453	-0.212	9.84	89.93	89.248	0	0	-1
74	幻月秘境【普通】-镜像3出生	scene_huanyue_suolian_002	0	0	0	EffectPoint	0	-1	1	-0.432	0.92	-5.406	0	0	0	0.3	0	-1
75	幻月秘境【普通】-镜像3持续	scene_huanyue_suolian_001	0	0	0	EffectPoint	0	-1	1	-0.05	5.48	-2.21	8.45	178.68	90	0	0	-1
76	幻月秘境【普通】-镜像4出生	scene_huanyue_suolian_002	0	0	0	EffectPoint	0	-1	1	-4.846	0.92	0.176	0	0	0	0.3	0	-1
77	幻月秘境【普通】-镜像4持续	scene_huanyue_suolian_001	0	0	0	EffectPoint	0	-1	1	-1.67	5.69	0.08	7.67	-91.23	90	0	0	-1
78	幻月秘境【困难】-镜像1出生	scene_huanyue_suolian_002	0	0	0	EffectPoint	0	-1	1	0.26	0.92	5.11	0	0	0	0.3	0	-1
79	幻月秘境【困难】-镜像1持续	scene_huanyue_suolian_001	0	0	0	EffectPoint	0	-1	1	0.02	5.256	2.061	9.55	1.48	90	0	0	-1
80	幻月秘境【困难】-镜像2出生	scene_huanyue_suolian_002	0	0	0	EffectPoint	0	-1	1	5.24	0.92	1.8	0	0	0	0.3	0	-1
81	幻月秘境【困难】-镜像2持续	scene_huanyue_suolian_001	0	0	0	EffectPoint	0	-1	1	1.972	5.339	0.622	5.25	69.36	90	0	0	-1
82	幻月秘境【困难】-镜像3出生	scene_huanyue_suolian_002	0	0	0	EffectPoint	0	-1	1	3.66	0.92	-4.159	0	0	0	0.3	0	-1
83	幻月秘境【困难】-镜像3持续	scene_huanyue_suolian_001	0	0	0	EffectPoint	0	-1	1	1.55	5.44	-1.76	6.78	136.98	90	0	0	-1
84	幻月秘境【困难】-镜像4出生	scene_huanyue_suolian_002	0	0	0	EffectPoint	0	-1	1	-2.504	0.92	-4.336	0	0	0	0.3	0	-1
85	幻月秘境【困难】-镜像4持续	scene_huanyue_suolian_001	0	0	0	EffectPoint	0	-1	1	-0.86	5.43	-1.59	7.87	-151.84	90	0	0	-1
86	幻月秘境【困难】-镜像5出生	scene_huanyue_suolian_002	0	0	0	EffectPoint	0	-1	1	-4.559	0.92	1.363	0	0	0	0.3	0	-1
87	幻月秘境【困难】-镜像5持续	scene_huanyue_suolian_001	0	0	0	EffectPoint	0	-1	1	-1.58	5.59	0.42	8.23	-77.72	90	0	0	-1
88	角色升级特效	scene_jueseshengji_001	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	2.6	0	-1
89	摄像机云雾散开特效	scene_yunwusankai_001	0	0	0	EffectPoint	1	1	0	0	-0.31	5.09	0	0	0	4.5	0	-1
90	法术开启UI特效	ui_fashukaiqi_001	0	0	0	EffectPoint	0	-1	0	0	0	5.99	-90	-180	0	4	0	-1
91	炼器成功UI特效	ui_lianqi_chenggong_01	0	0	0	EffectPoint	0	-1	0	0	0	2.09	0	0	0	2	0	-1
92	灌注成功UI特效	ui_guanzhu_chenggong_01	0	0	0	EffectPoint	0	-1	0	0	0	2.09	0	0	0	2	0	-1
93	炼器失败UI特效	ui_lianqi_shibai_01	0	0	0	EffectPoint	0	-1	0	0	0	2.09	0	0	0	2	0	-1
94	灌注失败UI特效	ui_guanzhu_shibai_01	0	0	0	EffectPoint	0	-1	0	0	0	2.09	0	0	0	2	0	-1
95	情网1-合欢	hehuan_jn_yunyu_01	0.2	0	0	EffectPoint	0	-1	1	0	1	0.3	0	0	160	0.3	0	-1
96	情网2-合欢	hehuan_jn_yunyu_02	0.6	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0.5	0	-1
97	情网3-合欢	hehuan_jn_yunyu_03	0.7	0	0	EffectPoint	0	-1	1	0	0.9	0.2	10	0	0	1	0	-1
98	旧梦1-合欢女	hehuan_jn_jiumeng_01	0	0	0	EffectPoint	0	-1	1	0	0	-0.2	0	0	0	1.5	0	-1
99	旧梦2-合欢女（废弃）	hehuan_jn_jiumeng_02	0.4	0	0	EffectPoint	0	-1	1	0	1.56	0.7	0	0	0	1.1	0	-1
100	普攻1-合欢	hehuan_jn_pugong_01	0	1	0	WeaponR	2	-1	1	0	0	0	0	0	0	1	0	-1
101	普攻2-合欢	hehuan_jn_pugong_01	0.5	1	0	WeaponR	2	-1	1	0	0	0	0	0	0	1	0	-1
102	普攻3-合欢	hehuan_jn_pugong_02	1	1	0	WeaponR	2	-1	1	0	0	0	0	0	180	1	0	-1
103	普攻4-合欢	hehuan_jn_pugong_02	1	1	0	WeaponL	2	-1	1	0	0	0	0	0	0	1	0	-1
104	江南1-合欢	hehuan_jn_jiangnan_xin_01	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	2.5	0	-1
105	江南2-合欢	hehuan_jn_jiangnan_xin_02	0	0	0	WeaponR	2	-1	1	0	0	0	0	0	0	3.3	0	-1
106	江南3-合欢	hehuan_jn_jiangnan_xin_03	2	0	0	EffectPoint	0	-1	1	0	0	0.96	0	0	0	2	0	-1
107	江南4-合欢（废弃）	hehuan_jn_jiangnan_03	0.3	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	2	0	-1
108	江南5-合欢（废弃）	hehuan_jn_jiangnan_04	1.1	0	0	EffectPoint	0	-1	1	-1.35	1.928	3.469	0	0	0	0.5	0	-1
109	通用残影特效	tongyong_canying	0	0	0	EffectPoint	1	1	1	0	0	0	0	0	0	0	0	-1
110	普攻1-鬼王	guiwang_attack_001	0.2	1	0	EffectPoint	0	-1	1	0	1	0.52	42	103	357	0.7	0	-1
111	普攻2-鬼王	guiwang_attack_002	0.7	1	0	EffectPoint	0	-1	1	0	1	0.7	0	0	0	1.1	0	-1
112	普攻3-鬼王	guiwang_attack_003	1.2	1	0	EffectPoint	0	-1	1	0	1.4	0.5	48	143	60	0.7	0	-1
113	天魔舞1-鬼王	guiwang_tianmowu_001	0	0	0	EffectPoint	0	-1	1	0	0.2	0	0	0	0	0.7	0	-1
114	天魔舞2-鬼王	guiwang_tianmowu_002	0.6	0	0	EffectPoint	0	-1	1	0	0.2	0	0	0	0	0.7	0	-1
115	火焰刀1-鬼王	guiwang_huoyandao_001	0	0	0	EffectPoint	0	-1	1	0	1	-0.5	0	0	0	0.7	0	-1
116	火焰刀2-鬼王	guiwang_huoyandao_002	0.5	0	0	EffectPoint	0	-1	1	-0.5	0	1.2	0	0	0	1.1	0	-1
117	Xp1-合欢	hehuan_jn_xp_dm	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	1	0	-1
118	Xp2-合欢	hehuan_jn_xp_sf	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	3	0	-1
119	Xp3-合欢	hehuan_jn_xp_bj	3.2	0	0	EffectPoint	0	-1	1	0	0.5	2.23	0	0	0	1	0	-1
120	Xp4-合欢(废弃)	hehuang_jn_jiangnan_04	1.3	0	0	EffectPoint	1	-1	1	-0.403	3.096	0.531	0	0	0	0.5	0	-1
121	修罗斩1-鬼王	guiwang_xiuluozhan_001	0.1	0	0	EffectPoint	0	-1	1	0	1.3	-1	0	90	0	0.6	0	-1
122	修罗斩2-鬼王	guiwang_xiuluozhan_002	1	0	0	EffectPoint	0	-1	1	0	0.1	2	0	0	0	1.5	0	-1
123	修罗斩3-鬼王	guiwang_xiuluozhan_003	1	0	0	EffectPoint	0	-1	1	0	0.1	0	0	0	0	0.5	0	-1
124	通用流血特效	buff_diaoxue_001	0	0	0	HeadPoint	2	1	1	0	0	0	0	0	0	0	0	-1
125	雷音法谕_start-天音	tianyin_jn_leiyinfayu_01	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	1	0	-1
126	雷音法谕_loop-天音	tianyin_jn_leiyinfayu_02	0.9	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	2.8	0	-1
127	雷音法谕_受击-天音	tianyin_jn_leiyinfayu_03	0	0	0	CenterPoint	0	1	1	0	0	0	0	0	0	0.5	0	-1
128	Xp1-鬼王	xp_guiwang_001	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	3.1	0	-1
129	Xp2-鬼王	xp_guiwang_002	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	3.5	0	-1
130	天舞宝轮_start-天音	tianyin_jn_tianwubaolun_01	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0.5	0	-1
131	天舞宝轮_loop-天音	tianyin_jn_tianwubaolun_02	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0	0	-1
132	火焰特效	scene_pobuduishaohuo_001	0	0	0	CenterPoint	2	5	1	0	0	0	0	0	0	3	0	-1
133	六道轮回_loop-天音	tianyin_jn_kuhaiwubian_01	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	0	0	-1
134	六道轮回_子弹1-天音	tianyin_jn_kuhaiwubian_02	0.5	0	0	EffectPoint	0	-1	1	0	1.2	0	0	0	0	0	0	-1
135	唤雷诀_受击1-青云	qingyun_huanleijue_001	0.1	0	0	EffectPoint	2	2	1	0	0.1	0	0	0	0	1	0	-1
136	唤雷诀_受击2-青云	qingyun_huanleijue_002	0	0	0	EffectPoint	2	2	1	0	0.1	0	270	0	0	1.5	0	-1
137	唤雷诀-青云	qingyun_huanleijue_003	0	0	0	EffectPoint	0	-1	1	0	2.8	0.3	90	0	0	1.5	0	-1
138	普攻1-天音	tianyin_jn_sanduanji_01	0.1	1	0	EffectPoint	0	-1	1	0	1.106	0.987	0	0	0	0.15	0	-1
139	普攻2-天音	tianyin_jn_sanduanji_02	0.7	1	0	EffectPoint	0	-1	1	0	1.233	0.981	0	0	0	0.15	0	-1
140	普攻3-天音	tianyin_jn_sanduanji_03	1.2	1	0	EffectPoint	0	-1	1	0	1.219	0.907	0	0	0	0.3	0	-1
141	普攻_子弹1-天音	tianyin_jn_sanduanji_04	0.1	1	0	EffectPoint	0	-1	1	0	1.106	0.987	0	0	0	0	0	-1
142	破魔剑诀1-青云	qingyun_pomojianjue_001	0	0	0	EffectPoint	0	-1	1	0	1	0.5	0	0	0	1.5	0	-1
143	破魔剑诀2-青云	qingyun_pomojianjue_002	0.9	0	0	EffectPoint	0	-1	1	0	0	2.5	0	0	0	2	0	-1
144	破魔剑诀3-青云	qingyun_pomojianjue_003	0.9	0	0	EffectPoint	0	-1	1	0	1.2	0	0	0	0	2	0	-1
145	普攻_子弹2-天音	tianyin_jn_sanduanji_04	0.7	1	0	EffectPoint	0	-1	1	0	1.233	0.981	0	0	0	0	0	-1
146	普攻_子弹3-天音	tianyin_jn_sanduanji_04	1.2	1	0	EffectPoint	0	-1	1	0	1.219	0.907	0	0	0	0	0	-1
147	六道轮回_子弹2-天音	tianyin_jn_kuhaiwubian_02	1.3	0	0	EffectPoint	0	-1	1	0	1.2	0	0	0	0	0	0	-1
148	六道轮回_子弹3-天音	tianyin_jn_kuhaiwubian_02	2.1	0	0	EffectPoint	0	-1	1	0	1.2	0	0	0	0	0	0	-1
149	缠绵1-合欢	hehuan_jn_biying_00	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	1	0	-1
150	缠绵2-合欢	hehuan_jn_biying_01	0	0	0	EffectPoint	2	-1	1	0	0	0	0	0	0	1	0	-1
151	青云武器特效-炼器2级	weapon_jian_lianqi_01	0	0	0	WeaponR	1	-1	1	0	0	0	0	0	0	0	0	-1
152	鬼王武器特效-炼器2级	weapon_ren_lianqi_01	0	0	0	WeaponR	1	-1	1	0	0	0	0	0	0	0	0	-1
153	天音武器特效-炼器2级	weapon_zhang_lianqi_01	0	0	0	WeaponR	1	-1	1	0	0	0	0	0	0	0	0	-1
154	合欢武器特效-炼器2级左手	weapon_huan_lianqi_01	0	0	0	WeaponL	1	-1	1	0	0	0	0	0	0	0	0	-1
155	XP1-天音	xp_skill_tianyin_001	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	3.5	0	-1
156	XP2-天音	xp_skill_tianyin_002	0	0	0	EffectPoint	0	-1	1	0	1.3	0	0	0	0	4.6	0	-1
157	施符瞬发	scene_shifu_shunfa_001	0	0	0	EffectPoint	2	5	1	0	1	0	0	0	0	1	0	-1
158	施符持续	scene_shifu_chixu_001	0	0	0	EffectPoint	2	5	1	0	1	0	0	0	0	0	0	212
159	施符阵法瞬发	scene_shifu_chufa_002	0	0	0	EffectPoint	2	5	1	0	1	0	0	145	0	4	0	211
160	普攻5-合欢	hehuan_jn_pugong_03	1	1	0	EffectPoint	2	-1	1	0	0.7	0	0	0	0	1	0	-1
161	旧梦_受击-合欢	hehuan_jn_jiumeng_bj_01	0	0	0	CenterPoint	0	2	1	0	0	0	0	0	0	1	0	-1
162	旧梦1-合欢男	hehuan_jn_jiumeng_01	0	0	0	EffectPoint	0	-1	1	0	0	0.1	0	0	0	1.5	0	-1
163	旧梦2-合欢男（废弃）	hehuan_jn_jiumeng_02	0.1	0	0	EffectPoint	0	-1	1	0	1.258	1.091	0	0	0	1.1	0	-1
164	法术开启UI特效2	ui_fashukaiqi_000	0	0	0	EffectPoint	0	-1	0	0	0	5.99	-90	-180	0	4	0	-1
165	炼器成功UI特效2	ui_lianqi_chenggong_guocheng001	0	0	0	EffectPoint	0	-1	1	0	0	2.8	0	0	0	1.5	0	-1
166	炼器失败UI特效2	ui_lianqi_shibai_guocheng_001	0	0	0	EffectPoint	0	-1	1	0	0	3.16	0	0	0	1.5	0	-1
167	合欢武器特效-炼器2级右手	weapon_huan_lianqi_01	0	0	0	WeaponR	1	-1	1	0	0	0	0	0	180	0	0	-1
168	青云武器特效-炼器9级	weapon_jian_lianqi_03	0	0	0	WeaponR	1	-1	1	0	0	0	0	0	0	0	0	-1
169	鬼王武器特效-炼器9级	weapon_ren_lianqi_03	0	0	0	WeaponR	1	-1	1	0	0	0	0	0	0	0	0	-1
170	天音武器特效-炼器9级	weapon_zhang_lianqi_03	0	0	0	WeaponR	1	-1	1	0	0	0	0	0	0	0	0	-1
171	合欢武器特效-炼器9级左手	weapon_huan_lianqi_03	0	0	0	WeaponL	1	-1	1	0	0	0	0	0	0	0	0	-1
172	合欢武器特效-炼器9级右手	weapon_huan_lianqi_03	0	0	0	WeaponR	1	-1	1	0	0	0	0	0	180	0	0	-1
173	青云武器特效-炼器15级	weapon_jian_lianqi_06	0	0	0	WeaponR	1	-1	1	0	0	0	0	0	0	0	0	-1
174	鬼王武器特效-炼器15级	weapon_ren_lianqi_06	0	0	0	WeaponR	1	-1	1	0	0	0	0	0	0	0	0	-1
175	天音武器特效-炼器15级	weapon_zhang_lianqi_06	0	0	0	WeaponR	1	-1	1	0	0	0	0	0	0	0	0	-1
176	合欢武器特效-炼器15级左手	weapon_huan_lianqi_06	0	0	0	WeaponL	1	-1	1	0	0	0	0	0	0	0	0	-1
177	合欢武器特效-炼器15级右手	weapon_huan_lianqi_06	0	0	0	WeaponR	1	-1	1	0	0	0	0	0	180	0	0	-1
178	结婚组队buff	buffjiehunqizudui_01	0	0	0	EffectPoint	2	1	1	0	0	0	0	0	0	0	0	-1
179	炎龙斩01-田不易	boss_yanlongzhan_01	0	0	0	EffectPoint	2	-1	1	0	0	0	0	0	0	4.3	0	-1
180	冥蛇刺	boss_dushen_zhaohuan_sf_001	0	0	0	EffectPoint	2	-1	1	0	0	0	0	0	0	2	0	-1
181	召唤出现特效	boss_dushen_zhaohuan_sj_001	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	2	0	-1
182	炎龙斩02-田不易	boss_yanlongzhan_02	0	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	2.3	0	-1
183	法宝施法通用特效	boss_yanlongzhan_01	0	0	0	EffectPoint	2	-1	1	0	0	0	0	0	0	4.3	0	-1
184	法宝施法通用受击特效	boss_yanlongzhan_03	0	0	0	EffectPoint	2	-1	1	0	0	0	0	0	0	0	0	-1
185	腾龙击01_田不易	boss_tianbuyi_tenglongji_001	0.1	0	0	EffectPoint	0	-1	1	0	0	0	0	0	0	2	0	-1
