Id	Desc	TarSceneID	TarPosX	TarPosZ	TarPosRadius	TarTVID
110	大王村-沼泽困境	42	28.3	95.2	3	-1
111	大王村-青云-前往內泽	43	12.29	12.43	3	-1
112	大王村-天音-前往內泽	43	12.29	12.43	3	-1
113	大王村-鬼王-前往內泽	43	12.29	12.43	3	-1
114	大王村-合欢-前往內泽	43	12.29	12.43	3	-1
115	死亡沼泽-鱼人袭击	43	39.12	6.02	3	155
116	死亡沼泽-暗处踪迹	43	64.64	5.35	3	-1
117	死亡沼泽-莫测天气	43	74.34	10.99	3	-1
118	死亡沼泽-长生事变	43	88.18	55.45	3	156
119	死亡沼泽-付炬东流	43	67.37	55.17	3	157
120	死亡沼泽-循声追去	43	104.86	45.09	3	-1
121	死亡沼泽-寻蛇踪迹	43	66.8	112.9	3	-1
122	死亡沼泽-天帝宝库	43	105	111	3	169
123	死亡沼泽-神农遗迹	43	21.3	106.3	3	-1
124	死亡沼泽-一探焚香	40	27.64	3.24	3	-1
125	焚香谷-古刹夜话	40	24.19	65.39	3	178
126	焚香谷-探查动静	40	15.7	82.3	3	185
127	焚香谷-入侵之物	40	78.53	20.37	3	186
128	主线-空桑山-探索浮台	31	74.06	14.35	3	-1
129	小池镇-支线-儿时玩伴	4	72	107	3	-1
130	流波山-主线-渔民求助	53	27.4	11.7	3	-1
131	流波山-主线-山堂求援	53	94.86	39.94	3	160
132	流波山-主线-寻找奇石	53	102.93	108.43	3	-1
133	流波山-主线-物归原主	53	91.56	98.5	3	-1
134	流波山-主线-探索水寨	53	26.39	57.02	3	-1
135	流波山-主线-头目现身	53	48.97	56.91	3	164
136	流波山-主线-望夫山崖	53	21.7	107.4	3	-1
137	主线-入七里峒	44	71.2	46.7	3	142
138	【废弃】主线-巫师祭坛	44	80.79	105.04	3	-1
139	主线-面见巫师	44	100.2	76.1	3	-1
140	主线-苗人小屋	44	113.3	100.7	3	-1
141	主线-风云变幻	44	99.6	68.3	3	144
142	【废弃】主线-暴露行踪	12	6.63	92.16	3	-1
143	【废弃】主线-暴露行踪	6	122.24	23.41	3	-1
144	【废弃】主线-暴露行踪	11	84.77	84.31	3	-1
145	青云-隐藏2-似有玄机	6	54.34	61.69	3	-1
146	青云-隐藏2-灵尊大神	6	54.34	61.69	3	-1
147	夫妻-进阶-花果婚	5	24	102	3	-1
148	夫妻-进阶-糖婚	6	49	62	3	-1
149	夫妻-进阶-丝婚	12	25	88	3	-1
150	夫妻-进阶-水晶婚	10	5	24	3	-1
151	夫妻-进阶-银婚	4	106	47	3	-1
152	夫妻-进阶-珍珠婚	33	16	24	3	-1
153	夫妻-进阶-珊瑚婚	41	20	20	3	-1
154	夫妻-进阶-青玉婚	44	82	119	3	-1
155	夫妻-进阶-金婚	45	38	102	3	-1
156	十万大山-主线-追踪圣器	45	95.3	25.5	3	-1
157	十万大山-主线-追击巫妖	45	66.9	24.8	3	-1
158	十万大山-主线-发光之物	45	24.2	27.8	3	-1
159	十万大山-主线-杀生和尚	45	16.64	33.25	3	-1
160	十万大山-主线-女子雕像	45	89.8	93.7	3	-1
161	十万大山-主线-神秘魔力	45	80.3	106.5	3	-1
162	十万大山-主线-寻找青龙	45	96	77.2	3	-1
163	流波山-支线-闻香而来	53	34.9	44.8	3	-1
164	大王村-支线-盛大祭典	42	70	62	3	-1
165	死亡沼泽-生死一刻	43	111.2	108.7	3	-1
166	支线-结伴而行	43	107.16	38.13	3	-1
167	流波山-主线-寻找大阵	53	24.95	61.04	3	-1
168	流波山-主线-登高俯瞰	53	42.68	97.07	3	183
169	主线-空桑山-偷懒弟子	31	93.95	101.3	3	-1
170	毒蛇谷-主线-城主之托	65	13.34	14.86	3	-1
171	毒蛇谷-主线-守株待兔	65	105.8	94.2	3	-1
172	毒蛇谷-主线-七彩蜈蚣	65	115.2	114.9	3	176
173	毒蛇谷-主线-毒神线索	68	120.4	9.9	3	-1
174	蛮荒-主线-初探蛮荒	68	116.8	13	3	-1
175	蛮荒-主线-一探圣殿	68	63.1	71.1	3	-1
176	蛮荒-主线-口气松动	68	63.2	75.5	3	-1
177	蛮荒-主线-昆仑异宝	68	114.9	116.9	3	-1
178	空桑山-主线-悬空浮岛	31	54.85	18.32	3	-1
179	夫妻-进阶-翡翠婚	6	92	10	3	-1
180	夫妻-进阶-钻石婚	11	82	69	3	-1
181	夫妻-进阶-白金婚	62	38	93	3	-1
182	主线-掩人耳目	11	40.96	71.76	3	-1
183	帮派环-寻人类探索	5	21.24	66.45	6	-1
184	帮派环-寻人类探索	5	21.26	67.75	6	-1
185	帮派环-寻人类探索	5	39.83	49.85	6	-1
186	帮派环-寻人类探索	5	8.54	114.7	6	-1
187	帮派环-寻人类探索	5	7.07	117.81	6	-1
188	帮派环-寻人类探索	5	11.32	118.55	6	-1
189	帮派环-寻人类探索	5	11.89	104.06	6	-1
190	帮派环-寻人类探索	5	23.71	7.72	6	-1
191	帮派环-寻人类探索	5	18.6	48.89	6	-1
192	帮派环-寻人类探索	5	18.64	46.9	6	-1
193	帮派环-寻人类探索	5	12.36	48.89	6	-1
194	帮派环-寻人类探索	5	12.32	46.85	6	-1
195	帮派环-寻人类探索	5	82.46	94.26	6	-1
196	帮派环-寻人类探索	5	43.09	126.36	6	-1
197	帮派环-寻人类探索	5	21.06	37.84	6	-1
198	帮派环-寻人类探索	5	67.83	88.86	6	-1
199	帮派环-寻人类探索	5	39.63	91.07	6	-1
200	帮派环-寻人类探索	5	40.58	60.89	6	-1
201	帮派环-寻人类探索	5	19.5	119.59	6	-1
202	帮派环-寻人类探索	5	26.77	72.04	6	-1
203	帮派环-寻人类探索	5	40.49	58.32	6	-1
204	帮派环-寻人类探索	5	58.7	80.36	6	-1
205	帮派环-寻人类探索	5	66.81	109.7	6	-1
206	帮派环-寻人类探索	5	79.94	75.03	6	-1
207	帮派环-寻人类探索	5	21.05	84.91	6	-1
208	帮派环-寻人类探索	5	75.16	58.61	6	-1
209	帮派环-寻人类探索	5	53	68	6	-1
210	帮派环-寻人类探索	5	52	68	6	-1
211	帮派环-寻人类探索	5	43.94	102.45	6	-1
212	帮派环-寻人类探索	5	61.54	75.38	6	-1
213	帮派环-寻人类探索	5	11.58	90.83	6	-1
214	帮派环-寻人类探索	5	2.49	64.86	6	-1
215	帮派环-寻人类探索	5	7.04	56.54	6	-1
216	帮派环-寻人类探索	5	56.43	63.5	6	-1
217	帮派环-寻人类探索	5	80.15	110.76	6	-1
218	帮派环-寻人类探索	12	107.96	65.63	6	-1
219	帮派环-寻人类探索	12	16.5	45.17	6	-1
220	帮派环-寻人类探索	12	84.75	65.46	6	-1
221	帮派环-寻人类探索	12	39.79	17.8	6	-1
222	帮派环-寻人类探索	12	89.56	32.39	6	-1
223	帮派环-寻人类探索	12	40.3	109.07	6	-1
224	帮派环-寻人类探索	12	40.65	88.35	6	-1
225	帮派环-寻人类探索	12	103.1	83.94	6	-1
226	帮派环-寻人类探索	12	101.2	118.17	6	-1
227	帮派环-寻人类探索	6	36.96	63.83	6	-1
228	帮派环-寻人类探索	6	99.5	63.5	6	-1
229	帮派环-寻人类探索	6	96	117	6	-1
230	帮派环-寻人类探索	6	98.2	116.3	6	-1
231	帮派环-寻人类探索	6	51.57	125.1	6	-1
232	帮派环-寻人类探索	6	61.12	24.5	6	-1
233	帮派环-寻人类探索	6	7.14	63.43	6	-1
234	帮派环-寻人类探索	6	49.36	125.03	6	-1
235	帮派环-寻人类探索	6	23.9	120.02	6	-1
236	帮派环-寻人类探索	6	57.2	104.1	6	-1
237	帮派环-寻人类探索	6	95.61	8.49	6	-1
238	帮派环-寻人类探索	6	56.86	1.28	6	-1
239	帮派环-寻人类探索	6	88.08	36.98	6	-1
240	帮派环-寻人类探索	6	91.73	81.64	6	-1
241	帮派环-寻人类探索	6	2.86	14.86	6	-1
242	帮派环-寻人类探索	10	99.23	3.62	6	-1
243	帮派环-寻人类探索	10	56.97	24.56	6	-1
244	帮派环-寻人类探索	10	58.08	53	6	-1
245	帮派环-寻人类探索	10	90.74	64.95	6	-1
246	帮派环-寻人类探索	10	58.35	123.23	6	-1
247	帮派环-寻人类探索	10	110.28	57.56	6	-1
248	帮派环-寻人类探索	10	117.78	99.45	6	-1
249	帮派环-寻人类探索	10	9.9	21.82	6	-1
250	帮派环-寻人类探索	10	5.3	79.95	6	-1
251	帮派环-寻人类探索	10	76.97	43.28	6	-1
252	帮派环-寻人类探索	11	18.67	80.92	6	-1
253	帮派环-寻人类探索	11	81.8	67.4	6	-1
254	帮派环-寻人类探索	11	75.72	6.78	6	-1
255	帮派环-寻人类探索	11	-1	-1	6	-1
256	帮派环-寻人类探索	11	53.6	80.05	6	-1
257	帮派环-寻人类探索	11	85.43	121.41	6	-1
258	帮派环-寻人类探索	11	53.63	55.46	6	-1
259	帮派环-寻人类探索	11	115.83	56.28	6	-1
260	帮派环-寻人类探索	11	21.73	24.38	6	-1
261	帮派环-寻人类探索	11	13.55	9.71	6	-1
262	帮派环-寻人类探索	11	28.92	8.17	6	-1
263	帮派环-寻人类探索	11	15.57	54.46	6	-1
264	帮派环-寻人类探索	11	-1	-1	6	-1
265	帮派环-寻人类探索	11	-1	-1	6	-1
266	帮派环-寻人类探索	31	25.3	113.3	6	-1
267	帮派环-寻人类探索	31	27.8	88.5	6	-1
268	帮派环-寻人类探索	31	10.77	73.93	6	-1
269	帮派环-寻人类探索	31	16.19	6.35	6	-1
270	帮派环-寻人类探索	31	55.85	25.43	6	-1
271	帮派环-寻人类探索	31	77.6	78.4	6	-1
272	帮派环-寻人类探索	31	104.57	116.92	6	-1
273	帮派环-寻人类探索	31	107.02	116.42	6	-1
274	帮派环-寻人类探索	31	108.64	115.25	6	-1
275	帮派环-寻人类探索	31	106.17	6.41	6	-1
276	帮派环-寻人类探索	4	115	44	6	-1
277	帮派环-寻人类探索	4	28.56	29.91	6	-1
278	帮派环-寻人类探索	4	46.83	11.42	6	-1
279	帮派环-寻人类探索	4	39.41	11.61	6	-1
280	帮派环-寻人类探索	4	41.33	13.19	6	-1
281	帮派环-寻人类探索	4	36.87	11.16	6	-1
282	帮派环-寻人类探索	4	29.19	28.55	6	-1
283	帮派环-寻人类探索	4	56.26	48.98	6	-1
284	帮派环-寻人类探索	4	15.6	68.98	6	-1
285	帮派环-寻人类探索	4	21.58	71.31	6	-1
286	帮派环-寻人类探索	4	16.71	72.73	6	-1
287	帮派环-寻人类探索	4	126.72	82.38	6	-1
288	帮派环-寻人类探索	4	26.62	26.64	6	-1
289	帮派环-寻人类探索	4	31.4	66.21	6	-1
290	帮派环-寻人类探索	4	114.95	117.97	6	-1
291	帮派环-寻人类探索	53	107.9	56.6	6	-1
292	帮派环-寻人类探索	53	89.5	96.2	6	-1
293	帮派环-寻人类探索	53	7.4	23.2	6	-1
294	帮派环-寻人类探索	53	7.22	30.11	6	-1
295	帮派环-寻人类探索	53	16.8	19.2	6	-1
296	帮派环-寻人类探索	53	97.1	13.5	6	-1
297	帮派环-寻人类探索	53	56.46	56.99	6	-1
298	帮派环-寻人类探索	53	102.94	116.78	6	-1
299	帮派环-寻人类探索	53	105.03	112.58	6	-1
300	帮派环-寻人类探索	42	84.52	33.94	6	-1
301	帮派环-寻人类探索	42	85.94	45.95	6	-1
302	帮派环-寻人类探索	42	84.14	44.6	6	-1
303	帮派环-寻人类探索	42	71.05	47.63	6	-1
304	帮派环-寻人类探索	42	37.7	63	6	-1
305	帮派环-寻人类探索	42	54.48	65.37	6	-1
306	帮派环-寻人类探索	42	107.7	118.4	6	-1
307	帮派环-寻人类探索	42	47.76	86.15	6	-1
308	帮派环-寻人类探索	42	37.01	81.93	6	-1
309	帮派环-寻人类探索	42	26.78	110.96	6	-1
310	帮派环-寻人类探索	42	25.48	109.18	6	-1
311	帮派环-寻人类探索	42	43.31	93.5	6	-1
312	帮派环-寻人类探索	42	41.98	92.46	6	-1
313	帮派环-寻人类探索	43	49.46	10.43	6	-1
314	帮派环-寻人类探索	43	51.9	10.31	6	-1
315	帮派环-寻人类探索	43	54.46	3.97	6	-1
316	帮派环-寻人类探索	43	97.24	4.97	6	-1
317	帮派环-寻人类探索	43	109.49	41.89	6	-1
318	帮派环-寻人类探索	43	107.52	57.5	6	-1
319	帮派环-寻人类探索	43	103.96	57.64	6	-1
320	帮派环-寻人类探索	43	99.02	115.89	6	-1
321	帮派环-寻人类探索	43	101.49	105.69	6	-1
322	帮派环-寻人类探索	43	113.93	107.05	6	-1
323	帮派环-寻人类探索	43	110.11	105.98	6	-1
324	帮派环-寻人类探索	43	10.73	122.27	6	-1
325	帮派环-寻人类探索	43	10.2	113.48	6	-1
326	帮派环-寻人类探索	43	20.4	115.08	6	-1
327	帮派环-寻人类探索	40	22.63	5.5	6	-1
328	帮派环-寻人类探索	40	43.89	17.57	6	-1
329	帮派环-寻人类探索	40	23.6	72.8	6	-1
330	帮派环-寻人类探索	40	23	52.4	6	-1
331	帮派环-寻人类探索	102	16.08	23.57	6	-1
332	帮派环-寻人类探索	40	51.16	123.58	6	-1
333	帮派环-寻人类探索	40	60.2	5.9	6	-1
334	帮派环-寻人类探索	44	19.73	111.43	6	-1
335	帮派环-寻人类探索	44	19.35	109.12	6	-1
336	帮派环-寻人类探索	44	19.67	117.32	6	-1
337	帮派环-寻人类探索	44	74.22	76.87	6	-1
338	帮派环-寻人类探索	44	4.36	27.55	6	-1
339	帮派环-寻人类探索	44	79.57	88.5	6	-1
340	帮派环-寻人类探索	44	83.07	122.87	6	-1
341	帮派环-寻人类探索	44	110.3	76.1	6	-1
342	帮派环-寻人类探索	44	80.17	114.68	6	-1
343	帮派环-寻人类探索	44	79.7	106.97	6	-1
344	帮派环-寻人类探索	44	94.89	103.99	6	-1
345	帮派环-寻人类探索	44	82.49	111.02	6	-1
346	帮派环-寻人类探索	45	17.2	105.9	6	-1
347	帮派环-寻人类探索	45	92.2	21.5	6	-1
348	帮派环-寻人类探索	45	90.8	107.9	6	-1
349	帮派环-寻人类探索	45	81.5	88.3	6	-1
350	帮派环-寻人类探索	45	96.2	58.6	6	-1
351	帮派环-寻人类探索	45	105.5	101.4	6	-1
352	帮派环-寻人类探索	65	10.3	19.6	6	-1
353	帮派环-寻人类探索	65	63.3	22.7	6	-1
354	帮派环-寻人类探索	65	114.47	71.01	6	-1
355	帮派环-寻人类探索	65	110.62	119.39	6	-1
356	帮派环-寻人类探索	65	23.6	49.8	6	-1
357	帮派环-寻人类探索	65	19.2	74.9	6	-1
358	帮派环-寻人类探索	68	116.5	20	6	-1
359	帮派环-寻人类探索	68	63.27	80.67	6	-1
360	帮派环-寻人类探索	68	58.36	79.67	6	-1
361	帮派环-寻人类探索	68	55.77	47.9	6	-1
362	帮派环-寻人类探索	68	69.87	47.89	6	-1
363	帮派环-寻人类探索	68	57.21	42.79	6	-1
364	环任务-修罗	90	109.9	77.9	6	-1
365	环任务-修罗	90	95	20.4	6	-1
366	环任务-昆仑	62	94.3	101.3	6	-1
367	环任务-昆仑	62	62.4	34.3	6	-1
368	环任务-鸿蒙古地	89	71.5	41.6	6	-1
369	环任务-鸿蒙古地	89	28.5	51.5	6	-1
370	环任务-蟠龙峰	91	106.14	58.93	6	-1
371	环任务-蟠龙峰	91	58.2	71.9	6	-1
372	支线-青云-宠物教学-萌宠情缘	6	7.14	63.43	3	-1
373	支线-合欢-宠物教学-萌宠情缘	12	84.75	65.46	3	-1
374	支线-天音-宠物教学-萌宠情缘	10	56.97	24.56	3	-1
375	支线-鬼王-宠物教学-萌宠情缘	11	53.63	55.46	3	-1
376	主线-入口情况	5	6.8	67.41	3	-1
377	主线-入口情况	5	6.8	67.41	3	-1
378	主线-入口情况	5	6.8	67.41	3	-1
379	主线-入口情况	5	6.8	67.41	3	-1
380	隐藏-再赴青云	6	92	97	3	-1
381	隐藏-焚香之行	40	56	73	3	-1
382	隐藏-丢三落四	40	52	64	3	-1
383	周一仙隐藏-陈年往事	68	110.11	13.16	3	190
384	焚香谷隐藏-潜入古刹	40	39	94	3	197
385	【已废弃】焚香谷隐藏-变身混入	41	24	3	3	-1
386	焚香谷隐藏-百年大计	41	24	8	3	199
387	焚香谷隐藏-逃出生天	40	21	80	3	-1
388	隐藏-前往正堂	65	106	88	3	194
389	隐藏-阴谋气息	65	110	104	3	-1
390	隐藏-千里追查	43	25	86	3	-1
391	隐藏-死泽之东	43	89	54	3	-1
392	隐藏-探查浮岛	31	66	33	3	-1
393	隐藏-凶险突袭	43	111	63	3	203
394	隐藏-交回玉佩	12	100	113	3	-1
395	隐藏-伏龙鼎-人去山空	11	9.52	63.35	3	-1
396	隐藏-伏龙鼎-伏龙血鼎	11	35.86	114.04	3	191
397	隐藏-伏龙鼎-灭世阴谋	11	35.86	114.04	3	193
398	师徒-探察	5	15.96	39.15	3	-1
399	师徒-探察	5	53.06	57.8	3	-1
400	师徒-探察	5	52.08	14.62	3	-1
401	师徒-探察	5	12.19	7.37	3	-1
402	活动-开学师门送信-青云-第二天-替师分忧	11	42	68	3	-1
403	活动-开学师门送信-天音-第二天-替师分忧	12	61	66	3	-1
404	活动-开学师门送信-鬼王-第二天-替师分忧	6	63	63	3	-1
405	活动-开学师门送信-合欢-第二天-替师分忧	10	57	23	3	-1
406	师徒-寻人	5	23.71	7.72	3	-1
407	师徒-寻人	5	75.16	58.61	3	-1
408	师徒-寻人	5	49	80	3	-1
409	师徒-寻人	5	39.83	49.85	3	-1
410	隐藏-碧瑶-青衫少女·壹	103	16	21	3	-1
411	修罗-主线-河阳珍馐	5	33.33	67.64	3	-1
412	修罗-主线-老不正经	5	15.25	96.28	3	208
413	修罗-主线-冥界修罗	90	64.2	20.8	3	-1
414	修罗-主线-兑位定穴	90	67.8	86.2	3	-1
415	修罗-主线-正道动向	90	46.94	54.05	3	205
416	修罗-主线-焚香动向	90	10.8	7.9	3	-1
417	修罗-主线-异界之门	90	112.34	79.36	3	209
418	飞升-支线-鸿蒙紫气	89	109	81	3	-1
419	飞升-支线-寻觅	89	108	60	3	-1
420	飞升-支线-朝阳	89	26	70	3	206
421	飞升-主线-法阵寻址	62	88	88	3	-1
422	长生界-主线-四下查探	95	207.2	262.25	3	-1
423	长生界-主线-古朴圣殿	95	162.7	262	3	210
424	长生界-主线-走出圣殿	95	117.6	261.2	3	-1
425	长生界-主线-天瀑水泽	95	108.7	126.7	3	211
426	长生界-主线-高山为生	95	36.2	330	3	212
427	长生界-主线-战场废墟	95	199.9	79.9	3	-1
428	长生界-主线-柳暗花明	95	199.9	35.6	3	213
429	长生界-主线-前往丛林	95	340.8	231.5	3	-1
430	长生界-主线-前往异界	700	42.8	29.5	3	-1
431	节日环-河阳城城门	5	92	67	3	-1
