Id	Desc	LowLevel	PreMisID0	PreMisID1	PreMisID2	PreMisID3	PreMisID4	ProfessionID	IsLoop
74	主线-归心似箭	1	70	-1	-1	-1	-1	0	0
75	主线-师兄方超	1	74	-1	-1	-1	-1	0	0
76	主线-山魈之祸	1	75	-1	-1	-1	-1	0	0
77	主线-驱赶山魈	1	76	-1	-1	-1	-1	0	0
78	主线-继续赶路	1	77	-1	-1	-1	-1	0	0
79	主线-风回首座	1	78	-1	-1	-1	-1	0	0
80	主线-首座之怨	1	79	-1	-1	-1	-1	0	0
81	主线-先明师兄	1	80	-1	-1	-1	-1	0	0
82	主线-师兄关照	1	81	-1	-1	-1	-1	0	0
83	主线-见过掌门	1	638	-1	-1	-1	-1	0	0
84	主线-甚感欣慰	1	83	-1	-1	-1	-1	0	0
85	主线-欲言又止	1	84	-1	-1	-1	-1	0	0
86	主线-是非对错	1	85	-1	-1	-1	-1	0	0
87	主线-有意为之	1	86	-1	-1	-1	-1	0	0
88	主线-磨砺心性	1	87	-1	-1	-1	-1	0	0
89	主线-锻炼胆量	1	88	-1	-1	-1	-1	0	0
90	主线-挑战同门	1	89	-1	-1	-1	-1	0	0
91	主线-回见掌门	1	90	-1	-1	-1	-1	0	0
92	主线-性格之试	1	91	-1	-1	-1	-1	0	0
93	主线-亲传之位	1	92	-1	-1	-1	-1	0	0
94	主线-祖师祠堂	1	453	-1	-1	-1	-1	0	0
95	主线-枯瘦老者	1	94	-1	-1	-1	-1	0	0
96	主线-相互切磋	1	95	-1	-1	-1	-1	0	0
97	主线-老者嘱托	1	96	-1	-1	-1	-1	0	0
98	主线-闭关歇息	1	97	-1	-1	-1	-1	0	0
99	主线-大竹峰畔	1	98	-1	-1	-1	-1	0	0
100	主线-安慰师兄	1	99	-1	-1	-1	-1	0	0
101	主线-师父心结	1	100	-1	-1	-1	-1	0	0
102	主线-玲珑师妹	1	101	-1	-1	-1	-1	0	0
103	主线-大骨香味	1	102	-1	-1	-1	-1	0	0
104	主线-大黄憨态	1	103	-1	-1	-1	-1	0	0
105	主线-众人之意	1	104	-1	-1	-1	-1	0	0
106	主线-意探小竹	1	105	-1	-1	-1	-1	0	0
107	主线-鬼祟师兄	1	106	-1	-1	-1	-1	0	0
108	主线-顽劣书书	1	107	-1	-1	-1	-1	0	0
109	主线-曾经旧友	1	108	-1	-1	-1	-1	0	0
110	主线-求证师姐	1	109	-1	-1	-1	-1	0	0
111	主线-深受其害	1	110	-1	-1	-1	-1	0	0
112	主线-望月台边	1	111	-1	-1	-1	-1	0	0
113	主线-百转柔情	1	112	-1	-1	-1	-1	0	0
114	主线-求情掌门	1	113	-1	-1	-1	-1	0	0
115	主线-天机之变	1	114	-1	-1	-1	-1	0	0
116	主线-心中顾虑	1	115	-1	-1	-1	-1	0	0
117	主线-天音之行	1	116	-1	-1	-1	-1	0	0
118	主线-红云恶僧	1	117	-1	-1	-1	-1	0	0
119	主线-寺中住持	1	118	-1	-1	-1	-1	0	0
120	主线-出手相助	1	119	-1	-1	-1	-1	0	0
121	主线-普德上人	1	120	-1	-1	-1	-1	0	0
122	主线-善恶一念	1	121	-1	-1	-1	-1	0	0
123	主线-回见法相	1	1040	-1	-1	-1	-1	0	0
124	主线-昔日渊源	1	123	-1	-1	-1	-1	0	0
125	主线-误闯禁地	1	124	-1	-1	-1	-1	0	0
126	主线-佛家舍利	1	125	-1	-1	-1	-1	0	0
127	主线-噬血来历	1	126	-1	-1	-1	-1	0	0
128	主线-谢过天音	1	127	-1	-1	-1	-1	0	0
129	主线-佛家之意	1	128	-1	-1	-1	-1	0	0
130	主线-归途青云	1	129	-1	-1	-1	-1	0	0
131	主线-空桑历练	1	130	-1	-1	-1	-1	0	0
132	主线-齐昊之意	1	131	-1	-1	-1	-1	0	0
133	主线-六合宝镜	1	132	-1	-1	-1	-1	0	0
134	【废弃】主线-飞行之法	999	-1	-1	-1	-1	-1	0	0
135	主线-探查禁制	1	133	-1	-1	-1	-1	0	0
136	主线-回见师兄	1	921	-1	-1	-1	-1	0	0
137	主线-空桑之行	1	136	-1	-1	-1	-1	0	0
138	主线-倦鸟归巢	1	73	-1	-1	-1	-1	3	0
139	主线-翘首以盼	1	138	-1	-1	-1	-1	3	0
140	主线-掌门心思	1	139	-1	-1	-1	-1	3	0
141	主线-翩翩君子	1	140	-1	-1	-1	-1	3	0
142	主线-见过师兄	1	141	-1	-1	-1	-1	3	0
143	主线-师兄关怀	1	457	-1	-1	-1	-1	3	0
144	主线-口舌之好	1	639	-1	-1	-1	-1	3	0
145	主线-精巧少女	1	144	-1	-1	-1	-1	3	0
146	主线-断袖之癖	1	145	-1	-1	-1	-1	3	0
147	主线-灵芝妙药	1	146	-1	-1	-1	-1	3	0
148	主线-猴王赤月	1	147	-1	-1	-1	-1	3	0
149	主线-呈礼掌门	1	458	-1	-1	-1	-1	3	0
150	主线-深感危机	1	149	-1	-1	-1	-1	3	0
151	主线-亲传弟子	1	150	-1	-1	-1	-1	3	0
152	主线-欢喜婆婆	1	151	-1	-1	-1	-1	3	0
153	主线-祭祀祖师	1	152	-1	-1	-1	-1	3	0
154	主线-唾弃不言	1	153	-1	-1	-1	-1	3	0
155	主线-回禀掌门	1	154	-1	-1	-1	-1	3	0
156	主线-合欢之意	1	155	-1	-1	-1	-1	3	0
157	主线-亲传之位	1	156	-1	-1	-1	-1	3	0
158	主线-武学之师	1	454	-1	-1	-1	-1	3	0
159	主线-诚惶诚恐	1	158	-1	-1	-1	-1	3	0
160	主线-必修之课	1	159	-1	-1	-1	-1	3	0
161	主线-动如脱兔	1	160	-1	-1	-1	-1	3	0
162	主线-温泉功效	1	161	-1	-1	-1	-1	3	0
163	主线-再见婆婆	1	459	-1	-1	-1	-1	3	0
164	主线-陈年旧事	1	163	-1	-1	-1	-1	3	0
165	主线-青春永驻	1	164	-1	-1	-1	-1	3	0
166	主线-爱美之心	1	165	-1	-1	-1	-1	3	0
167	主线-沧海飞燕	1	166	-1	-1	-1	-1	3	0
168	主线-师姐之意	1	167	-1	-1	-1	-1	3	0
169	主线-沧海之谢	1	168	-1	-1	-1	-1	3	0
170	主线-互相关照	1	169	-1	-1	-1	-1	3	0
171	主线-人小鬼大	1	170	-1	-1	-1	-1	3	0
172	主线-刁蛮师姐	1	171	-1	-1	-1	-1	3	0
173	主线-教训恶僧	1	172	-1	-1	-1	-1	3	0
174	主线-惹祸上身	1	173	-1	-1	-1	-1	3	0
175	主线-替其求情	1	174	-1	-1	-1	-1	3	0
176	主线-若有所思	1	175	-1	-1	-1	-1	3	0
177	主线-探入狐岐	1	176	-1	-1	-1	-1	3	0
178	主线-寻找卧底	1	177	-1	-1	-1	-1	3	0
179	主线-暗号之语	1	178	-1	-1	-1	-1	3	0
180	主线-了解情况	1	179	-1	-1	-1	-1	3	0
181	主线-鬼王服饰	1	1043	-1	-1	-1	-1	3	0
182	主线-混入鬼王	1	2171	-1	-1	-1	-1	3	0
183	主线-寒冰石室	1	182	-1	-1	-1	-1	3	0
184	主线-血咒禁制	1	183	-1	-1	-1	-1	3	0
185	主线-白狐灵血	1	184	-1	-1	-1	-1	3	0
186	主线-血池之谜	1	185	-1	-1	-1	-1	3	0
187	主线-龙纹之鼎	1	186	-1	-1	-1	-1	3	0
188	主线-死地后生	1	187	-1	-1	-1	-1	3	0
189	主线-报告掌门	1	188	-1	-1	-1	-1	3	0
190	主线-旧时渊源	1	189	-1	-1	-1	-1	3	0
191	主线-婆婆嘱咐	1	460	-1	-1	-1	-1	3	0
192	主线-痴情厉咒	1	191	-1	-1	-1	-1	3	0
193	主线-回见掌门	1	192	-1	-1	-1	-1	3	0
194	主线-凌波玉箫	1	193	-1	-1	-1	-1	3	0
195	【废弃】主线-飞行之法	999	-1	-1	-1	-1	-1	3	0
196	主线-三生之果	1	194	-1	-1	-1	-1	3	0
197	主线-空桑之行	1	924	-1	-1	-1	-1	3	0
198	主线-梵音归航	1	71	-1	-1	-1	-1	1	0
199	主线-烦恼香客	1	198	-1	-1	-1	-1	1	0
200	主线-红云恶僧	1	199	-1	-1	-1	-1	1	0
201	主线-供奉物资	1	200	-1	-1	-1	-1	1	0
202	主线-佛法无边	1	201	-1	-1	-1	-1	1	0
203	主线-又惊又喜	1	202	-1	-1	-1	-1	1	0
204	主线-我佛慈悲	1	203	-1	-1	-1	-1	1	0
205	主线-法相师兄	1	204	-1	-1	-1	-1	1	0
206	主线-师兄关怀	1	205	-1	-1	-1	-1	1	0
207	主线-普德恩师	1	640	-1	-1	-1	-1	1	0
208	主线-神秘来客	1	207	-1	-1	-1	-1	1	0
209	主线-众生平等	1	208	-1	-1	-1	-1	1	0
210	主线-恩师嘱托	1	209	-1	-1	-1	-1	1	0
211	主线-加强守卫	1	210	-1	-1	-1	-1	1	0
212	主线-掌门汤药	1	211	-1	-1	-1	-1	1	0
213	主线-加一把火	1	212	-1	-1	-1	-1	1	0
214	主线-初见掌门	1	213	-1	-1	-1	-1	1	0
215	主线-佛祖慈悲	1	214	-1	-1	-1	-1	1	0
216	主线-悟道晚霞	1	215	-1	-1	-1	-1	1	0
217	主线-达摩金身	1	324	-1	-1	-1	-1	1	0
218	主线-法门佛道	1	217	-1	-1	-1	-1	1	0
219	主线-亲传之位	1	218	-1	-1	-1	-1	1	0
220	主线-帮忙师兄	1	455	-1	-1	-1	-1	1	0
221	主线-施舍粥饭	1	220	-1	-1	-1	-1	1	0
222	主线-果腹之食	1	221	-1	-1	-1	-1	1	0
223	主线-关照师弟	1	222	-1	-1	-1	-1	1	0
224	主线-清扫落叶	1	223	-1	-1	-1	-1	1	0
225	主线-心有所向	1	224	-1	-1	-1	-1	1	0
226	主线-帮忙相问	1	225	-1	-1	-1	-1	1	0
227	主线-普智师叔	1	226	-1	-1	-1	-1	1	0
228	主线-心有所惑	1	227	-1	-1	-1	-1	1	0
229	主线-婆娑苦境	1	228	-1	-1	-1	-1	1	0
230	主线-悲从中来	1	229	-1	-1	-1	-1	1	0
231	主线-施法补救	1	230	-1	-1	-1	-1	1	0
232	主线-千佛尊者	1	231	-1	-1	-1	-1	1	0
233	主线-不速之客	1	232	-1	-1	-1	-1	1	0
234	主线-心术不正	1	233	-1	-1	-1	-1	1	0
235	主线-噬血来历	1	234	-1	-1	-1	-1	1	0
236	主线-无字玉璧	1	235	-1	-1	-1	-1	1	0
237	主线-弟子未归	1	236	-1	-1	-1	-1	1	0
238	主线-探入合欢	1	237	-1	-1	-1	-1	1	0
239	主线-寻找师兄	1	238	-1	-1	-1	-1	1	0
240	主线-灵猴顽皮	1	239	-1	-1	-1	-1	1	0
241	主线-了解情况	1	240	-1	-1	-1	-1	1	0
242	主线-合欢服饰	1	1041	-1	-1	-1	-1	1	0
243	主线-混入合欢	1	242	-1	-1	-1	-1	1	0
244	主线-俊俏男子	1	243	-1	-1	-1	-1	1	0
245	主线-莺莺燕燕	1	244	-1	-1	-1	-1	1	0
246	主线-偷听谈话	1	245	-1	-1	-1	-1	1	0
247	主线-金铃禁地	1	246	-1	-1	-1	-1	1	0
248	主线-贿赂口风	1	247	-1	-1	-1	-1	1	0
249	主线-惹事师妹	1	248	-1	-1	-1	-1	1	0
250	主线-报告师兄	1	249	-1	-1	-1	-1	1	0
251	主线-起身回寺	1	250	-1	-1	-1	-1	1	0
252	主线-回禀尊者	1	251	-1	-1	-1	-1	1	0
253	主线-压制之法	1	252	-1	-1	-1	-1	1	0
254	主线-回见掌门	1	253	-1	-1	-1	-1	1	0
255	主线-空桑事发	1	254	-1	-1	-1	-1	1	0
256	主线-师兄同行	1	255	-1	-1	-1	-1	1	0
257	主线-轮回佛珠	1	256	-1	-1	-1	-1	1	0
258	【废弃】主线-飞行之法	999	-1	-1	-1	-1	-1	1	0
259	主线-不灭天灯	1	257	-1	-1	-1	-1	1	0
260	主线-空桑之行	1	923	-1	-1	-1	-1	1	0
261	主线-一路向北	1	72	-1	-1	-1	-1	2	0
262	主线-受伤师妹	1	261	-1	-1	-1	-1	2	0
263	主线-曼陀之花	1	262	-1	-1	-1	-1	2	0
264	主线-小巧心思	1	263	-1	-1	-1	-1	2	0
265	主线-朱雀圣使	1	264	-1	-1	-1	-1	2	0
266	主线-善意谎言	1	265	-1	-1	-1	-1	2	0
267	主线-同门关怀	1	266	-1	-1	-1	-1	2	0
268	主线-青龙圣使	1	641	-1	-1	-1	-1	2	0
269	主线-作乱山贼	1	268	-1	-1	-1	-1	2	0
270	主线-霸天之祸	1	269	-1	-1	-1	-1	2	0
271	主线-关键密信	1	270	-1	-1	-1	-1	2	0
272	主线-找出卧底	1	271	-1	-1	-1	-1	2	0
273	主线-血池禁地	1	272	-1	-1	-1	-1	2	0
274	主线-交手而战	1	273	-1	-1	-1	-1	2	0
275	主线-拜谒掌门	1	274	-1	-1	-1	-1	2	0
276	主线-掌门之意	1	275	-1	-1	-1	-1	2	0
277	主线-入门之试	1	276	-1	-1	-1	-1	2	0
278	主线-明王圣母	1	277	-1	-1	-1	-1	2	0
279	主线-歃血立契	1	278	-1	-1	-1	-1	2	0
280	主线-白虎圣使	1	279	-1	-1	-1	-1	2	0
281	主线-血阵试炼	1	280	-1	-1	-1	-1	2	0
282	主线-回禀掌门	1	281	-1	-1	-1	-1	2	0
283	主线-亲传之位	1	282	-1	-1	-1	-1	2	0
284	主线-心有不安	1	456	-1	-1	-1	-1	2	0
285	主线-鬼厉之名	1	284	-1	-1	-1	-1	2	0
286	主线-石室异动	1	285	-1	-1	-1	-1	2	0
287	主线-确认异宝	1	286	-1	-1	-1	-1	2	0
288	主线-加固禁制	1	287	-1	-1	-1	-1	2	0
289	主线-狐岐渊源	1	288	-1	-1	-1	-1	2	0
290	主线-玄武圣使	1	289	-1	-1	-1	-1	2	0
291	主线-整理古籍	1	290	-1	-1	-1	-1	2	0
292	主线-另寻他法	1	291	-1	-1	-1	-1	2	0
293	主线-回见鬼厉	1	292	-1	-1	-1	-1	2	0
294	主线-命是无缘	1	293	-1	-1	-1	-1	2	0
295	主线-心有愧疚	1	294	-1	-1	-1	-1	2	0
296	主线-召集弟子	1	295	-1	-1	-1	-1	2	0
297	主线-总堂之会	1	296	-1	-1	-1	-1	2	0
298	主线-闹事师兄	1	297	-1	-1	-1	-1	2	0
299	主线-自负无能	1	298	-1	-1	-1	-1	2	0
300	主线-杀生和尚	1	299	-1	-1	-1	-1	2	0
301	主线-何以服众	1	300	-1	-1	-1	-1	2	0
302	主线-盛情难却	1	301	-1	-1	-1	-1	2	0
303	主线-当断即断	1	302	-1	-1	-1	-1	2	0
304	主线-探入青云	1	303	-1	-1	-1	-1	2	0
305	主线-作乱山魈	1	304	-1	-1	-1	-1	2	0
306	主线-灵尊之怒	1	305	-1	-1	-1	-1	2	0
307	主线-小灰踪迹	1	306	-1	-1	-1	-1	2	0
308	主线-坚韧黑竹	1	307	-1	-1	-1	-1	2	0
309	主线-昔日之怨	1	308	-1	-1	-1	-1	2	0
310	主线-青云衣物	1	1042	-1	-1	-1	-1	2	0
311	主线-变身混入	1	310	-1	-1	-1	-1	2	0
312	主线-天机之秘	1	311	-1	-1	-1	-1	2	0
313	主线-魂牵梦萦	1	312	-1	-1	-1	-1	2	0
314	主线-出手相助	1	313	-1	-1	-1	-1	2	0
315	主线-千里传音	1	314	-1	-1	-1	-1	2	0
316	主线-朱雀之劝	1	315	-1	-1	-1	-1	2	0
317	主线-掌门之命	1	316	-1	-1	-1	-1	2	0
318	主线-死灰复燃	1	317	-1	-1	-1	-1	2	0
319	主线-宗主之命	1	318	-1	-1	-1	-1	2	0
320	主线-朱雀灵印	1	319	-1	-1	-1	-1	2	0
321	【废弃】主线-飞行之法	999	-1	-1	-1	-1	-1	2	0
322	主线-碑文拓印	1	320	-1	-1	-1	-1	2	0
323	主线-空桑之行	1	922	-1	-1	-1	-1	2	0
324	主线-普方师叔	1	216	-1	-1	-1	-1	1	0
325	主线-飞行之法	1	42	-1	-1	-1	-1	-1	0
326	支线-青云-宠物教学-萌宠情缘	13	-1	-1	-1	-1	-1	0	0
327	支线-青云-宠物教学-捕宠神器（道具领取）	13	326	-1	-1	-1	-1	0	0
328	支线-青云-宠物教学-路遇萌狗（宠物捕捉）	13	327	-1	-1	-1	-1	0	0
329	支线-青云-宠物教学-并肩作战（宠物出战）	13	328	-1	-1	-1	-1	0	0
330	支线-青云-宠物教学-带你变强（宠物升级）	13	329	-1	-1	-1	-1	0	0
331	支线-青云-宠物教学-更加强力（宠物加点）	13	330	-1	-1	-1	-1	0	0
332	【废弃】支线-青云-宠物教学-训练有素	99999	-1	-1	-1	-1	-1	-1	0
333	支线-合欢-宠物教学-萌宠情缘	13	-1	-1	-1	-1	-1	3	0
334	支线-合欢-宠物教学-捕宠神器（道具领取）	13	333	-1	-1	-1	-1	3	0
335	支线-合欢-宠物教学-路遇灵猴（宠物捕捉）	13	334	-1	-1	-1	-1	3	0
336	支线-合欢-宠物教学-并肩作战（宠物出战）	13	335	-1	-1	-1	-1	3	0
337	支线-合欢-宠物教学-带你变强（宠物升级）	13	336	-1	-1	-1	-1	3	0
338	支线-合欢-宠物教学-更加强力（宠物加点）	13	337	-1	-1	-1	-1	3	0
339	【废弃】支线-合欢-宠物教学-训练有素	99999	-1	-1	-1	-1	-1	-1	0
340	支线-天音-宠物教学-萌宠情缘	13	-1	-1	-1	-1	-1	1	0
341	支线-天音-宠物教学-捕宠神器（道具领取）	13	340	-1	-1	-1	-1	1	0
342	支线-天音-宠物教学-路遇灵猴（宠物捕捉）	13	341	-1	-1	-1	-1	1	0
343	支线-天音-宠物教学-并肩作战（宠物出战）	13	342	-1	-1	-1	-1	1	0
344	支线-天音-宠物教学-带你变强（宠物升级）	13	343	-1	-1	-1	-1	1	0
345	支线-天音-宠物教学-更加强力（宠物加点）	13	344	-1	-1	-1	-1	1	0
346	【废弃】支线-天音-宠物教学-训练有素	99999	-1	-1	-1	-1	-1	-1	0
347	支线-鬼王-宠物教学-萌宠情缘	13	-1	-1	-1	-1	-1	2	0
348	支线-鬼王-宠物教学-捕宠神器（道具领取）	13	347	-1	-1	-1	-1	2	0
349	支线-鬼王-宠物教学-路遇灵猴（宠物捕捉）	13	348	-1	-1	-1	-1	2	0
350	支线-鬼王-宠物教学-并肩作战（宠物出战）	13	349	-1	-1	-1	-1	2	0
351	支线-鬼王-宠物教学-带你变强（宠物升级）	13	350	-1	-1	-1	-1	2	0
352	支线-鬼王-宠物教学-更加强力（宠物加点）	13	351	-1	-1	-1	-1	2	0
353	【废弃】支线-鬼王-宠物教学-训练有素	99999	-1	-1	-1	-1	-1	-1	0
354	主线-仙风道骨	1	13	-1	-1	-1	-1	-1	0
355	主线-拜访老友	1	325	-1	-1	-1	-1	-1	0
356	主线-突来麻烦	1	30	-1	-1	-1	-1	-1	0
357	主线-酒醉红颜	1	356	-1	-1	-1	-1	-1	0
358	主线－询问其详	1	38	-1	-1	-1	-1	-1	0
359	主线-严惩逃兵	1	358	-1	-1	-1	-1	-1	0
360	主线-惩治匪患	1	52	-1	-1	-1	-1	-1	0
361	支线-幻月古洞	25	-1	-1	-1	-1	-1	-1	0
362	支线-草庙疑云	14	-1	-1	-1	-1	-1	-1	0
363	支线-死灵渊	16	-1	-1	-1	-1	-1	-1	0
364	支线-炼器渊	99999	-1	-1	-1	-1	-1	-1	0
365	支线-聚气	26	-1	-1	-1	-1	-1	-1	0
366	支线-加入帮会	13	-1	-1	-1	-1	-1	-1	0
367	支线-日常活动	25	-1	-1	-1	-1	-1	-1	0
368	主线-青云升级35级	1	135	-1	-1	-1	-1	-1	0
369	主线-鬼王升级35级	1	322	-1	-1	-1	-1	-1	0
370	主线-天音升级35级	1	259	-1	-1	-1	-1	-1	0
371	主线-合欢升级35级	1	196	-1	-1	-1	-1	-1	0
372	主线-空桑山-巡山喽啰	30	-1	137	260	323	197	-1	0
373	主线-空桑山-初探炼血	30	372	-1	-1	-1	-1	-1	0
374	主线-空桑山-买路钱	30	373	-1	-1	-1	-1	-1	0
375	主线-空桑山-拜见当家	30	374	-1	-1	-1	-1	-1	0
376	主线-空桑山-炼血死敌	30	375	-1	-1	-1	-1	-1	0
377	主线-空桑山-血幅肆虐	30	376	-1	-1	-1	-1	-1	0
378	主线-空桑山-怪异标记	30	377	-1	-1	-1	-1	-1	0
379	主线-空桑山-报告寨主	30	378	-1	-1	-1	-1	-1	0
380	主线-空桑山-以牙还牙	30	379	-1	-1	-1	-1	-1	0
381	主线-空桑山-相争空桑	30	380	-1	-1	-1	-1	-1	0
382	主线-空桑山-欲探空桑	30	381	-1	-1	-1	-1	-1	0
383	主线-空桑山-暗流涌动	30	382	-1	-1	-1	-1	-1	0
384	主线-空桑山-或可一用	30	383	-1	-1	-1	-1	-1	0
385	主线-空桑山-深入空桑	30	384	-1	-1	-1	-1	-1	0
386	主线-空桑山-路遇野狗	30	385	-1	-1	-1	-1	-1	0
387	主线-空桑山-人模狗样	30	386	-1	-1	-1	-1	-1	0
388	主线-空桑山-收服流寇	30	387	-1	-1	-1	-1	-1	0
389	主线-空桑山-炼血立威	30	388	-1	-1	-1	-1	-1	0
390	主线-空桑山-获取信任	30	389	-1	-1	-1	-1	-1	0
391	主线-空桑山-死灵深渊	30	390	-1	-1	-1	-1	-1	0
392	主线-空桑山-突遇袭击	30	2129	-1	-1	-1	-1	-1	0
393	主线-空桑山-白衣飘飘-青云	30	392	-1	-1	-1	-1	0	0
394	主线-空桑山-白衣飘飘-天音	30	392	-1	-1	-1	-1	1	0
395	主线-空桑山-白衣飘飘-鬼王	30	392	-1	-1	-1	-1	2	0
396	主线-空桑山-白衣飘飘-合欢	30	392	-1	-1	-1	-1	3	0
397	主线-空桑山-探索浮台	30	-1	393	394	395	396	-1	0
398	主线-空桑山-嘈杂树林	30	397	-1	-1	-1	-1	-1	0
399	主线-空桑山-黑水玄蛇	30	398	-1	-1	-1	-1	-1	0
400	主线-空桑山-死里逃生	30	399	-1	-1	-1	-1	-1	0
401	主线-空桑山-再生变故	30	400	-1	-1	-1	-1	-1	0
402	主线-空桑山-逃离危机	30	401	-1	-1	-1	-1	-1	0
403	主线-空桑山-分头行动	30	402	-1	-1	-1	-1	-1	0
404	主线-空桑山-重整旗鼓	30	403	-1	-1	-1	-1	-1	0
