Id	Name	Name	Title	ResPath	CommonAnimPath	AnimPath	HeadPic	HalfFakeOjbID	HeadInfoHeight	DamageBoardHeight	Scale	DeadSound01	DeadSound02	DeadSound03	DeadEffectId	SpecialStandAnimId	SpecialRunAnimId	SpecialDeadAnimId	AttackSoundRate	AttcackSoundId	HitSoundRate	HitSoundId	ModelType	EffectScale	OffsetX	OffsetY	OffsetZ	ColliderRadius	ColliderHeight	NpcAttack1SoundId	NpcAttack2SoundId
7	合欢女	主角：合欢	主角	Zy_hehuannv_001		Animation/Player/Woman/Hehuan	head-xiaoyao	51	1.6	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	2	-1	0	0	0	0.5	3	-1	-1
8	BOSS九幽冥蛇	九幽冥蛇	BOSS	Npc_jiumingxuanshe_1		Animation/NPC/Animal/Snake	DaLiHead	17	6	2	1	103	103	103	-1	-1	-1	-1	0	-1	0	-1	4	-1	0	0	0	0.5	3	-1	-1
9	BOSS毒神	毒神	BOSS	Npc_dushen_1		Animation/NPC/Man/MatureMan/Magic	DaLiHead	293	3.3	3.5	2	188	188	188	48	-1	-1	61	0	-1	0	-1	1	-1	0	0	0	0.5	3	-1	-1
10	青云男新手装（废弃）	主角：青云	主角	Zy_qingyunnan_001		Animation/Player/Man/Qingyun	head-shaolin	17	1.8	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	1	-1	0	0	0	0.5	3	-1	-1
11	青云女-搀扶站立（任务用）	青云弟子	青云NPC	Mission_qingyunnannv_HurtStand		Animation/Player/Man/Qingyun	head-shaolin	17	1.8	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	1	-1	0	0	0	0.5	3	-1	-1
12	青云男-受伤躺着（任务用）	青云受伤弟子	青云NPC	Mission_qingyunnan_Hurt01		Animation/Player/Man/Qingyun	head-shaolin	17	0.8	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	1	-1	0	0	0	0.5	3	-1	-1
13	青云女-受伤躺着（任务用）	青云受伤弟子	青云NPC	Mission_qingyunnv_Hurt02		Animation/Player/Woman/Qingyun	head-shaolin	17	0.8	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	2	-1	0	0	0	0.5	3	-1	-1
14	青云女-受伤坐着（任务用）	青云受伤弟子	青云NPC	Mission_qingyunnv_Hurt01		Animation/Player/Woman/Qingyun	head-shaolin	17	1.2	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	1	-1	0	0	0	0.5	3	-1	-1
15	青云男-受伤坐着（任务用）	青云受伤弟子	青云NPC	Mission_qingyunnan_Hurt02		Animation/Player/Man/Qingyun	head-shaolin	17	1.2	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	2	-1	0	0	0	0.5	3	-1	-1
16	碧瑶	碧瑶	NPC	Npc_biyao_1		Animation/NPC/Woman/MatureWoman/Magic	head-shaolin	304	1.6	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	2	-1	0	0	0	0.5	3	-1	-1
17	陆雪琪	陆雪琪	NPC	Npc_luxueqi_1		Animation/NPC/Woman/MatureWoman/One_Sword	head-shaolin	306	1.6	2	1	25	247	248	-1	-1	-1	-1	0	-1	0	-1	2	-1	0	0	0	0.5	3	217	218
18	青云男NPC	青云NPC	NPC	Npc_qingyunnandizi_1		Animation/NPC/Man/MatureMan/One_Sword	head-shaolin	296	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	123	123
19	青云女NPC	青云NPC	NPC	Npc_qingyunnvdizi_1		Animation/NPC/Woman/MatureWoman/One_Sword	head-shaolin	306	1.6	2	1	25	247	248	-1	-1	-1	-1	50	12	80	18	2	-1	0	0	0	0.5	3	123	123
20	鬼王男NPC	鬼王NPC	NPC	Npc_guiwangnandizi_1		Animation/NPC/Man/MatureMan/One_Sword	TianShanHead	296	1.8	2	1	24	23	22	-1	-1	-1	-1	50	15	80	21	1	-1	0	0	0	0.5	3	123	123
21	鬼王女NPC	鬼王NPC	NPC	Npc_guiwangnvdizi_1		Animation/NPC/Woman/MatureWoman/One_Sword	TianShanHead	306	1.6	2	1	25	247	248	-1	-1	-1	-1	50	14	80	20	2	-1	0	0	0	0.5	3	123	123
22	小环	河阳城NPC	NPC	Npc_xiaohuan_1		Animation/NPC/Woman/MatureWoman/One_Sword	head-shaolin	306	1.6	2	1	25	247	248	-1	-1	-1	-1	50	12	80	18	2	-1	0	0	0	0.5	3	-1	-1
23	空NPC			Npc_empty				-1	0.4	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	-1	0	0	0	0.5	3	-1	-1
24	张小凡	张小凡	NPC	Npc_zhangxiaofan_1		Animation/NPC/Man/MatureMan/One_Sword	head-shaolin	296	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
25	道玄	道玄	NPC	Npc_daoxuanzhenren_1		Animation/NPC/Man/MatureMan/Magic	head-shaolin	293	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
26	周一仙	周一仙	NPC	Npc_zhouyixian_1		Animation/NPC/Man/MatureMan/Long_Magic	head-shaolin	292	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
27	张小凡初期	张小凡	NPC	Npc_zhangxiaofan_2		Animation/NPC/Man/MatureMan/One_Sword	head-shaolin	296	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
28	青云男新手装（废弃）	主角：青云	主角	Zy_qingyunnan_001		Animation/Player/Man/Qingyun	head-shaolin	27	1.8	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	1	-1	0	0	0	0.5	3	-1	-1
29	青云女新手装（废弃）	主角：青云	主角	Zy_qingyunnv_001		Animation/Player/Woman/Qingyun	head-shaolin	28	1.6	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	1	-1	0	0	0	0.5	3	-1	-1
30	青云男20级装备（废弃）	主角：青云	主角	Zy_qingyunnan_020		Animation/Player/Man/Qingyun	head-shaolin	29	1.8	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	1	-1	0	0	0	0.5	3	-1	-1
31	青云女20级装备（废弃）	主角：青云	主角	Zy_qingyunnv_010		Animation/Player/Woman/Qingyun	head-shaolin	30	1.6	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	1	-1	0	0	0	0.5	3	-1	-1
32	青云男40级装备（废弃）	主角：青云	主角	Zy_qingyunnan_040		Animation/Player/Man/Qingyun	head-shaolin	31	1.8	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	1	-1	0	0	0	0.5	3	-1	-1
33	青云女40级装备（废弃）	主角：青云	主角	Zy_qingyunnv_040		Animation/Player/Woman/Qingyun	head-shaolin	32	1.6	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	1	-1	0	0	0	0.5	3	-1	-1
34	河阳城-如花	如花	NPC	Npc_wenmin_1		Animation/NPC/Woman/MatureWoman/Magic	head-shaolin	304	1.6	2	1	25	247	248	-1	-1	-1	-1	50	12	80	18	2	-1	0	0	0	0.5	3	-1	-1
35	河阳城-青云弟子	青云弟子	NPC	Npc_qingyunnandizi_1		Animation/NPC/Man/MatureMan/One_Sword	head-shaolin	296	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	123	123
36	河阳城-神秘人	神秘人	NPC	Npc_cangsongdaoren_1		Animation/NPC/Man/MatureMan/Magic	DaLiHead	293	1.8	2	1	24	23	22	-1	-1	-1	-1	50	-1	80	19	1	-1	0	0	0	0.5	3	515	516
37	河阳城-何叔	何叔	NPC	Npc_chefu_1		Animation/NPC/Man/MatureMan/No_Weapon	head-shaolin	295	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
38	河阳城-小二	小二	NPC	Npc_dianxiaoer_1		Animation/NPC/Man/MatureMan/No_Weapon	head-shaolin	295	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
39	河阳城-王二叔	王二叔	NPC	Npc_chefu_1		Animation/Player/Man/Qingyun	head-shaolin	240	1.8	2	1	24	23	22	-1	225	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
40	河阳城-肥龙	肥龙	NPC	Npc_feilong_1		Animation/NPC/Man/Fat/Magic	DaLiHead	290	2.2	2.5	1.5	115	115	115	-1	-1	-1	-1	0	-1	80	116	1	-1	0	0	0	0.5	3	121	122
41	河阳城-冷相师	冷相师	NPC	Npc_xiaonanhai_1		Animation/NPC/Man/Child/No_Weapon	head-shaolin	289	1.8	2	1	501	501	501	-1	-1	-1	-1	50	496	80	500	1	-1	0	0	0	0.5	3	497	498
42	河阳城-常箭	常箭	青云山接引人	Npc_qingyunnandizi_1		Animation/NPC/Man/MatureMan/One_Sword	head-shaolin	296	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
43	河阳城-法善	法善	天音寺接引人	Npc_faxiang_1		Animation/NPC/Man/MatureMan/Magic	DaLiHead	293	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
44	河阳城-燕回	燕回	鬼王宗接引人	Npc_guiwangnandizi_1		Animation/NPC/Man/MatureMan/One_Sword	TianShanHead	296	1.8	2	1	24	23	22	-1	-1	-1	-1	50	15	80	21	1	-1	0	0	0	0.5	3	-1	-1
45	河阳城-赵绯燕	赵绯燕	合欢谷接引人	Npc_yanhong_1		Animation/NPC/Woman/MatureWoman/No_Weapon	head-shaolin	305	1.6	2	1	25	247	248	-1	-1	-1	-1	50	14	80	20	2	-1	0	0	0	0.5	3	506	507
46	河阳城-武器师	武器师	NPC	Npc_tiejiang_1		Animation/NPC/Man/Strong/One_Sword	head-shaolin	300	2.1	2.3	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
47	河阳城-城主	万云天	城主	Npc_chengzhu_1		Animation/NPC/Woman/MatureWoman/Magic	TianShanHead	304	1.6	2	1	25	247	248	-1	-1	-1	-1	50	14	80	20	2	-1	0	0	0	0.5	3	-1	-1
48	河阳城-怨灵	怨灵	怪物	Npc_yuanlingnv_1		Animation/NPC/Woman/MatureWoman/Ghost	head-shaolin	302	1.8	2	1	75	75	75	-1	-1	-1	-1	0	-1	80	79	2	-1	0	0	0	0.5	3	71	280
49	河阳城-逃兵	逃兵	怪物	Npc_jiading_1		Animation/NPC/Man/MatureMan/No_Weapon	TianShanHead	295	1.8	2	1	24	23	22	-1	-1	-1	-1	50	15	80	21	1	-1	0	0	0	0.5	3	123	123
50	河阳城-土匪	土匪	怪物	Npc_jiading_1		Animation/NPC/Man/MatureMan/No_Weapon	TianShanHead	295	1.8	2	1	24	23	22	-1	-1	-1	-1	50	15	80	21	1	-1	0	0	0	0.5	3	123	123
51	河阳城-发狂野猪	发狂野猪	怪物	Npc_yezhu_2		Animation/NPC/Animal/Pig	TianShanHead	52	1.3	1.5	0.6	76	76	76	-1	-1	-1	-1	0	-1	80	78	3	-1	0	0	0	0.5	3	252	253
52	河阳城-贺三爷	贺三爷	NPC	Npc_shanzei_1		Animation/NPC/Man/MatureMan/One_Sword	TianShanHead	296	2	2.2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	263	264
53	通用-黑衣人	？？？	NPC	Npc_qingyunnandizi_1		Animation/NPC/Man/MatureMan/One_Sword	head-shaolin	296	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
54	主线-寐鱼佳肴	寐鱼	吃我	Mission_qingyunnan_Hurt01				-1	0	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	-1	0	0	0	0.5	3	-1	-1
55	主线-如梦似幻	银花树	看我	Mission_qingyunnv_Hurt02				-1	0	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	-1	0	0	0	0.5	3	-1	-1
56	主线-诛妖之令	告示	揭我	Mission_qingyunnv_Hurt01				-1	0	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	-1	0	0	0	0.5	3	-1	-1
57	主线-血戾之物	血戾之物	用我	Mission_qingyunnan_Hurt02				-1	0	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	-1	0	0	0	0.5	3	-1	-1
58	河阳城-裁缝	裁缝	NPC	Npc_caifeng_1		Animation/NPC/Woman/MatureWoman/No_Weapon	head-shaolin	305	1.8	2	1	25	247	248	-1	-1	-1	-1	50	14	80	20	2	-1	0	0	0	0.5	3	506	507
59	河阳城-药/宠物商	药/宠物商	NPC	Npc_xiaoqian_1		Animation/NPC/Woman/MatureWoman/Magic	head-shaolin	304	1.8	2	1	25	247	248	-1	-1	-1	-1	50	14	80	20	2	-1	0	0	0	0.5	3	-1	-1
60	河阳城-帮会/家族使者	帮会/家族使者	NPC	Npc_banghuijiazushizhe_1		Animation/NPC/Man/Strong/No_Weapon	DaLiHead	299	2.1	2.3	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
61	河阳城-酒楼/钱庄老板	酒楼/钱庄老板	NPC	Npc_qianzhuanglaoban_1		Animation/NPC/Man/Fat/No_Weapon	head-shaolin	290	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
62	河阳城-铁匠	铁匠	NPC	Npc_tiejiang_1		Animation/NPC/Man/Strong/One_Sword	head-shaolin	300	2.1	2.3	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
63	河阳城-马车和车夫	马车和车夫	NPC	Npc_chefu_1		Animation/NPC/Man/MatureMan/No_Weapon	head-shaolin	295	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
64	河阳城-赌坊赌徒	赌坊赌徒	NPC	Npc_dutu_1		Animation/NPC/Man/MatureMan/No_Weapon	head-shaolin	295	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
65	河阳城-书生	书生	NPC	Npc_shusheng_1		Animation/NPC/Man/MatureMan/No_Weapon	head-shaolin	295	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
66	河阳城-小孩男	小男孩	NPC	Npc_xiaonanhai_1		Animation/NPC/Man/Child/No_Weapon	head-shaolin	289	1.8	2	1	501	501	501	-1	-1	-1	-1	50	496	80	500	1	-1	0	0	0	0.5	3	497	498
67	河阳城-小孩女	小女孩	NPC	Npc_xiaonvhai_1		Animation/NPC/Man/Child/No_Weapon	TianShanHead	289	1.6	2	1	25	247	248	-1	-1	-1	-1	50	14	80	20	2	-1	0	0	0	0.5	3	-1	-1
68	河阳城-月老	月老	NPC	Npc_yuelao_1		Animation/NPC/Man/Fat/No_Weapon	head-shaolin	290	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
69	河阳城-老太	老太	NPC	Npc_laotaitai_1		Animation/NPC/Man/Fat/No_Weapon	head-shaolin	290	1.6	2	1	25	247	248	-1	-1	-1	-1	50	12	80	18	2	-1	0	0	0	0.5	3	-1	-1
70	河阳城-乞丐	乞丐	NPC	Npc_qigai_1		Animation/NPC/Man/MatureMan/One_Sword	head-shaolin	296	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
71	河阳城-卫兵	卫兵	NPC	Npc_weibing_1		Animation/NPC/Man/Strong/Long_Weapon	head-shaolin	297	2.1	2.3	1	24	23	22	-1	-1	-1	-1	50	550	80	19	1	-1	0	0	0	0.5	3	548	549
72	河阳城-卖糖葫芦的小贩	卖糖葫芦的小贩	NPC	Npc_tanghuluxiaofan_1		Animation/NPC/Man/MatureMan/Long_Magic	head-shaolin	292	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
73	河阳城-渔翁	渔翁	NPC	Npc_yuweng_1		Animation/NPC/Man/MatureMan/Magic	head-shaolin	293	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
74	河阳城-少妇	少妇	NPC	Npc_shaofu_1		Animation/NPC/Woman/MatureWoman/Magic	head-shaolin	304	1.8	2	1	25	247	248	-1	-1	-1	-1	50	12	80	18	2	-1	0	0	0	0.5	3	-1	-1
75	河阳城-任务-焚烧衣物1	焚烧衣物	烧我	Npc_Pobudui_1				-1	0.8	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	-1	0	0	0	0.5	3	-1	-1
76	天音寺-何老伯	何老伯	NPC	Npc_yuweng_1		Animation/NPC/Man/MatureMan/Magic	head-shaolin	293	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
77	天音寺-法明	法明	NPC	Npc_shitou_1		Animation/NPC/Man/Child/Long_Weapon	DaLiHead	289	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
78	天音寺-法相	法相	NPC	Npc_faxiang_1		Animation/NPC/Man/MatureMan/Magic	DaLiHead	293	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
79	天音寺-法善	法善	NPC	Npc_faxiang_1		Animation/NPC/Man/MatureMan/Magic	DaLiHead	293	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
80	天音寺-普泓上人	普泓上人	NPC	Npc_puhong_1		Animation/NPC/Man/MatureMan/Magic	DaLiHead	293	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
81	天音寺-普方	普方	NPC	Npc_pushan_1		Animation/NPC/Man/Strong/Long_Weapon	DaLiHead	297	2.2	2.5	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
82	天音寺-普德	普德	NPC	Npc_pude_1		Animation/NPC/Man/MatureMan/No_Weapon	DaLiHead	295	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
83	天音寺-道玉	道玉	NPC	Npc_pude_1		Animation/NPC/Man/MatureMan/No_Weapon	DaLiHead	295	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
84	天音寺-道衍	道衍	NPC	Npc_puzhi_1		Animation/NPC/Man/Fat/Magic	DaLiHead	290	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	121	122
85	天音寺-观棋	观棋	NPC	Npc_tianyinnandizi_1		Animation/NPC/Man/MatureMan/Long_Magic	DaLiHead	292	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	494	495
86	天音寺-观嗔	观嗔	NPC	Npc_tianyinnandizi_1		Animation/NPC/Man/MatureMan/Long_Magic	DaLiHead	292	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	494	495
87	天音寺弟子	天音寺弟子	怪物	Npc_tianyinnandizi_1		Animation/NPC/Man/MatureMan/Long_Magic	DaLiHead	292	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	494	495
88	红云僧	红云僧	怪物	Npc_baiduzi_1		Animation/NPC/Man/Child/Magic	head-shaolin	289	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
89	神火教弟子	神火教弟子	怪物	Npc_yaoseng_1		Animation/NPC/Man/MatureMan/No_Weapon	head-shaolin	295	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
90	神火教护法	神火教护法	怪物	Npc_dushi_2		Animation/NPC/Man/MatureMan/No_Weapon	head-shaolin	295	1.8	2	1	188	188	188	-1	-1	-1	-1	0	-1	80	189	1	-1	0	0	0	0.5	3	72	187
91	鬼王宗-鬼王	鬼王	NPC	Npc_guiwang_1		Animation/NPC/Man/Strong/Magic	head-shaolin	298	2.1	2.3	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
92	鬼王宗-鬼厉	鬼厉	NPC	Npc_zhangxiaofan_1		Animation/NPC/Man/MatureMan/One_Sword	head-shaolin	296	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
93	鬼王宗-碧瑶	碧瑶	NPC	Npc_biyao_1		Animation/NPC/Woman/MatureWoman/Magic	head-shaolin	304	1.6	2	1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	2	-1	0	0	0	0.5	3	-1	-1
94	鬼王宗-青龙	青龙	NPC	Npc_qinglong_1		Animation/NPC/Man/MatureMan/No_Weapon	DaLiHead	295	1.8	2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
95	鬼王宗-白虎	白虎	NPC	Npc_baihu_1		Animation/NPC/Man/Strong/No_Weapon	DaLiHead	299	2.1	2.3	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
96	鬼王宗-朱雀	朱雀	NPC	Npc_youji_1		Animation/NPC/Woman/MatureWoman/One_Sword	head-shaolin	306	1.8	2	1	25	247	248	-1	-1	-1	-1	50	12	80	18	2	-1	0	0	0	0.5	3	-1	-1
97	鬼王宗-玄武	玄武	NPC	Npc_xuanwu_1		Animation/NPC/Man/Fat/No_Weapon	head-shaolin	290	2.1	2.3	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
98	鬼王宗-燕回	燕回	NPC	Npc_guiwangnandizi_1		Animation/NPC/Man/MatureMan/One_Sword	TianShanHead	296	1.8	2	1	24	23	22	-1	-1	-1	-1	50	15	80	21	1	-1	0	0	0	0.5	3	-1	-1
99	鬼王宗-杀生和尚	杀生和尚	NPC	Npc_pushan_1		Animation/NPC/Man/Strong/Long_Weapon	DaLiHead	297	2.2	2.5	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	-1	-1
100	鬼王宗-萧肃	萧肃	NPC	Npc_guiwangnandizi_1		Animation/NPC/Man/MatureMan/One_Sword	TianShanHead	296	1.8	2	1	24	23	22	-1	-1	-1	-1	50	15	80	21	1	-1	0	0	0	0.5	3	490	491
101	鬼王宗-凌烟	凌烟	NPC	Npc_guiwangnvdizi_1		Animation/NPC/Woman/MatureWoman/One_Sword	TianShanHead	306	1.6	2	1	25	247	248	-1	-1	-1	-1	50	14	80	20	2	-1	0	0	0	0.5	3	123	123
102	鬼王宗-看守弟子	看守弟子	NPC	Npc_guiwangnandizi_1		Animation/NPC/Man/MatureMan/One_Sword	TianShanHead	296	1.8	2	1	24	23	22	-1	-1	-1	-1	50	15	80	21	1	-1	0	0	0	0.5	3	-1	-1
103	山贼	山贼	怪物	Npc_shanzei_1		Animation/NPC/Man/MatureMan/One_Sword	TianShanHead	296	2	2.2	1	24	23	22	-1	-1	-1	-1	50	13	80	19	1	-1	0	0	0	0.5	3	263	264
104	总堂弟子	总堂弟子	怪物	Npc_guiwangnandizi_1		Animation/NPC/Man/MatureMan/One_Sword	TianShanHead	296	1.8	2	1	24	23	22	-1	-1	-1	-1	50	15	80	21	1	-1	0	0	0	0.5	3	-1	-1
105	分堂弟子	分堂弟子	怪物	Npc_guiwangnvdizi_1		Animation/NPC/Woman/MatureWoman/One_Sword	TianShanHead	306	1.6	2	1	25	247	248	-1	-1	-1	-1	50	14	80	20	2	-1	0	0	0	0.5	3	123	123
106	白狐	白狐	怪物	Npc_huli_1		Animation/NPC/Animal/Fox	TianShanHead	23	1.5	1.8	1.3	589	589	589	-1	-1	-1	-1	0	-1	0	-1	3	-1	0	0	0	0.5	3	587	588
