Id	Desc	FashionPart	VisualId	Name	ProfessionReq	SexReq	Atlas	Icon	FashionDesc	IsSell	BuyKeywords	Material1	Material2	Material3	Material4	ShowSort	IsShow	ColorId1	ColorId2	ColorId3	ColorId4	ColorId5
33	低级结婚时装-衣服	2	109	桃花装·衣	-1	-1	IconPlusAtlas	Sz_Nan_TaoHua_01	举办婚礼后获得	0	桃花装·衣	-1	-1	-1	-1	6	1	-1	-1	-1	-1	-1
34	孔雀时装-衣服	2	112	孔雀装·衣	-1	-1	Icon	kongqueshizhuang	在商城购买获得	1	孔雀装·衣	-1	-1	-1	-1	7	1	-1	-1	-1	-1	-1
35	云渺	2	113	云渺装·衣	-1	-1	Icon	qingyun_60	在商城购买获得	1	云渺装·衣	-1	-1	-1	-1	5	1	7	8	9	-1	-1
36	千机	2	138	千机装·衣	-1	-1	IconPlusAtlas	Sz_Nan_QianJi_01	在商城购买获得	1	千机装·衣	-1	-1	-1	-1	4	1	-1	-1	-1	-1	-1
37	VIP16时装	2	158	金鱼装·衣	-1	-1	Icon	yuweishizhuang	到VIP16领取获得	0	金鱼装·衣	-1	-1	-1	-1	7	1	-1	-1	-1	-1	-1
38	女-灵狐装头部	1	145	灵狐装·发	-1	1	Icon	Fx_nv_07	在商城购买获得	1	灵狐装·发	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
39	女-发型10	1	149	念露·发	-1	1	Icon	Fx_nv_11	在商城购买获得	1	念露·发	-1	-1	-1	-1	3	1	-1	-1	-1	-1	-1
40	碧瑶贰·发	1	150	碧瑶贰·发	-1	1	IconPlusAtlas	Fx_nv_BiYao	在商城购买获得	1	碧瑶贰·发	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
41	女-发型3	1	28	惜卉·发	-1	1	IconPlusAtlas	Fx_nv_XiHui	在商城购买获得	1	惜卉·发	-1	-1	-1	-1	3	1	-1	-1	-1	-1	-1
42	女-发型4	1	144	觅丝·发	-1	1	Icon	Fx_nv_04	在商城购买获得	1	觅丝·发	-1	-1	-1	-1	3	1	-1	-1	-1	-1	-1
43	女-发型8	1	31	又凝·发	-1	1	Icon	Fx_nv_08	在商城购买获得	1	又凝·发	-1	-1	-1	-1	3	1	-1	-1	-1	-1	-1
44	男-灵狐装头部	1	140	灵狐装·发	-1	0	Icon	Fx_nan_06	在商城购买获得	1	灵狐装·发	-1	-1	-1	-1	2	1	-1	-1	-1	-1	-1
45	男-发型1	1	21	亦秋·发	-1	0	Icon	Fx_nan_01	在商城购买获得	1	亦秋·发	-1	-1	-1	-1	3	1	-1	-1	-1	-1	-1
46	男-发型13	1	141	冰筠·发	-1	0	Icon	Fx_nan_13	在商城购买获得	1	冰筠·发	-1	-1	-1	-1	3	1	-1	-1	-1	-1	-1
47	男-发型14	1	142	芷香·发	-1	0	Icon	Fx_nan_14	在商城购买获得	1	芷香·发	-1	-1	-1	-1	3	1	-1	-1	-1	-1	-1
48	男-发型16	1	143	问蕊·发	-1	0	Icon	Fx_nan_16	在商城购买获得	1	问蕊·发	-1	-1	-1	-1	3	1	-1	-1	-1	-1	-1
49	男-发型8（废弃）	1	147	飞亦·发	-1	0	Icon	Fx_nan_08	在商城购买获得	1	飞亦·发	-1	-1	-1	-1	3	0	-1	-1	-1	-1	-1
50	男-发型9	1	148	采山·发	-1	0	Icon	Fx_nan_09	在商城购买获得	1	采山·发	-1	-1	-1	-1	3	1	-1	-1	-1	-1	-1
51	高级结婚时装-衣服	2	111	天缘装·衣	-1	-1	IconPlusAtlas	Sz_Nan_TianYuan_01	完成夫妻进阶任务后获得	0	天缘装·衣	-1	-1	-1	-1	6	1	4	5	6	-1	-1
52	时装-九尾狐	2	139	灵狐装·衣	-1	-1	IconPlusAtlas	Sz_Nan_LingHu_01	开启宝箱有概率获得	1	灵狐装·衣	-1	-1	-1	-1	2	1	1	2	3	-1	-1
53	桃花装蓝色变色	2	153	青鸾装·衣	-1	-1	Icon	chujijiehunshizhuang	在商城购买获得	1	青鸾装·衣	-1	-1	-1	-1	6	1	-1	-1	-1	-1	-1
54	新·鬼厉装衣服	2	162	鬼厉装·衣	-1	0	IconPlusAtlas	Sz_nan_GuiLi_02	在商城购买获得	1	鬼厉装·衣	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
55	新·雪琪装衣服	2	163	雪琪装·衣	-1	1	IconPlusAtlas	Sz_Nv_XueQi_02	在商城购买获得	1	雪琪装·衣	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
56	新·碧瑶装衣服	2	164	碧瑶装·衣	-1	1	IconPlusAtlas	Sz_Nv_BiYao_02	在商城购买获得	1	碧瑶装·衣	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1
57	新·鬼厉装头部	1	159	鬼厉装·发	-1	0	IconPlusAtlas	Fx_nan_GuiLi_02	在商城购买获得	1	鬼厉装·发	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
58	新·雪琪装头部	1	160	雪琪装·发	-1	1	IconPlusAtlas	Fx_Nv_XueQi_02	在商城购买获得	1	雪琪装·发	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
59	新·碧瑶装头部	1	161	碧瑶装·发	-1	1	IconPlusAtlas	Fx_nv_BiYao_02	在商城购买获得	1	碧瑶装·发	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1
60	校服头部 - 女	1	171	校服装·发	-1	-1	IconPlusAtlas	xuesheng_fa_nv	敬请期待	0	校服装·发	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
61	校服衣服 - 女	2	168	校服装·衣	-1	-1	IconPlusAtlas	xuesheng_nv	敬请期待	0	校服装·衣	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
62	月娥装头部 - 女	1	172	月娥装·发	-1	-1	IconPlusAtlas	zhongqiu_fa_nv	在商城购买获得	1	月娥装·发	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
63	月娥装衣服 - 女	2	170	月娥装·衣	-1	-1	IconPlusAtlas	zhongqiu_nv	在商城购买获得	1	月娥装·衣	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
64	丹青装衣服 - 女	2	169	丹青装·衣	-1	-1	IconPlusAtlas	shitu_nv	在侠义值商店兑换获得	0	丹青装·衣	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
65	凤凰装·发	1	174	凤凰装·发	-1	-1	IconPlusAtlas	Fx_FengHuang	官方活动	0	凤凰装·发	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
66	凤凰装·衣	2	173	凤凰装·衣	-1	-1	IconPlusAtlas	Sz_FengHuang	官方活动	0	凤凰装·衣	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
67	南瓜头饰	1	177	南瓜头饰	-1	-1	IconPlusAtlas	nanguatou_fa	在商城购买获得	1	南瓜头饰	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
68	精灵头饰	1	179	精灵头饰	-1	-1	IconPlusAtlas	xixuegui_fa	在商城购买获得	1	精灵头饰	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
69	舞会头饰	1	178	舞会头饰	-1	-1	IconPlusAtlas	jiamian_fa	在商城购买获得	1	舞会头饰	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
70	修罗装·衣	2	175	修罗装·衣	-1	-1	Icon	xiuluoshizhuang	敬请期待	0	修罗装·衣	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
71	单身狗·发	1	180	单身狗·发	-1	-1	IconPlusAtlas	danshengou_fa	官方活动	0	单身狗·发	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
72	圣诞壹·发	1	181	圣诞壹·发	-1	-1	IconPlusAtlas	shizhuang_shengdan_mao	在商城购买获得	0	圣诞壹·发	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
73	圣诞壹·衣	2	182	圣诞壹·衣	-1	-1	IconPlusAtlas	shizhuang_shengdan_yi	官方活动	0	圣诞壹·衣	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
74	圣诞贰·发	1	183	圣诞贰·发	-1	-1	IconPlusAtlas	Fx_FengHuang	敬请期待	0	圣诞贰·发	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1
75	圣诞贰·衣	2	184	圣诞贰·衣	-1	-1	IconPlusAtlas	Sz_FengHuang	敬请期待	0	圣诞贰·衣	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1
76	圣诞壹·武	3	185	圣诞壹·武	-1	-1	IconPlusAtlas	shizhuang_wuqi_qingyun_1	在商城购买获得	0	圣诞壹·武	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
77	星辰装·武	3	186	星辰装·武	-1	-1	IconPlusAtlas	Sz_Wq_XingChen	参加官网活动获得	0	星辰装·武	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
78	新年壹·衣	2	187	春绛花·衣	-1	-1	IconPlusAtlas	Sz_XinNian_01	官方活动	0	春绛花·衣	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
79	新年壹·发	1	189	春绛花·发	-1	-1	IconPlusAtlas	Fx_XinNian_01	官方活动	0	春绛花·发	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
80	新年贰·衣	2	188	雪绒舞·衣	-1	-1	IconPlusAtlas	Sz_XinNian_02	在商城购买获得	0	雪绒舞·衣	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
81	新年贰·发	1	190	雪绒舞·发	-1	-1	IconPlusAtlas	Fx_XinNian_02	在商城购买获得	0	雪绒舞·发	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
82	连理枝·发	1	209	连理枝·发	-1	-1	IconShortAtlas	qingrenjiediji	在商城购买获得	1	连理枝·发	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
83	连理枝·衣	2	210	连理枝·衣	-1	-1	IconPlusAtlas	qingrenjie_chuji	活动大使若初见处兑换获得	0	连理枝·衣	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
84	比翼鸟·发	1	211	比翼鸟·发	-1	-1	IconPlusAtlas	qingrenjiefaxing	在商城购买获得	1	比翼鸟·发	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
85	比翼鸟·衣	2	212	比翼鸟·衣	-1	-1	IconPlusAtlas	sz_qingrenjie_gao	千里情缘花束牵活动获得	0	比翼鸟·衣	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
86	千机黄·衣	2	157	千机黄·衣	-1	-1	IconPlusAtlas	tianji_huang	在夫妻副本获得	0	千机黄·衣	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
87	中国结·武	3	208	中国结·武	-1	-1	IconPlusAtlas	chunjiewuqi	在商城购买获得	0	中国结·武	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
88	绿楹装·衣	2	213	绿楹装·衣	-1	1	IconPlusAtlas	hehuan40zhenxianlv	在商城购买获得	1	绿楹装·衣	-1	-1	-1	-1	0	1	-1	-1	-1	-1	-1
89	白玉·武	3	214	白玉·武	-1	-1	IconShortAtlas	baiyuwuqi	敬请期待	0	白玉·武	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1
90	蝴蝶装·衣	2	215	蝴蝶装·衣	-1	-1	Icon	hudieshizhuang	敬请期待	0	蝴蝶装·衣	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1
91	蝴蝶装·发	1	216	蝴蝶装·发	-1	-1	IconShortAtlas	hudiezhuangnv	敬请期待	0	蝴蝶装·发	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1
