Id	Desc	Name	MountDesc	MountSource	ModelID	Speed_1	BuffID_1	Speed_2	BuffID_2	IsShowInUI	MemberCount	Atlas	ICON
35	诛仙剑坐骑	诛仙剑	诛仙剑	法宝图鉴激活[B75620]诛仙剑[-]后，永久获得	34	150	480000	165	480001	39	1	Icon	fabao_zhuxianjian
36	镇魔古洞掉落坐骑	赤焰麒麟	赤焰麒麟	2人骑乘，镇魔古洞隐藏BOSS几率掉落	39	150	480000	165	480001	53	2	Icon	chiyanqilin
37	七脉会武高级奖励座骑	奎宿	奎宿	2人骑乘，七脉会武每赛季最终获得王者组第一名奖励	40	150	480000	165	480001	55	2	Icon	kuisu
38	花嫁	花嫁	花嫁	2人骑乘，夫妻进阶任务获得	41	150	480000	165	480001	56	2	IconPlusAtlas	huajia
39	商城出售坐骑1	陆吾	陆吾	2人骑乘，商城出售	42	150	480000	165	480001	92	2	Icon	luwu
40	每日抽奖坐骑	战狼	战狼	2人骑乘，商城出售，每日抽奖几率获得	43	150	480000	165	480001	93	2	Icon	zhanlang
41	青羽	青羽	青羽	每日抽奖	27	150	480000	165	480001	98	1	Icon	chibang_01
42	青霜承影坐骑	青霜承影	青霜承影	商城出售	35	150	480000	165	480001	99	1	Icon	jian_01
43	比翼双飞	比翼双飞	比翼双飞	2人骑乘，同乘时双方拥抱前行；举办飞天婚礼时的装扮，VIP商城出售	36	150	480000	165	480001	91	2	Icon	taohuajian
44	翠玉麒麟	翠玉麒麟	翠玉麒麟	2人骑乘，兑换-侠义值奖励，作为师傅完成师徒任务可获得侠义值。	45	150	480000	165	480001	60	2	Icon	cuiyuqilin
45	绯红麒麟	绯红麒麟	绯红麒麟	2人骑乘，暂未放出	46	150	480000	165	480001	-1	2	Icon	feihongqilin
46	云马	云马	云马	2人骑乘，暂未放出	47	150	480000	165	480001	-1	2	IconPlusAtlas	baima
47	白泽	白泽	白泽	单人坐骑，商城出售；中秋节期间，副本限时掉落的节庆礼包几率获得	48	150	480000	165	480001	70	1	IconPlusAtlas	baize
48	彩翼	彩翼	彩翼	兑换-侠义值奖励，作为师傅完成师徒任务可获得侠义值。	49	150	480000	165	480001	58	1	Icon	huangniao
49	四灵幡	四灵幡	四灵幡	法宝图鉴激活[B75620]四灵幡[-]后，永久获得	50	150	480000	165	480001	5	1	IconPlusAtlas	fabao_silingfan
50	多情环	多情环	多情环	法宝图鉴激活[B75620]多情环[-]后，永久获得	51	150	480000	165	480001	6	1	IconPlusAtlas	fabao_duoqinghuan
51	玉兔	玉兔	玉兔	2人骑乘，十一期间活动获得	52	150	480000	165	480001	71	2	Icon	pet_tuzi
52	斩龙剑坐骑	斩龙剑	斩龙剑	法宝图鉴激活[B75620]斩龙剑[-]后，永久获得	53	150	480000	165	480001	34	1	IconPlusAtlas	fabao_zhanlongjian
53	彤彤	彤彤	彤彤	2人骑乘，官方活动获得	54	150	480000	165	480001	74	2	IconPlusAtlas	fensetuzi
54	鲲	鲲	鲲	2人骑乘，王者争霸每周王者组第一名奖励	55	150	480000	165	480001	54	2	IconPlusAtlas	lanjing
55	敖蒙	敖蒙	敖蒙	5人骑乘，王者争霸每赛季决赛冠军奖励	56	150	480000	165	480001	59	5	IconPlusAtlas	aomeng
56	单身狗	单身狗	单身狗	单人坐骑，“双11”活动专属奖励	57	150	480000	165	480001	73	1	IconPlusAtlas	danshengou
57	圣诞坐骑	圣诞坐骑	圣诞坐骑	2人骑乘，圣诞活动获得	58	150	480000	165	480001	75	2	IconPlusAtlas	shengdanmilu
58	赤霄	赤霄	赤霄	单人坐骑，荣誉值兑换，参加七脉会武和王者争霸可获得荣誉值	59	150	480000	165	480001	57	1	IconPlusAtlas	chixiao
59	九色鹿	九色鹿	九色鹿	2人骑乘，官方活动获得	60	150	480000	165	480001	72	2	IconPlusAtlas	jiuselu
60	天琊变色坐骑	黄金天琊坐骑	黄金天琊坐骑	放出待定	61	150	480000	165	480001	-1	1	Icon	fabao_tianya
61	大悲金轮变色坐骑	黄金大悲金轮坐骑	黄金大悲金轮坐骑	放出待定	62	150	480000	165	480001	-1	1	Icon	fabao_dabeijinlun
62	伏龙鼎变色坐骑	黄金伏龙鼎坐骑	黄金伏龙鼎坐骑	放出待定	63	150	480000	165	480001	-1	1	Icon	fabao_fulongding
63	合欢铃变色坐骑	黄金合欢铃坐骑	黄金合欢铃坐骑	放出待定	64	150	480000	165	480001	-1	1	Icon	fabao_hehuanling
64	金鸡	福多多	福多多	单人坐骑，春节活动获得	65	150	480000	165	480001	76	1	IconPlusAtlas	fenghuang_di
65	爆竹	新春爆竹	新春爆竹	法宝图鉴激活[B75620]新春爆竹[-]后，永久获得	66	150	480000	165	480001	16	1	IconPlusAtlas	fabao_bianpao
66	盛如夏花	盛如夏花	盛如夏花	2人骑乘，夫妻副本活动获得	67	150	480000	165	480001	77	2	IconPlusAtlas	shengruxiahua
67	情人节坐骑	锦绣未央	锦绣未央	2人骑乘，情人节活动获得	68	150	480000	165	480001	78	2	IconPlusAtlas	hongjinli
68	元宵花灯	元宵花灯	元宵花灯	单人坐骑，元宵节活动获得	69	150	480000	165	480001	79	1	IconPlusAtlas	huadeng
69	凤凰	凤凰	凤凰	2人骑乘，放出待定	71	150	480000	165	480001	-1	2	IconPlusAtlas	fenghuang_gao
70	幻影陆吾	幻影陆吾	幻影陆吾	2人骑乘，官方活动获得	72	150	480000	165	480001	81	2	IconPlusAtlas	youlingluwu
